,MANC,FANC,Male CNS,BANC
0,0.9299570322036743,0.9984104037284851,0.9989562034606934,0.9993996620178223
1,0.8976243734359741,0.9992241859436035,0.9850687980651855,0.999455451965332
2,0.9997090101242065,0.9466215968132019,0.9750999808311462,0.9995878338813782
3,0.9989373087882996,0.9996523857116699,0.9589914083480835,0.9977458715438843
4,0.999327540397644,0.7420099973678589,0.9891761541366577,0.9754396677017212
5,0.9993170499801636,0.9986886978149414,0.9995860457420349,0.998691737651825
6,0.9996542930603027,0.999865710735321,0.9959530830383301,0.9941926002502441
7,0.9994212985038757,0.9829553961753845,0.9990061521530151,0.9996976852416992
8,0.8912965059280396,0.9750922918319702,0.9995917081832886,0.9998844861984253
9,0.9991004467010498,0.9997382164001465,0.9998416304588318,0.9946002960205078
10,0.9094780087471008,0.9419767260551453,0.9706501960754395,0.9997695088386536
11,0.9992207288742065,0.9826505780220032,0.9662986397743225,0.9992040395736694
12,0.9995545148849487,0.9658533334732056,0.9993347525596619,0.9811647534370422
13,0.9995659589767456,0.9813659191131592,0.9867766499519348,0.9993583559989929
14,0.9992116689682007,0.9842180013656616,0.9410956501960754,0.9999217987060547
15,0.9589309692382812,0.9874028563499451,0.9998651742935181,0.998954176902771
16,0.9792810082435608,0.9987763166427612,0.9520494341850281,0.9895448684692383
17,0.9991680383682251,0.9903568625450134,0.9988847374916077,0.9991569519042969
18,0.9988154768943787,0.9911724328994751,0.9994457364082336,0.9840760231018066
19,0.9977419972419739,0.9523134827613831,0.9855231046676636,0.9975937604904175
20,1.0,0.959884524345398,0.9997853636741638,0.9994879961013794
21,0.9999182224273682,0.7299759984016418,0.9992734789848328,0.9794214963912964
22,0.9421923160552979,0.9425713419914246,0.9923754334449768,0.999098539352417
23,0.9200509786605835,0.8839685320854187,0.9988813400268555,0.9989799857139587
24,0.9995936751365662,0.9276971817016602,0.9721101522445679,1.0
25,0.9996587038040161,0.933402419090271,0.9992989301681519,0.9870707988739014
26,0.9994105100631714,0.999335765838623,0.9924357533454895,0.9999508857727051
27,0.9510940313339233,0.9791781306266785,0.9764832854270935,0.9995162487030029
28,0.9986820220947266,0.969814658164978,0.9990043640136719,0.9973942041397095
29,0.9992769956588745,0.9999517202377319,0.9596360921859741,0.9990730285644531
30,0.9534785151481628,0.860848605632782,0.9996349215507507,0.9981657266616821
31,0.9996579885482788,0.9997066855430603,0.9993407726287842,0.9962120056152344
32,0.9488157033920288,0.9982394576072693,0.9852274060249329,0.9960646629333496
33,0.9987409710884094,0.9969516396522522,0.99295973777771,0.99948650598526
34,0.9998840093612671,0.9340007901191711,0.9900461435317993,0.9998400211334229
35,0.9996070265769958,0.9924839735031128,0.9998913407325745,0.9959063529968262
36,0.9989041090011597,0.9728673696517944,0.9860271215438843,0.9998964071273804
37,0.9859445095062256,0.9996088147163391,0.9984128475189209,0.999782383441925
38,0.9995303153991699,0.9988529086112976,0.9993560314178467,0.9877135157585144
39,0.9995080232620239,0.9715927243232727,0.9428198933601379,0.9978617429733276
40,0.9325716495513916,0.9995433688163757,0.9984424710273743,0.9998242855072021
41,0.9985617399215698,0.9724151492118835,0.9995201826095581,0.9997464418411255
42,0.9997439980506897,0.9999078512191772,0.9935506582260132,0.9992810487747192
43,0.8396179676055908,0.9987838268280029,0.9588986039161682,0.9738612771034241
44,0.9767230749130249,0.998537540435791,0.9995718002319336,0.9896501898765564
45,0.999437689781189,0.929095983505249,0.9996680021286011,0.9992502331733704
46,0.9996363520622253,0.9695660471916199,0.965722918510437,0.9989372491836548
47,0.9218859672546387,0.9611355066299438,0.9853137135505676,0.9943376779556274
48,0.9238759875297546,0.9991501569747925,0.9849724769592285,0.9994543790817261
49,0.9998899698257446,0.9995517730712891,0.9968082904815674,0.9987369775772095
50,0.8373817205429077,0.9530836343765259,0.9657884240150452,0.9793572425842285
51,0.9723449945449829,0.9796236753463745,0.9874744415283203,0.9958577752113342
52,0.9990004897117615,0.9881142377853394,0.9995648860931396,0.9958387613296509
53,0.9999719858169556,0.9992148876190186,0.9997565746307373,0.9994816780090332
54,0.9992240071296692,0.9248355627059937,0.9790938496589661,0.9994786381721497
55,0.9764189720153809,0.9988695383071899,0.9979892373085022,0.989674985408783
56,0.9982659816741943,0.999088704586029,0.9182274341583252,0.9993822574615479
57,0.9992954730987549,0.9990229606628418,0.9993327856063843,0.999621570110321
58,0.8978019952774048,0.9943134784698486,0.9988324642181396,0.02516166679561138
59,0.9996160268783569,0.9992286562919617,0.999843180179596,0.9586507081985474
60,0.9998819828033447,0.9987093806266785,0.9871692657470703,0.9923660159111023
61,1.0,0.9991120100021362,0.9755164980888367,0.9855024814605713
62,0.999016523361206,0.9654353857040405,0.9149376749992371,0.9920886158943176
63,0.8961993455886841,0.9804891347885132,0.9673712849617004,0.996690571308136
64,0.9716600179672241,0.9638818502426147,0.9983027577400208,0.9716750383377075
65,0.9531940221786499,0.9860329627990723,0.9985891580581665,0.9994212985038757
66,0.9985669851303101,0.9974488019943237,0.9747409820556641,0.9992965459823608
67,0.9996125102043152,0.9990357756614685,0.9993904829025269,0.9997068643569946
68,0.9989844560623169,0.9998566508293152,0.9886060953140259,0.9996611475944519
69,0.7927525043487549,0.9993547797203064,0.9994104504585266,0.9999080896377563
70,0.9447054862976074,0.9989902973175049,0.9492107033729553,0.989449679851532
71,0.9999644756317139,0.9519394636154175,0.9628868699073792,0.9993910193443298
72,0.9989449977874756,0.9635022282600403,0.9991622567176819,0.9996260404586792
73,0.9989117383956909,0.9987423419952393,0.9991450309753418,0.9992947578430176
74,0.999956488609314,0.9991385340690613,0.9947555661201477,0.9997950196266174
75,0.998855471611023,0.9995061755180359,0.9993674159049988,0.9999547600746155
