,180,220,260,300,340
144,2.0,4.0,6.0,6.0,7.0
145,1.0,6.0,6.0,6.0,9.0
146,2.0,6.0,6.0,9.0,11.0
147,1.0,6.0,6.0,6.0,6.0
148,5.0,6.0,6.0,7.0,8.0
149,1.0,5.0,6.0,6.0,8.0
150,2.0,6.0,6.0,7.0,10.0
151,4.0,6.0,6.0,9.0,9.0
152,2.0,6.0,6.0,9.0,10.0
153,4.0,6.0,6.0,6.0,9.0
154,1.0,4.0,6.0,6.0,6.0
155,2.0,6.0,6.0,6.0,9.0
156,2.0,6.0,6.0,8.0,9.0
157,1.0,5.0,6.0,6.0,10.0
158,4.0,6.0,6.0,8.0,10.0
159,2.0,6.0,6.0,7.0,10.0
160,3.0,6.0,6.0,9.0,11.0
161,2.0,6.0,6.0,7.0,8.0
162,2.0,6.0,6.0,6.0,9.0
163,2.0,6.0,6.0,6.0,10.0
164,2.0,5.0,6.0,6.0,6.0
165,1.0,4.0,6.0,7.0,8.0
166,2.0,6.0,6.0,6.0,8.0
167,1.0,5.0,6.0,6.0,8.0
168,2.0,6.0,6.0,8.0,8.0
169,2.0,6.0,6.0,8.0,9.0
170,3.0,6.0,6.0,8.0,10.0
171,2.0,4.0,6.0,6.0,7.0
172,5.0,6.0,6.0,6.0,10.0
173,2.0,6.0,6.0,6.0,9.0
174,2.0,5.0,6.0,6.0,7.0
175,2.0,6.0,6.0,6.0,8.0
176,3.0,6.0,6.0,9.0,11.0
177,2.0,6.0,6.0,8.0,9.0
178,3.0,6.0,6.0,7.0,10.0
179,1.0,6.0,6.0,6.0,7.0
180,1.0,6.0,6.0,6.0,8.0
181,6.0,6.0,7.0,10.0,11.0
182,4.0,6.0,6.0,7.0,10.0
183,2.0,5.0,6.0,6.0,7.0
184,2.0,6.0,6.0,6.0,7.0
185,6.0,6.0,6.0,8.0,11.0
186,5.0,6.0,6.0,7.0,11.0
187,2.0,6.0,6.0,7.0,10.0
188,5.0,6.0,6.0,8.0,9.0
189,6.0,6.0,6.0,7.0,8.0
190,2.0,6.0,6.0,7.0,11.0
191,2.0,5.0,6.0,6.0,9.0
192,3.0,6.0,6.0,8.0,10.0
193,6.0,6.0,6.0,7.0,10.0
194,5.0,6.0,6.0,7.0,10.0
195,5.0,6.0,6.0,10.0,11.0
196,3.0,6.0,6.0,9.0,10.0
197,3.0,6.0,6.0,7.0,11.0
198,2.0,6.0,7.0,7.0,11.0
199,2.0,6.0,6.0,8.0,11.0
200,5.0,6.0,7.0,8.0,9.0
201,2.0,6.0,6.0,6.0,10.0
202,1.0,6.0,6.0,7.0,8.0
203,6.0,6.0,7.0,9.0,11.0
204,6.0,6.0,6.0,9.0,11.0
205,2.0,6.0,6.0,7.0,8.0
206,2.0,6.0,6.0,8.0,8.0
207,1.0,3.0,6.0,6.0,7.0
208,3.0,6.0,6.0,8.0,9.0
209,2.0,6.0,6.0,7.0,11.0
210,3.0,6.0,6.0,10.0,11.0
211,3.0,6.0,6.0,8.0,10.0
212,6.0,6.0,6.0,8.0,11.0
213,2.0,5.0,6.0,6.0,7.0
214,6.0,6.0,7.0,11.0,11.0
215,1.0,3.0,6.0,6.0,6.0
216,2.0,6.0,6.0,9.0,10.0
217,1.0,6.0,6.0,7.0,7.0
218,5.0,6.0,6.0,8.0,9.0
219,2.0,6.0,6.0,7.0,10.0
220,5.0,6.0,6.0,8.0,11.0
221,6.0,6.0,6.0,9.0,11.0
222,6.0,6.0,6.0,8.0,10.0
223,2.0,6.0,6.0,7.0,9.0
224,2.0,6.0,6.0,6.0,8.0
225,6.0,6.0,6.0,10.0,12.0
226,3.0,6.0,6.0,8.0,10.0
227,1.0,6.0,6.0,6.0,9.0
228,2.0,6.0,6.0,7.0,7.0
229,2.0,6.0,6.0,6.0,10.0
230,6.0,6.0,6.0,8.0,11.0
231,2.0,6.0,6.0,6.0,8.0
232,2.0,6.0,6.0,6.0,7.0
233,6.0,6.0,6.0,8.0,11.0
234,3.0,6.0,6.0,11.0,11.0
235,2.0,6.0,6.0,8.0,10.0
236,2.0,6.0,6.0,8.0,9.0
237,3.0,6.0,6.0,9.0,11.0
238,1.0,5.0,6.0,6.0,8.0
239,1.0,5.0,6.0,6.0,7.0
240,3.0,6.0,6.0,8.0,10.0
241,1.0,4.0,6.0,6.0,6.0
242,1.0,5.0,6.0,6.0,6.0
243,2.0,6.0,6.0,6.0,9.0
244,2.0,6.0,6.0,7.0,9.0
245,2.0,6.0,6.0,6.0,9.0
246,1.0,6.0,6.0,6.0,7.0
247,1.0,3.0,6.0,6.0,6.0
248,5.0,6.0,6.0,6.0,8.0
249,2.0,5.0,6.0,8.0,10.0
250,5.0,6.0,6.0,8.0,11.0
251,2.0,6.0,6.0,6.0,9.0
252,2.0,6.0,7.0,8.0,11.0
253,2.0,6.0,6.0,9.0,11.0
254,3.0,6.0,6.0,8.0,11.0
255,3.0,6.0,6.0,11.0,11.0
256,2.0,6.0,6.0,6.0,10.0
257,2.0,6.0,6.0,6.0,8.0
258,1.0,6.0,6.0,7.0,8.0
259,6.0,6.0,6.0,8.0,10.0
260,2.0,6.0,6.0,9.0,10.0
261,2.0,6.0,6.0,7.0,10.0
262,2.0,6.0,6.0,7.0,10.0
263,2.0,6.0,6.0,7.0,9.0
264,4.0,6.0,6.0,8.0,10.0
265,2.0,6.0,6.0,7.0,10.0
266,1.0,4.0,6.0,6.0,7.0
267,2.0,6.0,6.0,7.0,9.0
268,4.0,6.0,6.0,7.0,10.0
269,2.0,6.0,6.0,6.0,7.0
270,5.0,6.0,6.0,8.0,9.0
271,1.0,6.0,6.0,6.0,7.0
272,2.0,6.0,6.0,7.0,8.0
273,4.0,6.0,6.0,8.0,9.0
274,5.0,6.0,6.0,7.0,9.0
275,2.0,6.0,6.0,6.0,10.0
276,2.0,6.0,6.0,7.0,8.0
277,2.0,6.0,6.0,7.0,10.0
278,6.0,6.0,6.0,10.0,11.0
279,2.0,6.0,6.0,9.0,9.0
280,2.0,6.0,6.0,8.0,10.0
281,2.0,6.0,6.0,6.0,8.0
282,2.0,5.0,6.0,6.0,7.0
283,2.0,6.0,6.0,6.0,8.0
284,2.0,5.0,6.0,6.0,8.0
285,5.0,6.0,7.0,8.0,11.0
286,2.0,6.0,6.0,7.0,8.0
287,2.0,6.0,6.0,6.0,8.0
288,6.0,6.0,9.0,10.0,11.0
289,2.0,6.0,6.0,7.0,8.0
290,2.0,6.0,6.0,7.0,8.0
291,2.0,6.0,6.0,6.0,8.0
292,3.0,6.0,7.0,8.0,10.0
293,2.0,6.0,6.0,6.0,8.0
294,2.0,6.0,6.0,7.0,9.0
295,2.0,6.0,6.0,8.0,10.0
296,2.0,6.0,6.0,8.0,9.0
297,2.0,5.0,6.0,6.0,6.0
298,6.0,6.0,7.0,9.0,11.0
299,3.0,6.0,6.0,10.0,12.0
300,2.0,6.0,6.0,6.0,9.0
301,2.0,6.0,6.0,6.0,7.0
302,2.0,6.0,6.0,7.0,11.0
303,1.0,5.0,6.0,6.0,8.0
304,2.0,6.0,6.0,7.0,10.0
305,3.0,6.0,6.0,8.0,10.0
306,3.0,6.0,6.0,7.0,9.0
307,6.0,6.0,6.0,9.0,11.0
308,2.0,6.0,6.0,6.0,9.0
309,5.0,6.0,6.0,6.0,8.0
310,6.0,6.0,6.0,8.0,10.0
311,2.0,6.0,6.0,7.0,8.0
312,2.0,6.0,7.0,7.0,8.0
313,6.0,6.0,6.0,9.0,11.0
314,2.0,6.0,6.0,6.0,8.0
315,2.0,6.0,6.0,8.0,9.0
316,6.0,6.0,7.0,9.0,10.0
317,3.0,6.0,6.0,8.0,10.0
318,2.0,6.0,6.0,7.0,7.0
319,2.0,6.0,6.0,7.0,8.0
320,2.0,6.0,6.0,7.0,10.0
321,2.0,6.0,6.0,7.0,8.0
322,2.0,6.0,6.0,6.0,7.0
323,2.0,6.0,6.0,7.0,9.0
324,6.0,6.0,7.0,7.0,11.0
325,3.0,6.0,7.0,8.0,9.0
326,3.0,6.0,8.0,9.0,11.0
327,4.0,6.0,7.0,7.0,12.0
