,180,220,260,300,340
265,0,2,2,3,5
266,0,1,2,2,2
267,0,2,2,3,4
268,0,2,2,3,5
269,0,2,2,2,3
270,1,2,2,3,4
271,0,2,2,2,3
272,0,2,2,3,4
273,0,2,2,3,4
274,1,2,2,3,4
275,0,2,2,2,5
276,0,2,2,3,3
277,0,2,2,3,5
278,2,2,2,5,6
279,0,2,2,4,4
280,0,2,2,3,5
281,0,2,2,2,3
282,0,1,2,2,3
283,0,2,2,2,4
284,0,1,2,2,4
285,1,2,3,3,6
286,0,2,2,3,4
287,0,2,2,2,3
288,2,2,4,5,6
289,0,2,2,3,3
290,0,2,2,3,4
291,0,2,2,2,3
292,0,2,3,4,5
293,0,2,2,2,3
294,0,2,2,3,4
295,0,2,2,3,5
296,0,2,2,4,5
297,0,1,2,2,2
298,2,2,3,4,6
299,0,2,2,5,7
300,0,2,2,2,4
301,0,2,2,2,3
302,0,2,2,3,6
303,0,1,2,2,3
304,0,2,2,3,5
305,0,2,2,3,5
306,0,2,2,3,4
307,2,2,2,4,6
308,0,2,2,2,4
309,1,2,2,2,3
310,2,2,2,4,5
311,0,2,2,3,3
312,0,2,3,3,3
313,2,2,2,4,6
314,0,2,2,2,3
315,0,2,2,4,4
316,2,2,3,4,5
317,0,2,2,4,5
318,0,2,2,3,3
319,0,2,2,3,3
320,0,2,2,3,5
321,0,2,2,2,3
322,0,2,2,2,3
323,0,2,2,3,4
324,2,2,3,3,6
325,0,2,3,3,4
326,0,2,3,4,6
327,0,2,3,3,7
328,0,2,2,2,3
329,0,2,3,3,5
330,0,0,1,2,2
331,0,2,2,2,4
332,0,2,2,2,3
333,0,1,2,2,2
334,0,2,2,2,3
335,0,2,2,3,4
336,0,1,2,2,3
337,0,2,2,3,4
338,2,2,2,4,5
339,0,2,2,2,5
340,0,2,2,2,4
341,1,2,2,3,5
342,0,2,2,2,3
343,0,1,2,2,3
344,0,2,2,2,4
345,0,2,2,3,5
346,0,2,2,2,2
347,0,2,3,4,4
348,1,2,2,4,6
349,2,2,2,3,6
350,0,2,2,2,4
351,0,1,2,3,3
352,0,2,2,2,4
353,0,2,2,3,4
354,2,2,2,4,6
355,0,2,2,2,3
356,0,2,2,3,3
357,0,2,2,2,5
358,1,2,2,3,5
359,0,1,2,2,2
360,0,2,2,2,3
361,0,2,2,4,5
362,0,2,3,3,3
363,0,2,2,2,4
364,0,2,2,2,4
365,1,2,2,3,5
366,0,2,2,3,5
367,0,2,3,3,5
368,0,2,2,2,5
369,2,2,2,5,5
370,1,2,3,4,5
371,0,2,3,5,5
372,0,2,2,2,4
373,0,2,2,3,4
374,0,2,3,3,5
375,2,2,3,3,5
376,0,2,2,2,3
377,0,2,2,3,4
378,0,2,2,3,5
379,2,2,3,6,6
380,2,2,2,4,6
381,0,2,2,3,5
382,0,2,2,2,4
383,0,0,2,2,3
384,1,2,3,4,6
385,2,2,4,6,6
386,0,2,2,3,4
387,0,2,2,3,5
388,1,2,3,3,6
389,2,2,2,5,6
390,0,2,2,3,4
391,0,2,2,2,6
392,0,2,2,3,4
393,0,2,2,3,4
394,2,2,3,4,7
395,2,2,3,3,5
396,0,2,2,2,6
397,0,2,2,3,4
398,2,2,2,3,5
