,180,220,260,300,340
0,0.0,0.009302527,0.011111112,0.012658229,0.01369863
1,0.009259259,0.011494253,0.012658228,0.013513513,0.014285714
2,0.0,0.009638723,0.011111112,0.012097171,0.012658228
3,0.0,0.008474576,0.009803923,0.011111112,0.011764706
4,0.0078125,0.010526316,0.011363637,0.012048194,0.012438271
5,0.0,0.011764707,0.012345679,0.013157895,0.01388889
6,0.0,0.010989011,0.0121951215,0.013333334,0.014084507
7,0.0,0.010752688,0.0125,0.01369863,0.014285715
8,0.0,0.010416667,0.010989012,0.011494253,0.0121951215
9,0.0,0.0068965517,0.009803922,0.010752688,0.011904763
10,0.0,0.008403362,0.010989011,0.012579114,0.013333334
11,0.0,0.00990099,0.012820513,0.014084507,0.014925375
12,0.0,0.009803922,0.010869565,0.012048194,0.012820514
13,0.0,0.010101011,0.011363637,0.012345679,0.012820514
14,0.0,0.008,0.010989012,0.012500001,0.013333334
15,0.0,0.009090909,0.010309279,0.011235955,0.012048194
16,0.0,0.00877193,0.010309279,0.011764706,0.0125
17,0.0,0.010204081,0.012820513,0.014492754,0.01171875
18,0.0,0.010989011,0.0125,0.013333333,0.01369863
19,0.0,0.01,0.011363637,0.0125,0.013157895
20,0.0056179776,0.009345794,0.01010101,0.011111112,0.011627908
21,0.0,0.009259259,0.0106382985,0.012500001,0.013513513
22,0.0,0.011627907,0.0121951215,0.012658228,0.012987013
23,0.0,0.009433962,0.010989012,0.012345679,0.013333333
24,0.0,0.009803923,0.011764706,0.012788056,0.013333334
25,0.0,0.008064516,0.010526317,0.011494253,0.012048194
26,0.0,0.009009009,0.010309279,0.011363637,0.011925253
27,0.0,0.0058479533,0.009708738,0.010752688,0.011764707
28,0.0,0.01,0.011235955,0.0121951215,0.012658229
29,0.0,0.010869565,0.011764707,0.013100935,0.01369863
30,0.0,0.01,0.010989012,0.011627907,0.012048194
31,0.0,0.0049261083,0.009463912,0.010309279,0.010989012
32,0.0,0.0091743115,0.010498904,0.011494253,0.012048194
33,0.0,0.005988024,0.009259259,0.01010101,0.011363637
34,0.0,0.008403362,0.010204081,0.011904763,0.012820513
35,0.0,0.009009009,0.01010101,0.011235955,0.011764707
36,0.0,0.008333334,0.010416667,0.012048194,0.012987013
37,0.0,0.008547009,0.011235955,0.012500001,0.013333334
38,0.0,0.009803923,0.011111112,0.012658229,0.013513513
39,0.0,0.008928572,0.010204081,0.011152726,0.0121951215
40,0.0,0.009090909,0.011235955,0.0121951215,0.012820513
41,0.0,0.009433962,0.010416667,0.010989011,0.011520984
42,0.0,0.008968791,0.01,0.011363637,0.012048194
43,0.010869565,0.00801613,0.00990099,0.010638298,0.011363637
44,0.0,0.009009009,0.011764707,0.013333334,0.012072435
45,0.0,0.006329114,0.010752688,0.011904763,0.012987013
46,0.0,0.009708738,0.010752688,0.011627908,0.012345679
47,0.0,0.0,0.009259259,0.010869565,0.012048194
48,0.0,0.009302527,0.011111112,0.013157895,0.014084507
49,0.0,0.010526316,0.011363637,0.0121951215,0.012658228
50,0.0,0.009708738,0.011111112,0.012048194,0.012658228
51,0.0,0.009803922,0.010989011,0.011764707,0.012345679
52,0.0,0.009090909,0.010989011,0.0121951215,0.012820514
53,0.007246377,0.01,0.011111112,0.011904763,0.012345679
54,0.0088495575,0.011904763,0.012820513,0.013513513,0.014084507
55,0.0,0.009523811,0.010869565,0.0121951215,0.012987013
56,0.0,0.010989011,0.011494253,0.0121951215,0.012987013
