,180,220,260,300,340
0,0.0,0.6429945,0.9991406,0.99982136,0.999777
1,0.8892048,0.9995178,1.0007265,0.94222116,0.9442753
2,0.0,0.952113,0.9992056,0.99923795,0.93168527
3,0.0,0.94127667,0.9125792,0.9755049,0.94749975
4,0.7915667,0.99950075,0.95743823,0.99426526,0.9355299
5,0.0,0.9992398,1.0002825,1.0000212,0.9999402
6,0.0,1.0005155,0.9913348,1.0007944,0.99936837
7,0.0,0.9995528,0.95307577,0.98364,0.9779771
8,0.0,0.85251456,0.9991406,0.9457527,0.97076136
9,0.0,0.85082173,0.99970484,0.9985633,0.9913628
10,0.0,0.82145417,0.9998075,0.9993005,0.9795639
11,0.0,0.9994081,0.99866664,0.99953556,0.78237337
12,0.0,0.9997764,0.9995293,0.9995488,1.000737
13,0.0,0.93549746,0.9269037,0.97617376,0.99142545
14,0.0,0.8970024,0.999371,0.9994265,0.9972274
15,0.0,1.0001551,0.9999043,0.9841929,0.97143966
16,0.0,0.9807604,0.999867,0.99924976,1.0009406
17,0.0,0.999037,0.9998884,0.999773,0.5616723
18,0.0,0.99903715,1.0009208,1.0003281,0.9998057
19,0.0,0.93159497,0.9639844,0.9719887,0.972327
20,0.44240522,0.96913415,0.9322518,0.93775773,0.98766166
21,0.0,0.89268965,0.95667446,0.9999981,0.9989785
22,0.0,0.99876094,1.0001993,0.94974667,0.9824068
23,0.0,0.91232646,0.99894357,1.0000646,0.9667279
24,0.0,0.9947287,0.94426966,0.9404526,0.99831474
25,0.0,0.8426836,0.9989984,0.9474304,0.9185262
26,0.0,0.9040481,0.85535264,0.9370362,0.91816884
27,0.0,0.52552557,0.9132728,0.9173293,0.9154459
28,0.0,0.9788535,0.99855804,0.9147771,0.94412315
29,0.0,1.0000162,0.9992468,0.999465,0.9999405
30,0.0,0.9998954,0.9841129,0.9277955,0.95536214
31,0.0,0.4818207,0.978996,0.909516,0.84474087
32,0.0,0.98440254,0.98553383,0.95405763,0.9918458
33,0.0,0.9758005,0.93498504,0.899104,0.8790513
34,0.0,0.8731955,0.99947286,0.99981356,0.9533209
35,0.0,0.9705495,0.91648424,0.9548359,0.9220787
36,0.0,0.844948,0.9999339,0.99912137,1.000432
37,0.0,0.8438746,0.99908197,1.0006821,1.0001479
38,0.0,0.9996714,0.99956006,1.0003917,1.0000515
39,0.0,0.89413685,0.9646342,0.96810216,0.98397875
40,0.0,0.89449906,0.9988731,0.9995847,0.9387505
41,0.0,0.98767483,0.9262724,0.93174845,0.9106491
42,0.0,0.95738983,0.99963677,0.91943955,0.907475
43,0.6574968,0.77401614,1.0000547,0.95446527,0.98075694
44,0.0,0.8736371,0.93729895,0.9105425,0.80199975
45,0.0,0.6036359,0.9997406,0.99951446,0.9807173
46,0.0,0.96371865,0.93260837,1.0000296,0.99057597
47,0.0,0.0,0.9993055,0.9311876,0.90172833
48,0.0,0.96214944,0.99884075,1.0000249,0.97155595
