,180,220,260,300,340
0,0,2,3,3,3
1,2,2,2,4,4
2,1,4,5,5,8
3,0,2,3,5,6
4,2,2,4,4,7
5,0,3,3,4,7
6,0,2,3,4,5
7,0,2,4,5,6
8,0,2,3,5,5
9,0,1,2,2,3
10,0,2,2,2,5
11,0,2,2,2,6
12,0,1,3,3,3
13,1,3,4,4,6
14,1,2,4,7,9
15,0,2,3,5,6
16,0,2,2,2,3
17,0,2,2,2,5
18,0,2,2,2,4
19,0,2,3,5,8
20,2,2,4,7,9
21,0,2,3,4,4
22,0,2,3,5,5
23,0,2,3,3,6
24,0,3,4,5,7
25,0,2,3,4,7
26,0,2,5,8,8
27,0,2,3,4,8
28,0,2,3,4,8
29,0,3,3,4,6
30,0,2,4,6,8
31,0,2,4,4,6
32,0,3,4,5,9
33,1,1,3,4,5
34,0,2,2,3,6
35,0,3,4,4,6
36,0,2,3,3,3
37,0,2,3,4,4
38,1,4,4,4,6
39,0,1,2,3,4
40,0,2,2,5,6
41,0,2,3,4,6
42,0,2,3,4,7
43,1,4,3,4,5
44,0,2,3,5,7
45,0,2,3,3,4
46,0,2,3,3,6
47,0,0,2,3,3
48,0,2,3,4,5
49,0,2,2,3,7
50,0,2,3,5,8
51,0,4,4,8,8
52,0,2,2,3,4
53,2,3,4,8,9
54,1,3,5,6,8
55,0,3,3,5,6
56,0,2,3,4,4
57,0,1,3,4,7
58,0,2,4,4,6
59,0,2,2,4,7
60,0,3,3,3,5
61,0,2,3,6,7
62,0,2,2,3,5
63,0,2,3,4,5
64,0,2,4,4,6
65,0,2,3,4,5
66,0,2,3,4,5
67,0,2,2,2,2
68,0,0,3,4,4
69,0,2,2,3,5
70,0,0,2,3,4
71,0,2,3,3,3
72,0,2,3,7,9
73,0,2,2,3,4
74,2,4,4,7,8
75,0,2,4,5,8
76,0,2,2,4,8
77,0,3,3,3,6
78,0,3,3,4,8
79,0,2,4,5,8
80,0,2,3,3,5
81,1,3,4,6,7
82,0,3,3,4,6
83,0,2,3,5,6
84,0,2,4,6,7
85,0,2,4,4,6
86,0,3,4,4,5
87,0,2,2,2,4
88,2,2,3,5,7
89,0,2,2,2,2
90,0,2,5,5,6
91,0,3,3,6,8
92,0,2,3,6,9
93,1,4,3,7,7
94,0,3,4,7,8
95,0,2,3,3,7
96,0,2,3,4,5
97,0,2,3,6,8
98,0,1,3,3,4
99,0,2,3,4,6
100,0,2,3,3,3
101,0,2,3,5,5
102,0,2,2,3,7
103,0,2,3,3,5
104,0,2,3,4,6
105,1,3,3,3,3
106,1,2,3,6,8
107,0,2,2,4,4
108,0,2,2,2,4
109,0,0,3,4,4
110,0,2,3,4,5
111,1,3,3,3,4
112,0,0,2,3,4
113,0,2,3,3,3
114,0,2,2,2,3
115,0,2,3,6,8
116,0,2,2,2,5
117,0,3,3,3,6
118,0,2,2,2,2
119,0,0,2,2,3
120,0,2,2,3,2
121,0,2,3,5,7
122,0,2,2,2,3
123,0,2,4,5,5
124,0,2,2,2,3
125,0,2,2,2,4
126,0,2,3,3,4
127,0,2,3,4,5
128,0,1,3,3,3
129,2,2,3,5,8
130,0,3,5,9,9
131,0,2,2,4,6
132,0,3,3,3,4
133,0,2,3,3,7
134,0,2,3,5,8
135,1,2,3,3,5
136,0,2,2,3,4
137,0,2,3,3,6
138,0,4,5,8,8
139,1,2,3,5,7
140,0,2,3,3,5
141,0,1,3,4,5
142,0,2,3,5,6
143,0,2,3,4,4
144,0,0,2,3,4
145,1,4,3,3,5
146,0,3,3,8,8
147,0,0,2,3,3
148,0,2,2,2,6
149,0,1,2,4,6
150,0,2,3,5,6
151,0,2,2,2,4
152,1,4,4,6,8
153,0,2,3,3,3
154,0,0,2,2,3
155,0,2,3,5,5
156,0,3,4,6,8
157,0,0,3,4,7
158,0,3,3,5,8
159,0,2,2,4,8
160,1,3,3,3,9
161,0,2,2,2,4
162,0,2,4,4,7
163,0,2,3,6,9
164,0,1,3,3,3
165,0,1,2,5,8
166,0,2,3,3,5
167,0,2,3,4,4
168,0,1,2,2,4
169,1,2,3,3,5
170,0,2,2,2,4
171,0,1,4,5,7
172,0,3,3,3,7
173,0,2,3,4,8
174,0,0,3,5,7
175,1,3,2,2,3
176,1,2,3,5,6
177,0,2,2,3,3
178,0,3,4,5,5
179,0,2,2,2,4
180,0,2,2,3,4
181,2,2,6,7,8
182,0,3,3,5,7
183,0,1,3,4,4
184,0,2,3,3,3
185,0,3,3,4,4
186,0,2,3,4,8
187,0,2,2,2,3
188,1,3,3,4,5
189,2,2,3,4,5
190,0,2,2,2,4
191,1,3,4,4,5
192,0,2,4,4,5
193,1,2,3,3,4
194,0,2,2,2,5
195,0,2,2,3,8
196,0,2,2,4,7
197,0,2,5,6,8
198,1,4,4,6,7
199,0,2,2,5,6
200,0,2,2,3,8
201,1,2,2,3,3
202,0,2,3,3,5
203,1,3,4,4,9
204,2,2,3,3,6
205,0,1,2,3,4
206,0,1,3,3,4
207,0,0,3,4,4
208,0,2,3,3,3
209,0,2,5,5,8
210,0,3,4,7,8
211,0,3,4,4,7
212,0,2,2,2,6
213,0,2,3,4,5
214,2,3,5,7,8
215,0,0,1,2,3
216,0,2,2,3,6
217,0,2,3,3,4
218,0,3,3,4,7
219,1,4,4,5,6
220,1,2,2,5,7
221,1,2,2,4,8
222,0,2,4,6,8
223,0,2,2,3,3
224,0,2,2,3,3
225,0,3,3,5,9
226,0,2,2,3,4
227,0,0,2,3,3
228,0,2,3,4,5
229,0,2,3,3,4
230,2,3,4,7,9
231,0,1,2,3,6
232,0,2,2,4,6
233,0,3,3,5,6
234,0,2,4,8,9
235,0,3,3,3,4
236,1,2,3,4,6
237,0,2,4,5,8
238,0,2,2,4,5
239,0,1,4,4,5
240,0,2,3,4,7
241,0,0,2,2,2
242,0,0,2,3,3
243,1,4,4,5,7
244,1,2,4,5,7
245,0,2,3,4,5
246,0,2,3,3,5
247,0,1,4,3,3
248,0,2,2,2,3
249,1,3,4,6,7
