,180,220,260,300,340
0,0.0,1.0,0.94989836,0.96542805,0.98160934
1,0.0,0.96107197,0.9193305,0.9167925,0.9254086
2,0.0,0.7671715,0.9999805,0.9994055,1.0
3,0.0,0.98020804,0.99976534,0.99991834,0.9990617
4,0.0,0.99938405,0.87332904,0.97595036,0.9990537
5,0.0,1.0,0.9988475,0.9537673,0.99911535
6,0.0,0.8770745,0.99976206,0.99864805,0.95891976
7,0.0,0.9996066,0.8964082,0.92964053,0.8707945
8,0.0,0.55311346,0.9521795,0.99965703,0.99999547
9,0.0,1.0,0.9982515,0.88073844,0.8446707
10,0.0,0.0,0.988207,0.9983415,0.9801427
11,0.58487,0.9995394,0.87327874,0.8688332,0.96091795
12,0.965258,0.9994025,0.9999075,0.99996746,0.9172313
13,0.0,0.99902046,0.999421,0.99972045,1.0
14,0.0,0.9513184,0.9991943,0.8767387,0.8670572
15,0.0,0.7886135,0.979305,0.999349,0.932324
16,0.0,0.0,0.99973655,0.99900866,0.99964035
17,0.5746,0.95014066,0.99957937,0.9303254,0.9599841
18,0.0,0.89353704,0.9995115,0.9994761,0.99989307
19,0.0,0.9988333,0.9326385,0.98840874,0.99546146
20,0.0,0.0,0.914919,0.99919736,0.9997574
21,0.0,0.0,0.99968326,0.8898676,0.99165595
22,0.0,0.9995085,0.96797466,0.9981033,0.9598592
23,0.842575,0.8612348,0.9274205,0.91340107,0.921762
24,0.0,0.812683,0.99953765,0.915573,0.9624815
25,0.0,0.95477504,0.9997207,0.99954003,0.99888396
26,0.0,0.8584975,0.91755664,0.9944737,0.99105567
27,0.0,0.0,0.9990387,0.99894094,0.999521
28,0.0,0.999171,0.99955,0.99999046,0.9254915
29,0.37476748,0.998787,0.9993955,0.9922854,0.9242916
30,0.0,0.58668,0.9989015,0.99934006,0.9995173
31,0.0,0.9821397,0.99951637,0.99962205,1.0
32,0.0,0.0,0.96660936,0.99951804,0.975083
33,0.3137035,0.99971104,0.9996925,0.9998865,0.9998565
34,0.0,0.9990415,1.0,0.99973154,0.7828283
35,0.0,0.99981046,0.99957937,0.9997007,0.926965
36,0.832563,0.94192207,0.9993564,0.99959505,0.9972951
37,0.0,0.0,0.99983597,0.999287,0.8561184
38,0.0,0.9989561,0.99976605,0.98015904,0.9990428
39,0.0,0.999546,1.0,0.99938476,0.998496
40,0.0,0.88105965,0.8789703,0.99984646,0.9182048
41,0.0,0.9993514,0.9989907,0.96832854,0.9940251
42,0.0,0.95343304,0.99941003,0.99967253,0.999076
43,0.0,0.85796773,0.86736053,0.89754903,0.9176842
44,0.0,1.0,0.992527,0.99962366,0.999936
45,0.0,0.99189806,0.9997334,0.98949075,0.980713
46,0.0,0.97297,0.9993953,0.99914277,0.9188957
47,0.0,0.7765485,0.9391525,0.99978554,0.9997324
48,0.0,0.5942627,0.9383087,0.99965036,1.0
49,0.0,0.9999685,0.999843,1.0,0.99993134
50,0.0,0.9783313,0.9222255,0.94877625,0.92529696
