,180,220,260,300,340
265,0,2,4,4,5
266,1,2,3,4,6
267,0,2,2,4,6
268,2,3,6,7,9
269,2,2,5,6,8
270,1,2,5,6,8
271,0,1,3,4,4
272,3,5,5,7,9
273,0,3,3,4,6
274,3,5,5,7,10
275,0,3,3,4,7
276,0,2,2,4,6
277,0,2,3,3,3
278,0,1,2,3,6
279,0,2,3,3,3
280,0,0,3,4,4
281,0,1,3,3,3
282,1,2,3,5,8
283,0,0,2,3,3
284,2,3,5,6,8
285,0,2,2,3,6
286,0,2,3,4,7
287,0,0,3,3,5
288,2,3,3,6,7
289,2,3,4,4,6
290,0,1,2,2,4
291,0,2,2,3,6
292,0,2,3,3,5
293,0,2,2,3,4
294,0,2,3,4,7
295,1,2,3,4,6
296,0,2,3,3,5
297,0,2,3,4,7
298,0,2,6,7,9
299,0,2,3,3,4
300,0,2,3,3,6
301,1,3,3,5,8
302,0,0,2,2,2
303,1,4,4,5,5
304,0,2,3,4,5
305,0,1,3,5,5
306,0,0,3,3,3
307,0,2,3,4,6
308,0,2,3,4,7
309,0,2,3,5,7
310,1,3,3,3,6
311,0,2,2,4,5
312,1,4,5,5,6
313,0,2,3,3,3
314,0,2,2,2,2
315,0,2,3,3,4
316,1,3,3,7,7
317,0,2,4,5,5
318,0,3,3,5,7
319,0,2,2,3,3
320,0,0,2,2,5
321,3,4,6,9,10
322,0,2,3,4,7
323,0,3,3,3,5
324,0,2,2,3,6
325,0,2,3,4,6
326,0,2,2,6,6
327,0,2,2,3,7
328,0,2,3,4,7
329,0,2,2,3,6
330,0,2,3,4,4
331,0,2,2,6,6
332,0,2,4,5,6
333,0,4,4,5,7
334,1,3,3,6,8
335,0,0,3,4,5
336,0,1,3,3,3
337,0,3,3,3,5
338,0,3,3,4,5
339,0,2,2,3,6
340,0,3,4,5,7
341,0,1,4,5,5
342,0,2,2,3,4
343,0,0,3,3,4
344,0,2,4,5,9
345,0,2,2,3,3
346,0,2,3,2,5
347,0,0,2,3,3
