,none,E2,E3,E4,I2
631,6.0,15.0,3.0,3.0,59.0
632,3.0,2.0,2.0,2.0,7.0
633,5.0,1.0,2.0,5.0,19.0
634,5.0,1.0,3.0,6.0,27.0
635,5.0,1.0,3.0,5.0,34.0
636,5.0,2.0,3.0,3.0,9.0
637,4.0,1.0,2.0,2.0,12.0
638,1.0,1.0,2.0,2.0,2.0
639,4.0,2.0,3.0,3.0,7.0
640,5.0,2.0,3.0,5.0,26.0
641,4.0,1.0,3.0,4.0,104.0
642,4.0,2.0,3.0,3.0,7.0
643,4.0,2.0,2.0,2.0,8.0
644,3.0,2.0,3.0,3.0,8.0
645,4.0,1.0,3.0,2.0,10.0
646,4.0,1.0,3.0,4.0,11.0
647,5.0,3.0,3.0,3.0,56.0
648,5.0,2.0,3.0,5.0,16.0
649,2.0,1.0,3.0,2.0,8.0
650,4.0,2.0,3.0,3.0,11.0
651,4.0,2.0,2.0,2.0,8.0
652,6.0,2.0,3.0,5.0,30.0
653,3.0,2.0,3.0,2.0,8.0
654,5.0,1.0,3.0,3.0,19.0
655,5.0,2.0,3.0,4.0,14.0
656,4.0,2.0,3.0,2.0,8.0
657,8.0,10.0,3.0,5.0,90.0
658,3.0,2.0,3.0,3.0,6.0
659,7.0,2.0,3.0,5.0,80.0
660,3.0,1.0,3.0,2.0,8.0
661,13.0,13.0,3.0,9.0,44.0
662,7.0,7.0,3.0,5.0,109.0
663,1.0,1.0,2.0,2.0,8.0
664,2.0,2.0,3.0,2.0,8.0
665,2.0,1.0,2.0,2.0,8.0
666,4.0,1.0,3.0,2.0,12.0
667,3.0,2.0,3.0,2.0,8.0
668,4.0,2.0,3.0,2.0,7.0
669,4.0,1.0,2.0,2.0,30.0
670,4.0,2.0,3.0,3.0,13.0
671,3.0,2.0,3.0,3.0,12.0
672,8.0,9.0,3.0,5.0,29.0
673,1.0,1.0,2.0,2.0,3.0
674,3.0,2.0,3.0,2.0,7.0
675,4.0,1.0,3.0,3.0,8.0
676,4.0,4.0,3.0,4.0,21.0
677,7.0,3.0,3.0,7.0,45.0
678,2.0,2.0,2.0,2.0,2.0
679,5.0,1.0,3.0,5.0,31.0
680,4.0,1.0,3.0,4.0,15.0
681,4.0,2.0,3.0,3.0,13.0
682,3.0,2.0,3.0,2.0,6.0
683,5.0,6.0,3.0,5.0,29.0
684,5.0,2.0,3.0,3.0,10.0
685,1.0,2.0,2.0,2.0,7.0
686,2.0,1.0,2.0,2.0,8.0
687,2.0,1.0,2.0,1.0,7.0
688,5.0,1.0,3.0,3.0,21.0
689,2.0,1.0,2.0,1.0,11.0
690,4.0,2.0,3.0,2.0,7.0
691,5.0,2.0,3.0,3.0,28.0
692,3.0,1.0,2.0,2.0,7.0
693,2.0,1.0,2.0,2.0,8.0
694,5.0,2.0,3.0,5.0,12.0
695,5.0,4.0,3.0,8.0,12.0
696,5.0,1.0,3.0,5.0,83.0
697,1.0,1.0,2.0,1.0,1.0
698,1.0,1.0,2.0,2.0,4.0
699,3.0,1.0,3.0,3.0,22.0
700,5.0,2.0,3.0,4.0,98.0
701,4.0,2.0,2.0,2.0,8.0
702,4.0,2.0,2.0,2.0,7.0
703,4.0,1.0,3.0,3.0,9.0
704,8.0,3.0,3.0,8.0,37.0
705,4.0,1.0,3.0,4.0,10.0
706,7.0,10.0,3.0,6.0,44.0
707,7.0,4.0,3.0,5.0,38.0
708,5.0,2.0,3.0,3.0,9.0
709,3.0,2.0,2.0,2.0,9.0
710,4.0,1.0,2.0,4.0,21.0
711,4.0,1.0,3.0,3.0,85.0
712,4.0,1.0,3.0,3.0,13.0
713,3.0,1.0,2.0,2.0,8.0
714,2.0,1.0,2.0,2.0,2.0
715,1.0,1.0,2.0,1.0,1.0
716,5.0,2.0,3.0,2.0,8.0
717,5.0,2.0,3.0,5.0,78.0
718,1.0,1.0,2.0,2.0,9.0
719,4.0,1.0,3.0,3.0,57.0
720,5.0,2.0,3.0,5.0,25.0
721,4.0,2.0,2.0,3.0,8.0
722,5.0,1.0,3.0,5.0,34.0
723,3.0,1.0,2.0,1.0,9.0
724,5.0,1.0,2.0,5.0,37.0
725,2.0,2.0,2.0,2.0,2.0
726,4.0,1.0,3.0,2.0,19.0
727,4.0,4.0,3.0,3.0,17.0
728,4.0,2.0,3.0,3.0,8.0
729,5.0,2.0,2.0,2.0,80.0
730,4.0,2.0,3.0,3.0,11.0
731,4.0,2.0,3.0,5.0,31.0
732,5.0,11.0,2.0,5.0,81.0
733,1.0,1.0,2.0,1.0,1.0
734,4.0,2.0,3.0,3.0,21.0
735,6.0,2.0,2.0,5.0,33.0
736,4.0,2.0,3.0,3.0,8.0
737,5.0,3.0,3.0,3.0,15.0
738,5.0,2.0,3.0,3.0,21.0
739,4.0,1.0,2.0,2.0,8.0
740,4.0,2.0,3.0,3.0,11.0
741,4.0,2.0,2.0,2.0,7.0
742,3.0,2.0,2.0,2.0,8.0
743,3.0,2.0,3.0,2.0,12.0
744,5.0,7.0,3.0,3.0,13.0
745,4.0,2.0,3.0,3.0,82.0
746,5.0,2.0,3.0,3.0,10.0
747,5.0,2.0,3.0,4.0,91.0
748,4.0,1.0,3.0,2.0,25.0
749,5.0,8.0,3.0,5.0,30.0
750,3.0,2.0,3.0,2.0,7.0
751,5.0,2.0,3.0,4.0,86.0
752,4.0,2.0,3.0,3.0,9.0
753,4.0,2.0,3.0,3.0,7.0
754,5.0,1.0,3.0,3.0,45.0
755,4.0,2.0,3.0,3.0,13.0
756,2.0,1.0,2.0,2.0,7.0
757,5.0,2.0,3.0,3.0,25.0
758,6.0,5.0,3.0,5.0,23.0
759,1.0,1.0,1.0,1.0,1.0
760,4.0,2.0,3.0,3.0,20.0
761,1.0,1.0,1.0,1.0,1.0
762,6.0,1.0,3.0,3.0,8.0
763,4.0,1.0,3.0,2.0,15.0
764,2.0,1.0,2.0,2.0,8.0
765,5.0,3.0,3.0,5.0,31.0
766,5.0,2.0,3.0,5.0,31.0
767,4.0,2.0,3.0,2.0,7.0
768,4.0,2.0,3.0,3.0,8.0
769,5.0,1.0,3.0,5.0,13.0
770,5.0,3.0,3.0,5.0,18.0
771,5.0,2.0,3.0,3.0,13.0
772,5.0,1.0,3.0,5.0,17.0
773,4.0,2.0,2.0,2.0,9.0
774,5.0,2.0,3.0,5.0,15.0
775,5.0,1.0,3.0,5.0,14.0
776,5.0,1.0,3.0,4.0,26.0
777,5.0,2.0,3.0,3.0,12.0
778,1.0,1.0,2.0,2.0,13.0
779,4.0,1.0,2.0,2.0,8.0
780,5.0,2.0,2.0,2.0,34.0
781,5.0,2.0,2.0,5.0,27.0
782,4.0,1.0,3.0,5.0,16.0
783,4.0,2.0,2.0,2.0,7.0
784,1.0,1.0,2.0,2.0,7.0
785,3.0,2.0,3.0,3.0,10.0
786,5.0,2.0,3.0,5.0,14.0
787,3.0,2.0,3.0,3.0,8.0
788,4.0,1.0,2.0,3.0,15.0
789,3.0,1.0,2.0,2.0,8.0
790,4.0,2.0,3.0,3.0,20.0
791,4.0,2.0,3.0,3.0,11.0
792,4.0,1.0,3.0,3.0,9.0
793,6.0,7.0,3.0,5.0,24.0
794,5.0,4.0,3.0,5.0,25.0
795,4.0,2.0,3.0,3.0,78.0
796,1.0,1.0,2.0,2.0,83.0
797,1.0,1.0,2.0,2.0,28.0
798,1.0,1.0,2.0,2.0,7.0
799,4.0,1.0,3.0,3.0,27.0
800,2.0,2.0,2.0,2.0,2.0
801,8.0,1.0,2.0,4.0,13.0
802,7.0,1.0,2.0,5.0,25.0
803,4.0,4.0,3.0,3.0,7.0
804,4.0,2.0,3.0,3.0,22.0
805,5.0,8.0,3.0,5.0,18.0
806,5.0,1.0,3.0,5.0,37.0
807,5.0,2.0,3.0,5.0,15.0
808,3.0,2.0,2.0,3.0,9.0
809,5.0,2.0,3.0,4.0,21.0
810,4.0,2.0,3.0,3.0,12.0
811,5.0,7.0,2.0,2.0,15.0
812,8.0,6.0,3.0,9.0,41.0
813,4.0,2.0,3.0,7.0,19.0
814,4.0,8.0,3.0,3.0,16.0
815,4.0,1.0,3.0,2.0,8.0
816,1.0,1.0,2.0,2.0,5.0
817,7.0,9.0,3.0,5.0,17.0
818,4.0,1.0,3.0,2.0,12.0
819,1.0,1.0,2.0,1.0,1.0
820,4.0,3.0,3.0,3.0,8.0
821,4.0,1.0,3.0,2.0,8.0
822,5.0,3.0,3.0,3.0,30.0
823,2.0,1.0,2.0,1.0,7.0
824,4.0,1.0,2.0,3.0,12.0
825,5.0,4.0,3.0,5.0,28.0
826,3.0,2.0,2.0,2.0,7.0
827,5.0,2.0,2.0,2.0,10.0
828,5.0,2.0,3.0,3.0,16.0
829,4.0,2.0,3.0,2.0,8.0
830,6.0,1.0,3.0,2.0,16.0
831,1.0,1.0,2.0,2.0,7.0
832,2.0,1.0,2.0,2.0,7.0
833,4.0,1.0,3.0,2.0,10.0
834,2.0,2.0,2.0,2.0,6.0
835,2.0,2.0,2.0,2.0,5.0
836,4.0,1.0,3.0,5.0,13.0
837,4.0,3.0,3.0,3.0,8.0
838,4.0,2.0,3.0,3.0,19.0
839,3.0,1.0,2.0,1.0,8.0
840,4.0,2.0,3.0,3.0,11.0
841,3.0,3.0,3.0,3.0,7.0
842,4.0,1.0,2.0,2.0,12.0
843,1.0,1.0,2.0,1.0,2.0
844,5.0,1.0,3.0,5.0,25.0
845,5.0,2.0,3.0,5.0,15.0
846,5.0,2.0,3.0,5.0,13.0
847,3.0,2.0,3.0,3.0,7.0
848,3.0,1.0,3.0,3.0,30.0
849,4.0,2.0,3.0,3.0,8.0
850,4.0,2.0,3.0,3.0,79.0
851,4.0,2.0,3.0,2.0,7.0
852,5.0,2.0,3.0,3.0,9.0
853,5.0,9.0,3.0,5.0,12.0
854,1.0,1.0,2.0,2.0,8.0
855,1.0,1.0,2.0,2.0,8.0
856,8.0,6.0,3.0,9.0,105.0
857,4.0,2.0,3.0,3.0,12.0
858,4.0,2.0,2.0,2.0,7.0
859,4.0,1.0,2.0,2.0,37.0
860,2.0,2.0,3.0,2.0,8.0
861,1.0,1.0,3.0,2.0,7.0
862,4.0,1.0,3.0,2.0,19.0
863,4.0,1.0,3.0,4.0,21.0
864,4.0,5.0,2.0,4.0,81.0
865,4.0,1.0,3.0,3.0,10.0
866,5.0,1.0,3.0,2.0,8.0
867,10.0,10.0,3.0,5.0,47.0
868,4.0,2.0,3.0,4.0,60.0
869,4.0,1.0,3.0,4.0,13.0
870,2.0,1.0,2.0,2.0,8.0
871,1.0,1.0,2.0,1.0,5.0
872,4.0,1.0,2.0,2.0,16.0
873,5.0,2.0,3.0,5.0,95.0
874,5.0,1.0,3.0,4.0,8.0
875,3.0,1.0,2.0,2.0,9.0
876,3.0,2.0,3.0,3.0,21.0
877,4.0,6.0,3.0,3.0,13.0
878,3.0,2.0,2.0,2.0,6.0
879,5.0,7.0,3.0,5.0,28.0
880,5.0,1.0,3.0,3.0,9.0
881,2.0,1.0,2.0,1.0,6.0
882,4.0,1.0,3.0,4.0,90.0
883,1.0,1.0,2.0,1.0,7.0
884,3.0,1.0,3.0,2.0,8.0
885,4.0,2.0,3.0,2.0,12.0
886,3.0,2.0,3.0,2.0,9.0
887,3.0,1.0,3.0,2.0,7.0
888,5.0,2.0,3.0,3.0,19.0
889,5.0,8.0,3.0,5.0,25.0
890,3.0,1.0,2.0,2.0,10.0
891,4.0,1.0,3.0,3.0,14.0
892,4.0,2.0,3.0,3.0,18.0
893,4.0,2.0,3.0,3.0,17.0
894,5.0,9.0,3.0,5.0,26.0
895,5.0,3.0,3.0,5.0,27.0
896,4.0,3.0,3.0,3.0,11.0
897,4.0,2.0,2.0,3.0,20.0
898,4.0,1.0,2.0,4.0,15.0
899,2.0,2.0,3.0,2.0,7.0
900,4.0,3.0,3.0,3.0,8.0
901,5.0,3.0,3.0,5.0,15.0
902,4.0,2.0,3.0,3.0,8.0
903,3.0,2.0,3.0,3.0,6.0
904,1.0,1.0,2.0,2.0,8.0
905,5.0,2.0,3.0,3.0,13.0
906,5.0,2.0,3.0,3.0,32.0
907,4.0,2.0,3.0,3.0,11.0
908,8.0,1.0,3.0,5.0,93.0
909,1.0,1.0,2.0,2.0,8.0
910,5.0,1.0,3.0,4.0,89.0
911,2.0,1.0,2.0,2.0,8.0
912,5.0,76.0,3.0,5.0,32.0
913,4.0,2.0,3.0,3.0,15.0
914,2.0,2.0,2.0,2.0,8.0
915,5.0,2.0,2.0,3.0,21.0
916,10.0,12.0,3.0,6.0,29.0
917,6.0,1.0,3.0,5.0,34.0
918,4.0,2.0,3.0,3.0,13.0
919,3.0,2.0,3.0,2.0,7.0
920,2.0,1.0,2.0,1.0,10.0
921,5.0,2.0,3.0,5.0,27.0
922,1.0,1.0,2.0,1.0,4.0
923,5.0,4.0,3.0,5.0,64.0
924,2.0,1.0,2.0,2.0,9.0
925,2.0,2.0,3.0,3.0,5.0
926,2.0,1.0,3.0,3.0,7.0
927,5.0,1.0,3.0,3.0,11.0
928,4.0,2.0,2.0,2.0,7.0
929,4.0,2.0,3.0,3.0,15.0
930,5.0,4.0,3.0,5.0,33.0
931,4.0,1.0,3.0,3.0,14.0
932,4.0,4.0,3.0,5.0,26.0
933,3.0,1.0,2.0,1.0,30.0
934,3.0,2.0,2.0,2.0,7.0
935,4.0,1.0,3.0,3.0,8.0
936,6.0,2.0,2.0,4.0,23.0
937,5.0,1.0,2.0,2.0,15.0
938,1.0,1.0,2.0,1.0,2.0
939,4.0,1.0,3.0,2.0,7.0
940,5.0,9.0,3.0,5.0,28.0
941,4.0,1.0,3.0,3.0,8.0
942,5.0,2.0,3.0,2.0,10.0
943,5.0,2.0,3.0,3.0,16.0
944,4.0,1.0,3.0,2.0,8.0
945,4.0,2.0,2.0,2.0,16.0
946,5.0,8.0,3.0,5.0,88.0
947,5.0,1.0,2.0,4.0,11.0
948,4.0,2.0,3.0,3.0,13.0
949,3.0,1.0,3.0,2.0,8.0
950,4.0,3.0,3.0,3.0,7.0
951,1.0,1.0,1.0,1.0,1.0
952,5.0,4.0,3.0,4.0,34.0
953,7.0,5.0,3.0,6.0,39.0
954,2.0,2.0,2.0,2.0,6.0
955,8.0,5.0,3.0,4.0,30.0
956,2.0,1.0,2.0,2.0,8.0
957,4.0,1.0,3.0,2.0,17.0
958,2.0,2.0,3.0,2.0,5.0
959,5.0,8.0,2.0,5.0,14.0
960,6.0,1.0,2.0,5.0,37.0
961,4.0,2.0,2.0,3.0,15.0
962,3.0,1.0,2.0,2.0,8.0
963,2.0,1.0,2.0,1.0,3.0
964,4.0,2.0,3.0,3.0,8.0
965,4.0,2.0,3.0,4.0,14.0
966,3.0,2.0,3.0,2.0,12.0
967,5.0,2.0,3.0,5.0,33.0
968,5.0,1.0,3.0,5.0,84.0
969,3.0,1.0,2.0,2.0,11.0
970,4.0,1.0,2.0,2.0,10.0
971,4.0,2.0,3.0,3.0,7.0
972,4.0,2.0,3.0,3.0,8.0
973,8.0,10.0,3.0,5.0,75.0
974,5.0,2.0,3.0,5.0,7.0
975,4.0,1.0,3.0,2.0,10.0
976,4.0,2.0,2.0,2.0,10.0
977,5.0,2.0,2.0,3.0,13.0
978,3.0,2.0,3.0,3.0,8.0
979,4.0,2.0,3.0,3.0,8.0
980,4.0,2.0,3.0,3.0,87.0
981,2.0,1.0,2.0,1.0,4.0
982,5.0,2.0,3.0,3.0,12.0
983,3.0,2.0,2.0,2.0,5.0
984,4.0,1.0,3.0,5.0,16.0
985,5.0,1.0,2.0,5.0,75.0
986,4.0,2.0,3.0,3.0,19.0
987,6.0,2.0,2.0,5.0,16.0
988,2.0,2.0,2.0,2.0,3.0
989,4.0,1.0,3.0,3.0,14.0
990,4.0,2.0,3.0,3.0,8.0
991,4.0,2.0,2.0,2.0,5.0
992,1.0,1.0,2.0,1.0,4.0
993,3.0,1.0,2.0,2.0,8.0
994,5.0,1.0,3.0,5.0,14.0
995,5.0,8.0,3.0,3.0,13.0
996,3.0,1.0,2.0,2.0,8.0
997,5.0,3.0,3.0,3.0,28.0
998,2.0,2.0,2.0,2.0,5.0
999,4.0,11.0,3.0,5.0,21.0
1000,4.0,2.0,3.0,3.0,14.0
1001,3.0,2.0,3.0,3.0,8.0
1002,3.0,1.0,2.0,2.0,7.0
1003,5.0,1.0,2.0,2.0,8.0
1004,3.0,1.0,2.0,2.0,30.0
1005,4.0,1.0,2.0,2.0,8.0
1006,5.0,1.0,3.0,5.0,14.0
1007,2.0,1.0,2.0,2.0,8.0
1008,4.0,1.0,3.0,2.0,9.0
1009,5.0,2.0,3.0,5.0,27.0
1010,3.0,1.0,2.0,3.0,36.0
1011,5.0,2.0,3.0,3.0,12.0
1012,5.0,2.0,3.0,2.0,8.0
1013,1.0,1.0,2.0,1.0,2.0
1014,4.0,2.0,3.0,3.0,9.0
1015,1.0,1.0,2.0,2.0,7.0
1016,5.0,1.0,3.0,5.0,22.0
1017,4.0,2.0,2.0,2.0,17.0
1018,7.0,2.0,3.0,5.0,70.0
1019,4.0,8.0,3.0,3.0,12.0
1020,2.0,2.0,2.0,2.0,4.0
1021,1.0,1.0,2.0,2.0,8.0
1022,7.0,4.0,3.0,5.0,38.0
1023,4.0,2.0,3.0,2.0,6.0
