,none,E2,E3,E4,I2
144,4.0,2.0,3.0,3.0,8.0
145,1.0,1.0,1.0,1.0,6.0
146,4.0,4.0,3.0,3.0,9.0
147,3.0,2.0,3.0,2.0,8.0
148,5.0,9.0,3.0,3.0,32.0
149,2.0,1.0,2.0,2.0,13.0
150,4.0,2.0,2.0,2.0,8.0
151,5.0,3.0,3.0,5.0,15.0
152,1.0,1.0,2.0,2.0,25.0
153,5.0,1.0,3.0,5.0,14.0
154,5.0,2.0,3.0,5.0,16.0
155,5.0,2.0,3.0,3.0,8.0
156,4.0,2.0,3.0,3.0,7.0
157,2.0,2.0,3.0,3.0,8.0
158,2.0,2.0,2.0,2.0,7.0
159,4.0,2.0,3.0,3.0,9.0
160,4.0,1.0,2.0,2.0,7.0
161,8.0,2.0,3.0,5.0,39.0
162,4.0,2.0,2.0,2.0,11.0
163,5.0,9.0,3.0,5.0,12.0
164,4.0,2.0,3.0,3.0,15.0
165,4.0,2.0,3.0,3.0,9.0
166,5.0,2.0,3.0,3.0,22.0
167,5.0,1.0,3.0,4.0,59.0
168,4.0,2.0,3.0,3.0,12.0
169,4.0,2.0,3.0,3.0,12.0
170,4.0,1.0,3.0,3.0,7.0
171,3.0,2.0,2.0,2.0,7.0
172,3.0,2.0,3.0,3.0,8.0
173,5.0,7.0,3.0,5.0,19.0
174,4.0,3.0,3.0,4.0,13.0
175,5.0,6.0,3.0,3.0,14.0
176,5.0,1.0,3.0,5.0,25.0
177,5.0,1.0,3.0,2.0,81.0
178,3.0,1.0,2.0,2.0,26.0
179,3.0,2.0,3.0,3.0,10.0
180,2.0,1.0,2.0,2.0,8.0
181,1.0,1.0,2.0,2.0,8.0
182,4.0,2.0,3.0,3.0,9.0
183,5.0,2.0,3.0,5.0,19.0
184,7.0,5.0,3.0,5.0,108.0
185,4.0,2.0,3.0,2.0,9.0
186,4.0,1.0,2.0,5.0,27.0
187,1.0,1.0,2.0,2.0,5.0
188,5.0,1.0,2.0,2.0,8.0
189,4.0,1.0,2.0,5.0,13.0
190,5.0,2.0,3.0,5.0,36.0
191,5.0,2.0,3.0,5.0,30.0
192,4.0,1.0,2.0,2.0,15.0
193,5.0,2.0,3.0,5.0,19.0
194,5.0,2.0,3.0,3.0,74.0
195,3.0,2.0,3.0,3.0,8.0
196,1.0,1.0,1.0,1.0,3.0
197,5.0,3.0,3.0,5.0,13.0
198,2.0,1.0,2.0,2.0,7.0
199,5.0,1.0,2.0,4.0,28.0
200,1.0,1.0,2.0,2.0,6.0
201,4.0,2.0,3.0,2.0,7.0
202,3.0,2.0,2.0,2.0,4.0
203,5.0,2.0,3.0,5.0,79.0
204,5.0,1.0,2.0,2.0,14.0
205,5.0,1.0,3.0,5.0,20.0
206,4.0,2.0,3.0,3.0,22.0
207,7.0,8.0,3.0,5.0,91.0
208,3.0,1.0,2.0,2.0,9.0
209,6.0,3.0,3.0,5.0,78.0
210,1.0,1.0,2.0,2.0,1.0
211,5.0,3.0,3.0,3.0,13.0
212,3.0,1.0,2.0,2.0,7.0
213,2.0,1.0,2.0,2.0,16.0
214,5.0,2.0,3.0,3.0,86.0
215,4.0,2.0,3.0,3.0,7.0
216,4.0,2.0,2.0,2.0,7.0
217,4.0,7.0,3.0,3.0,8.0
218,6.0,3.0,3.0,6.0,38.0
219,4.0,3.0,3.0,3.0,11.0
220,5.0,3.0,3.0,5.0,15.0
221,1.0,1.0,2.0,2.0,4.0
222,4.0,1.0,2.0,2.0,8.0
223,4.0,1.0,2.0,2.0,8.0
224,5.0,2.0,3.0,3.0,41.0
225,9.0,11.0,3.0,5.0,28.0
226,3.0,2.0,3.0,2.0,12.0
227,4.0,2.0,3.0,3.0,16.0
228,3.0,2.0,3.0,2.0,7.0
229,1.0,1.0,2.0,2.0,7.0
230,5.0,2.0,3.0,3.0,37.0
231,2.0,2.0,2.0,2.0,3.0
232,4.0,1.0,2.0,2.0,14.0
233,4.0,1.0,2.0,2.0,13.0
234,1.0,1.0,2.0,2.0,8.0
235,3.0,2.0,3.0,2.0,8.0
236,4.0,3.0,3.0,3.0,7.0
237,5.0,2.0,3.0,3.0,15.0
238,4.0,2.0,3.0,3.0,8.0
239,5.0,2.0,3.0,5.0,25.0
240,5.0,2.0,3.0,4.0,13.0
241,4.0,1.0,3.0,3.0,7.0
242,5.0,1.0,3.0,3.0,13.0
243,5.0,1.0,3.0,3.0,10.0
244,5.0,3.0,3.0,5.0,24.0
245,3.0,2.0,3.0,3.0,8.0
246,3.0,1.0,2.0,2.0,8.0
247,4.0,3.0,3.0,3.0,12.0
