,none,E1,E2,E3,E4,I2
772,125.0,116.0,103.0,67.0,105.0,309.0
773,101.0,86.0,99.0,59.0,48.0,161.0
774,125.0,127.0,114.0,60.0,92.0,244.0
775,102.0,91.0,106.0,46.0,89.0,212.0
776,111.0,106.0,101.0,55.0,82.0,370.0
777,111.0,101.0,112.0,57.0,58.0,186.0
778,82.0,64.0,99.0,36.0,35.0,185.0
779,98.0,59.0,80.0,34.0,39.0,122.0
780,114.0,109.0,95.0,60.0,54.0,397.0
781,116.0,136.0,133.0,61.0,93.0,409.0
782,109.0,94.0,99.0,53.0,83.0,231.0
783,97.0,59.0,81.0,35.0,43.0,128.0
784,62.0,41.0,58.0,30.0,31.0,102.0
785,95.0,71.0,90.0,43.0,47.0,156.0
786,117.0,123.0,101.0,41.0,93.0,248.0
787,87.0,67.0,97.0,43.0,47.0,123.0
788,101.0,83.0,105.0,47.0,54.0,265.0
789,91.0,56.0,79.0,34.0,38.0,119.0
790,109.0,105.0,122.0,46.0,57.0,276.0
791,100.0,84.0,126.0,47.0,51.0,202.0
792,99.0,84.0,88.0,54.0,42.0,138.0
793,127.0,154.0,161.0,57.0,100.0,421.0
794,129.0,150.0,150.0,67.0,106.0,342.0
795,107.0,75.0,98.0,48.0,47.0,1432.0
796,82.0,64.0,79.0,38.0,39.0,1418.0
797,89.0,73.0,86.0,40.0,41.0,361.0
798,71.0,52.0,71.0,32.0,35.0,112.0
799,103.0,96.0,92.0,57.0,51.0,355.0
800,37.0,31.0,36.0,28.0,28.0,37.0
801,125.0,116.0,98.0,58.0,89.0,203.0
802,123.0,121.0,117.0,54.0,99.0,410.0
803,105.0,79.0,133.0,42.0,48.0,147.0
804,112.0,98.0,104.0,52.0,47.0,339.0
805,122.0,131.0,143.0,65.0,123.0,258.0
806,126.0,182.0,126.0,55.0,101.0,461.0
807,122.0,111.0,123.0,49.0,88.0,260.0
808,95.0,90.0,94.0,56.0,45.0,148.0
809,118.0,122.0,110.0,62.0,91.0,321.0
810,104.0,101.0,120.0,50.0,67.0,178.0
811,113.0,108.0,143.0,53.0,49.0,243.0
812,215.0,306.0,165.0,68.0,205.0,489.0
813,108.0,99.0,127.0,46.0,146.0,346.0
814,111.0,99.0,140.0,54.0,55.0,258.0
815,95.0,68.0,76.0,36.0,39.0,140.0
816,63.0,42.0,59.0,27.0,28.0,87.0
817,124.0,124.0,176.0,58.0,98.0,288.0
818,107.0,89.0,83.0,52.0,49.0,185.0
819,25.0,25.0,25.0,26.0,23.0,25.0
820,105.0,87.0,105.0,47.0,52.0,145.0
821,96.0,78.0,117.0,52.0,48.0,142.0
822,125.0,110.0,144.0,58.0,66.0,378.0
823,85.0,46.0,71.0,33.0,34.0,106.0
824,111.0,109.0,109.0,57.0,66.0,199.0
825,130.0,122.0,139.0,58.0,97.0,465.0
826,75.0,44.0,76.0,30.0,30.0,103.0
827,106.0,93.0,89.0,41.0,44.0,155.0
828,113.0,114.0,104.0,56.0,67.0,264.0
829,93.0,65.0,88.0,40.0,45.0,126.0
830,120.0,113.0,124.0,62.0,61.0,247.0
831,63.0,51.0,76.0,39.0,38.0,105.0
832,94.0,85.0,88.0,56.0,46.0,140.0
833,105.0,87.0,97.0,43.0,47.0,172.0
834,83.0,58.0,82.0,38.0,41.0,116.0
835,63.0,51.0,76.0,32.0,36.0,108.0
836,117.0,118.0,103.0,57.0,106.0,217.0
837,112.0,109.0,103.0,54.0,54.0,154.0
838,106.0,85.0,108.0,44.0,55.0,287.0
839,88.0,58.0,69.0,28.0,26.0,142.0
840,99.0,76.0,81.0,50.0,45.0,162.0
841,78.0,56.0,83.0,39.0,39.0,118.0
842,101.0,93.0,89.0,45.0,41.0,182.0
843,52.0,31.0,46.0,26.0,25.0,71.0
844,123.0,122.0,126.0,49.0,109.0,392.0
845,113.0,112.0,132.0,58.0,81.0,284.0
846,106.0,102.0,111.0,50.0,83.0,184.0
847,89.0,65.0,88.0,43.0,44.0,121.0
848,88.0,69.0,107.0,39.0,44.0,334.0
849,94.0,65.0,91.0,40.0,45.0,121.0
850,98.0,85.0,97.0,55.0,44.0,1528.0
851,94.0,57.0,77.0,38.0,41.0,115.0
852,103.0,97.0,101.0,44.0,52.0,156.0
853,123.0,116.0,162.0,62.0,102.0,205.0
854,77.0,56.0,82.0,32.0,36.0,121.0
855,77.0,55.0,80.0,33.0,36.0,127.0
856,187.0,1530.0,149.0,61.0,208.0,1699.0
857,104.0,79.0,104.0,49.0,60.0,183.0
858,92.0,59.0,98.0,38.0,40.0,118.0
859,104.0,103.0,92.0,40.0,46.0,432.0
860,76.0,58.0,83.0,38.0,37.0,120.0
861,86.0,65.0,87.0,39.0,43.0,125.0
862,104.0,95.0,95.0,41.0,50.0,244.0
863,110.0,103.0,112.0,54.0,89.0,310.0
864,110.0,109.0,172.0,58.0,88.0,1493.0
865,96.0,78.0,85.0,54.0,41.0,169.0
866,105.0,69.0,93.0,39.0,46.0,127.0
867,187.0,420.0,189.0,64.0,110.0,545.0
868,107.0,95.0,112.0,62.0,79.0,1045.0
869,108.0,103.0,104.0,63.0,86.0,206.0
870,88.0,63.0,85.0,40.0,41.0,116.0
