,pt_root_id,body_part_effector,body_part_sensory,cell_class,cell_function,cell_function_detailed,cell_sub_class,cell_type,fafb_783_cell_type,fafb_783_match_id,fanc_1116_cell_type,fanc_1116_match_id,flow,hemibrain_121_cell_type,hemibrain_121_match_id,hemilineage,manc_121_cell_type,manc_121_match_id,nerve,neuropeptide_verified,neurotransmitter_predicted,neurotransmitter_verified,other_names,peripheral_target_type,region,side,super_class,pt_position,surf_area_um2
4417,720575941634269371,,,descending_neuron,,,,DNg59,DNg59,id:720575940620169607,,,intrinsic,,,MD3,DNg59,id:25415,,,gaba,,,,neck_connective,right,descending,[102608  36608    834],13039.601632
4418,720575941634409403,,front_leg,bristle_neuron,tactile,,front_leg_bristle_neuron,SNta21,,,,id:1046,afferent,,,,SNta21,id:42382,left_prothoracic_leg_nerve,,gaba,,CS,bristle,ventral_nerve_cord,left,sensory,,1336.687088
4419,720575941636455029,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN03A066,,,,,intrinsic,,,03A,IN03A066,id:16079,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[153936 164880   4519],5657.620432
4420,720575941636471413,,,,gustatory,,ventral_nerve_cord_ipsilateral_restricted,IN01B086,,,,,intrinsic,,,01B,IN01B086,id:31021,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[162944 153824   3112],1692.539664
4421,720575941636735861,front_leg,,leg_motor_neuron,leg_motor,move_coxa_posterior,front_leg_motor_neuron,sternal_posterior_rotator_miller_32,,,,id:262,efferent,,,20B.21B.22B,Sternal posterior rotator MN,id:21241,right_prothoracic_accessory_nerve,,gaba,,,sternal_posterior_rotator_muscle,ventral_nerve_cord,right,motor,[105808 154672   4201],15060.361824
4422,720575941637721205,,,,,,ventral_nerve_cord_bilateral_restricted,IN16B061,,,,,intrinsic,,,16B,IN16B061,id:13722,,,glutamate,glutamate,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[139424 134976   2453],3704.26944
4423,720575941637734175,,,descending_neuron,,,,DNg06,DNg06,id:720575940618698411,,,intrinsic,,,LB12,DNg06,id:30304,,,acetylcholine,,,,neck_connective,right,descending,[91776 59984  1875],3713.685392
4424,720575941637800309,,,descending_neuron,,,,DNpe054,DNpe054,id:720575940632379071,,,intrinsic,,,PSp2,DNut046,id:30738,,,acetylcholine,,,,neck_connective,right,descending,[109728  49952   4314],3217.126032
4425,720575941637800565,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN19A029,,,,,intrinsic,,,19A,IN19A029,id:12475,,,gaba,gaba,,,ventral_nerve_cord,,ventral_nerve_cord_intrinsic,,9497.751984
4426,720575941637812085,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN21A004,,,,,intrinsic,,,21A,IN21A004,id:11239,,,acetylcholine,,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[106448 153680   3957],12013.163344
4427,720575941638178421,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN04B094,,,,,intrinsic,,,04B,IN04B094,id:165318,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[138448 161504   2099],4320.251968
4428,720575941638266399,,,ascending_neuron,,,,AN06B011,AN_multi_10,id:720575940609713710,,,intrinsic,,,06B,AN06B011,id:11738,,,acetylcholine,,,,neck_connective,left,ascending,[132528 179872   2945],24410.32048
4429,720575941638329973,,,single_leg_neuromere,,,ventral_nerve_cord_contralateral_restricted,IN13B032,,,,,intrinsic,,,13B,IN13B032,id:16600,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[134048 146112   1933],5007.52744
4430,720575941638343797,,,,,,ventral_nerve_cord_bilateral_restricted,IN04B039,,,,,intrinsic,,,04B,IN04B039,id:16527,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[138304 163136   2398],4829.391088
4431,720575941638407199,,,descending_neuron,,,,DNa15,DNa15,id:720575940631759663,,,intrinsic,,,WEDd1,DNa15,id:10621,,,acetylcholine,,,,neck_connective,left,descending,[150736  16032   3860],28311.189392
4432,720575941639039519,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN23B072,,,,,intrinsic,,,23B,IN23B072,id:27405,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[107728 155360   4289],3408.02168
4433,720575941639281525,front_leg,,leg_motor_neuron,leg_motor,extend_femur_tibia_joint,front_leg_motor_neuron,tibia_extensor_FETi,,,,,efferent,,,,,,left_prothoracic_leg_nerve,,gaba,,"fast tibia extensor,FETi",tibia_extensor_muscle,ventral_nerve_cord,left,motor,[140704 135456   2607],17145.985536
4434,720575941639358837,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN08B004,,,,,intrinsic,,,08B,IN08B004,id:10579,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[150528 165856   3791],20430.303424
4435,720575941639365749,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN06B001,,,,,intrinsic,,,06B,IN06B001,id:10031,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[126160 166352   2386],43958.821888
4436,720575941639371125,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN21A006,,,,,intrinsic,,,21A,IN21A006,id:12250,,,glutamate,,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[155296 159728   4630],14705.410576
4437,720575941639506207,front_leg,,leg_motor_neuron,leg_motor,extend_coxa_trochanter_joint,front_leg_motor_neuron,tergotrochanter_extensor,,,,,efferent,,,17X,Tergotr. MN,id:19652,left_ventral_prothoracic_nerve,,,,,tergotrochanter_extensor_muscle,ventral_nerve_cord,left,motor,[144384 136880   3249],8884.674528
4438,720575941639570207,,front_leg,bristle_neuron,tactile,,front_leg_bristle_neuron,SNta31,,,,,afferent,,,,SNta31,id:56081,right_prothoracic_leg_nerve,,acetylcholine,,,bristle,ventral_nerve_cord,right,sensory,,882.6528
4439,720575941639588127,,,descending_neuron,,,,DNp33,DNp33,id:720575940604103084,,,intrinsic,,,putative_primary,DNp33,id:12064,,,acetylcholine,,,,neck_connective,left,descending,[147104  54992   3723],18006.560576
4440,720575941639763999,,,descending_neuron,,,,DNg51,DNg51,id:720575940629521655,,,intrinsic,,,LB7,DNut042,id:36468,,,acetylcholine,,,,neck_connective,left,descending,[156336  50400   1890],9982.441488
4441,720575941639802655,,,descending_neuron,,,,DNg08_a,DNg08_a,id:720575940616688286,,,intrinsic,,,MX3,DNxn111,id:28812,,,gaba,,,,neck_connective,right,descending,[113024  54704    691],3549.025072
4442,720575941639868277,,,ascending_neuron,,,,AN12B008,AN_GNG_155,id:720575940633969815,,,intrinsic,,,12B,AN12B008,id:11441,,,gaba,gaba,,,neck_connective,left,ascending,[133696 199024   3957],13986.958768
4443,720575941640075551,,,descending_neuron,,,,DNge062,DNge062,id:720575940627099338,,,intrinsic,,,putative_primary,DNxl079,id:23585,,,acetylcholine,,,,neck_connective,left,descending,[154784  51328   1606],12254.72128
4444,720575941640337269,,front_leg,chordotonal_organ_neuron,proprioception,direction,front_leg_hook_chordotonal_organ_neuron,SNpp44,,,,id:1154,afferent,,,,SNpp44,id:47909,left_prothoracic_leg_nerve,,gaba,,,chordotonal_organ,ventral_nerve_cord,left,sensory,,1337.103664
4445,720575941640466463,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN04B034,,,,,intrinsic,,,04B,IN04B034,id:15811,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[135936 161920   2216],5704.996816
4446,720575941640505375,,,descending_neuron,,,,DNge035,DNge035,id:720575940620298772,,,intrinsic,,,putative_primary,DNxl134,id:10291,,,acetylcholine,,,,neck_connective,right,descending,[90608 56464  2019],35178.298512
4447,720575941640900453,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN06B019,,,,,intrinsic,,,06B,IN06B019,id:11944,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[128384 181344   2664],14746.266512
4448,720575941640958053,front_leg,,leg_motor_neuron,leg_motor,pull_long_tendon,front_leg_motor_neuron,long_tendon_muscle_B,,,,id:207,efferent,,,15B,ltm1-tibia MN,id:15720,right_prothoracic_leg_nerve,,,,,long_tendon_muscle,ventral_nerve_cord,right,motor,[120816 141376   2270],4265.205408
4449,720575941641346591,,,single_leg_neuromere,proprioception,,ventral_nerve_cord_ipsilateral_restricted,IN21A009,,,,,intrinsic,,,21A,IN21A009,id:11484,,,glutamate,,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,,12800.450944
4450,720575941641465682,,,ascending_neuron,,,,AN17B008,AN_GNG_AMMC_2,id:720575940639232309,,,intrinsic,,,17B,AN17B008,id:17197,,,gaba,,,,neck_connective,right,ascending,[ 99376 168304   4473],17603.694272
4451,720575941641502546,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN08A036,,,,,intrinsic,,,08A,IN08A036,id:20896,,,glutamate,glutamate,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[141952 137504   2899],2826.060896
4452,720575941641534565,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_interconnecting,IN09A027,,,,,intrinsic,,,09A,IN09A027,id:20640,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[137312 142576   2664],5167.98704
4453,720575941641539941,,,,,,ventral_nerve_cord_ipsilateral_interconnecting,IN03A045,,,,,intrinsic,,,03A,IN03A045,id:20320,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[135104 199536   4620],5834.30176
4454,720575941641548626,,,ventral_nerve_cord_serially_convergent,,,ventral_nerve_cord_bilateral_interconnecting,IN08B056,,,,,intrinsic,,,08B,IN08B056,id:16229,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[104784 164688   3624],5432.483248
4455,720575941642157650,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN21A028,,,,,intrinsic,,,21A,,,,,glutamate,,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[155472 161280   4645],6194.836848
