w_idx,pt_root_id,body_part_effector,body_part_sensory,cell_class,cell_function,cell_function_detailed,cell_sub_class,cell_type,fafb_783_cell_type,fafb_783_match_id,fanc_1116_cell_type,fanc_1116_match_id,flow,hemibrain_121_cell_type,hemibrain_121_match_id,hemilineage,manc_121_cell_type,manc_121_match_id,nerve,neuropeptide_verified,neurotransmitter_predicted,neurotransmitter_verified,other_names,peripheral_target_type,region,side,super_class
0,720575941350274352,,,,,,ventral_nerve_cord_bilateral_interconnecting,GFC1,,,,,intrinsic,,,18B,,,,,acetylcholine,,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
1,720575941351912752,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN16B080,,,,,intrinsic,,,16B,IN16B080,id:24879,,,glutamate,glutamate,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2,720575941352057904,,,descending_neuron,,,,DNpe054,DNpe054,id:720575940632379071,,,intrinsic,,,PSp2,,,,,acetylcholine,,,,neck_connective,left,descending
3,720575941352535088,,front_leg,chordotonal_organ_neuron,proprioception,position,front_leg_claw_chordotonal_organ_neuron,SNpp51,,,,,afferent,,,,SNpp51,id:45274,right_prothoracic_leg_nerve,,gaba,acetylcholine,,chordotonal_organ,ventral_nerve_cord,right,sensory
4,720575941352917296,,,single_leg_neuromere,,,ventral_nerve_cord_contralateral_restricted,IN14A015,,,,,intrinsic,,,14A,IN14A015,id:16565,,,glutamate,,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
5,720575941352918576,,,descending_neuron,,,,DNg70,DNg70,id:720575940632407826,,,intrinsic,,,MX3,DNxn180,id:11839,,Lk,gaba,,,,neck_connective,left,descending
6,720575941352919856,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN03A018,,,,,intrinsic,,,03A,IN03A018,id:14475,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
7,720575941353080624,,,descending_neuron,,,,DNge036,DNge036,id:720575940627107721,,,intrinsic,,,putative_primary,DNfl042,id:16393,,,acetylcholine,,,,neck_connective,right,descending
8,720575941353301552,front_leg,,leg_motor_neuron,leg_motor,move_coxa_posterior,front_leg_motor_neuron,sternal_posterior_rotator_miller_32,,,,,efferent,,,,,,right_prothoracic_accessory_nerve,,gaba,,,sternal_posterior_rotator_muscle,ventral_nerve_cord,right,motor
9,720575941353771056,,,descending_neuron,,,,DNge100,DNge100,id:720575940629792060,,,intrinsic,,,,DNg47,id:24892,,,acetylcholine,,,,neck_connective,left,descending
10,720575941354084144,,front_leg,chordotonal_organ_neuron,proprioception,direction,front_leg_hook_chordotonal_organ_neuron,SNpp39,,,,,afferent,,,,SNpp39,id:30692,left_prothoracic_leg_nerve,,gaba,acetylcholine,hook,chordotonal_organ,ventral_nerve_cord,left,sensory
11,720575941354124592,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN03A006,,,,,intrinsic,,,03A,IN03A006,id:11374,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
12,720575941390193156,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN13A043,,,,,intrinsic,,,13A,,,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
13,720575941390285462,,,descending_neuron,,,,DNg05_b,DNg05_b,id:720575940625550398,,,intrinsic,,,LB12,DNg05,id:28700,,,acetylcholine,,,,neck_connective,right,descending
14,720575941390308246,,,descending_neuron,,,,DNge118,DNge118,id:720575940623537485,,,intrinsic,,,LB7,DNut054,id:29521,,,acetylcholine,,,,neck_connective,left,descending
15,720575941390326532,,,,,,ventral_nerve_cord_bilateral_interconnecting,GFC4,,,,,intrinsic,,,11A,GFC4,id:41708,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
16,720575941390619140,,,descending_neuron,,,,DNg10,,,,,intrinsic,,,,DNg10,id:39045,,,gaba,,,,neck_connective,right,descending
17,720575941390623382,,,descending_neuron,,,,DNp20,DNp20,id:720575940644166048,,,intrinsic,DNp20,id:1745333830,putative_primary,DNp20,id:10023,,,gaba,acetylcholine,DNOVS1,,neck_connective,right,descending
18,720575941390672790,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN21A067,,,,,intrinsic,,,21A,,,,,glutamate,,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
19,720575941390677654,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN07B008,,,,,intrinsic,,,07B,,,,,glutamate,,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
20,720575941390682262,,,ventral_nerve_cord_dorsal,,,ventral_nerve_cord_bilateral_interconnecting,IN11A021,,,,,intrinsic,,,11A,IN11A021,id:14151,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
21,720575941390690966,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN16B122,,,,,intrinsic,,,16B,IN16B122,id:28286,,,glutamate,glutamate,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
22,720575941390722710,,,descending_neuron,,,,DNge025,DNge025,id:720575940632303441,,,intrinsic,,,MX12,DNg12,id:32424,,,acetylcholine,,MX12_R_10,,neck_connective,right,descending
23,720575941390725270,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN13A049,,,,,intrinsic,,,13A,IN13A049,id:156928,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
24,720575941390728598,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN20A.22A084,,,,,intrinsic,,,20A.22A,IN20A.22A084,id:30151,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
25,720575941390822404,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN09A010,,,,,intrinsic,,,09A,IN09A010,id:11766,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
26,720575941390883478,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN19A133,,,,,intrinsic,,,19A,IN19A133,id:41301,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
27,720575941391038468,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN08A030,,,,,intrinsic,,,08A,IN08A030,id:19262,,,glutamate,glutamate,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
28,720575941391207574,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN16B075,,,,,intrinsic,,,16B,IN16B075,id:20317,,,glutamate,glutamate,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
29,720575941391252630,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN12A016,,,,,intrinsic,,,12A,,,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
30,720575941391252886,front_leg,,leg_motor_neuron,leg_motor,flex_coxa_trochanter_joint,front_leg_motor_neuron,trochanter_flexor_posterior_soma_ProAN,,,,,efferent,,,,,,right_prothoracic_accessory_nerve,,gaba,,,trochanter_flexor_muscle,ventral_nerve_cord,right,motor
31,720575941391756548,,,descending_neuron,,,,DNfl028,,,,,intrinsic,,,,DNfl028,id:26332,,,acetylcholine,,MX12_L_38,,neck_connective,left,descending
32,720575941391789060,,,,,,ventral_nerve_cord_bilateral_restricted,IN16B055,,,,,intrinsic,,,16B,IN16B055,id:22712,,,glutamate,glutamate,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
33,720575941391792388,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN16B098,,,,,intrinsic,,,16B,IN16B098,id:27532,,,glutamate,glutamate,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
34,720575941391853572,,front_leg,chordotonal_organ_neuron,proprioception,position,front_leg_claw_chordotonal_organ_neuron,SNpp51,,,,,afferent,,,,SNpp51,id:103757,right_prothoracic_leg_nerve,,gaba,acetylcholine,claw,chordotonal_organ,ventral_nerve_cord,right,sensory
35,720575941392039574,,,,,,ventral_nerve_cord_bilateral_restricted,IN04B050,,,,,intrinsic,,,04B,IN04B050,id:19446,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
36,720575941392594070,,front_leg,bristle_neuron,tactile,,front_leg_bristle_neuron,SNxxxx,,,,,afferent,,,,SNxxxx,id:41762993783,right_prothoracic_leg_nerve,,acetylcholine,,,bristle,ventral_nerve_cord,right,sensory
37,720575941392812548,,,descending_neuron,,,,DNp26,DNp26,id:720575940627732361,,,intrinsic,DNp26,id:1100404634,putative_primary,DNp26,id:10681,,,acetylcholine,,,,neck_connective,right,descending
38,720575941393196950,,,descending_neuron,,,,DNpe054,DNpe054,id:720575940621629578,,,intrinsic,,,PSp2,DNht001,id:31497,,,acetylcholine,,,,neck_connective,right,descending
39,720575941393242628,,,descending_neuron,,,,DNp30,DNp30,id:720575940633228103,,,intrinsic,,,putative_primary,DNp30,id:17211,,Dsk,serotonin,,,,neck_connective,right,descending
40,720575941393480342,,front_leg,bristle_neuron,tactile,,front_leg_bristle_neuron,SNta40,,,,,afferent,,,,SNta40,id:146676,right_prothoracic_leg_nerve,,gaba,,,bristle,ventral_nerve_cord,,sensory
41,720575941393489814,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN13A061,,,,,intrinsic,,,13A,IN13A061,id:37692,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
42,720575941393503382,,"front_leg,trochanter",hair_plate_neuron,proprioception,joint_angle,front_leg_hair_plate_neuron,SNpp52,,,,,afferent,,,,SNpp52,id:11399,left_prothoracic_leg_nerve,,gaba,,,hair_plate,ventral_nerve_cord,left,sensory
43,720575941393708804,,,,proprioception,,ventral_nerve_cord_bilateral_restricted,IN19A106,,,,,intrinsic,,,19A,IN19A106,id:24040,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
44,720575941393745046,,,ascending_neuron,,,,AN04A001,AN_GNG_165,id:720575940657604737,,,intrinsic,,,04A,AN04A001,id:10823,,,acetylcholine,,,,neck_connective,right,ascending
45,720575941393748630,,,ascending_neuron,,,,AN01A006,AN_GNG_48,id:720575940618608110,,,intrinsic,,,01A,AN01A006,id:10905,,,acetylcholine,acetylcholine,,,neck_connective,right,ascending
46,720575941393864342,,,ascending_neuron,,,,ANXXX041,AN_GNG_123,id:720575940639301747,,,intrinsic,,,TBD,ANXXX041,id:12165,,,gaba,,,,neck_connective,right,ascending
47,720575941394119830,,,descending_neuron,,,,DNp42,DNp42,id:720575940641148149,,,intrinsic,,,PSp3,DNp42,id:11310,,,acetylcholine,,,,neck_connective,right,descending
48,720575941394131094,,,descending_neuron,,,,DNg26,DNg26,id:720575940605300140,,,intrinsic,,,MX0__prim,DNg26,id:18113,,"AstC,Hug",serotonin,serotonin,Hugin-VNC,,neck_connective,left,descending
49,720575941394472342,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN16B064,,,,,intrinsic,,,16B,,,,,glutamate,glutamate,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
50,720575941394658198,,,descending_neuron,,,,DNge043,DNge043,id:720575940634428058,,,intrinsic,,,putative_primary,DNg37,id:12863,,,gaba,,,,neck_connective,right,descending
51,720575941394704022,,front_leg,chordotonal_organ_neuron,proprioception,direction,front_leg_hook_chordotonal_organ_neuron,SNpp39,,,,,afferent,,,,SNpp39,id:196644,right_prothoracic_leg_nerve,,gaba,acetylcholine,hook,chordotonal_organ,ventral_nerve_cord,right,sensory
52,720575941399042851,,,descending_neuron,,,,DNge077,DNge077,id:720575940614014895,,,intrinsic,,,putative_primary,DNfl025,id:27095,,,acetylcholine,,,,neck_connective,left,descending
53,720575941399099427,,,descending_neuron,,,,DNfl033,,,,,intrinsic,,,,DNfl033,id:21320,,,acetylcholine,,,,neck_connective,right,descending
54,720575941399201827,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN03A061,,,,,intrinsic,,,03A,IN03A061,id:17917,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
55,720575941399314723,,,,,,ventral_nerve_cord_contralateral_restricted,IN13B069,,,,,intrinsic,,,13B,,,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
56,720575941399317539,,,single_leg_neuromere,,,ventral_nerve_cord_contralateral_restricted,IN13B029,,,,,intrinsic,,,13B,IN13B029,id:16999,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
57,720575941399380515,,,descending_neuron,,,,DNg12_e,DNg12_e,id:720575940614588778,,,intrinsic,,,MX12,DNg12,id:27728,,,acetylcholine,,MX12_R_40,,neck_connective,right,descending
58,720575941399414563,front_leg,,leg_motor_neuron,leg_motor,flex_coxa_trochanter_joint,front_leg_motor_neuron,trochanter_flexor_ProAN,,,,,efferent,,,,,,right_prothoracic_accessory_nerve,,gaba,,,trochanter_flexor_muscle,ventral_nerve_cord,right,motor
59,720575941400285475,,,descending_neuron,,,,DNge125,DNge125,id:720575940605658033,,,intrinsic,,,LB7__prim,DNnt020,id:17279,,,acetylcholine,,,,neck_connective,right,descending
60,720575941400290851,,,descending_neuron,,,,DNg49,DNg49,id:720575940631299855,,,intrinsic,,id:1345285966,putative_primary,DNg49,id:15047,,,gaba,,,,neck_connective,right,descending
61,720575941400319779,,,ascending_neuron,,,,AN08B022,AN_VES_GNG_7,id:720575940615669826,,,intrinsic,,,08B,AN08B022,id:14676,,,acetylcholine,acetylcholine,,,neck_connective,right,ascending
62,720575941400423459,,front_leg,bristle_neuron,tactile,,front_leg_bristle_neuron,SNxxxx,,,,,afferent,,,,SNxxxx,id:41762993783,right_prothoracic_leg_nerve,,acetylcholine,,,bristle,ventral_nerve_cord,right,sensory
63,720575941400698403,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN12B086,,,,,intrinsic,,,12B,IN12B086,id:27372,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
64,720575941400707875,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN08A034,,,,,intrinsic,,,08A,IN08A034,id:24993,,,glutamate,glutamate,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
65,720575941400730403,,,single_leg_neuromere,proprioception,,ventral_nerve_cord_contralateral_restricted,IN14A017,,,,,intrinsic,,,14A,IN14A017,id:27260,,,glutamate,,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
66,720575941400736035,,,,,,ventral_nerve_cord_bilateral_restricted,IN01A052,,,,,intrinsic,,,01A,IN01A052,id:18358,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
67,720575941400788771,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN03A061,,,,,intrinsic,,,03A,,,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
68,720575941400818723,,,ventral_nerve_cord_dorsal,,,ventral_nerve_cord_bilateral_interconnecting,IN14B007,,,,,intrinsic,,,14B,IN14B007,id:11822,,,gaba,,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
69,720575941400887587,,,,,,,,,,,,afferent,,,,,,left_prothoracic_leg_nerve,,,,,,ventral_nerve_cord,left,sensory
70,720575941401454883,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN13A038,,,,,intrinsic,,,13A,IN13A038,id:19906,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
71,720575941401753379,,,ventral_nerve_cord_serially_convergent,,,ventral_nerve_cord_bilateral_interconnecting,IN07B002,,,,,intrinsic,,,07B,IN07B002,id:10090,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
72,720575941401753635,,,descending_neuron,,,,DNg06,DNg06,id:720575940612698287,,,intrinsic,,,LB12,DNxn100,id:69417,,,acetylcholine,,,,neck_connective,left,descending
73,720575941401760803,,hind_leg,campaniform_sensillum_neuron,proprioception,mechanical_strain,front_leg_campaniform_sensillum_neuron,SNpp52,,,,,afferent,,,,SNpp52,id:17486,left_prothoracic_leg_nerve,,gaba,,,campaniform_sensillum,ventral_nerve_cord,left,sensory
74,720575941401766435,,,descending_neuron,,,,DNbe007,DNbe007,id:720575940644494752,,,intrinsic,,,putative_primary,DNxl082,id:20029,,,acetylcholine,,,,neck_connective,left,descending
75,720575941401773091,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN04B078,,,,,intrinsic,,,04B,IN04B078,id:20836,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
76,720575941401776931,,,ventral_nerve_cord_dorsal,,,ventral_nerve_cord_bilateral_interconnecting,IN12A015,,,,,intrinsic,,,12A,IN12A015,id:12723,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
77,720575941401780003,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN08B058,,,,,intrinsic,,,08B,IN08B058,id:16639,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
78,720575941401786403,,,descending_neuron,,,,DNpe004,DNpe004,id:720575940605009097,,,intrinsic,,,putative_primary,,,,,acetylcholine,,,,neck_connective,right,descending
79,720575941401795619,,,,,,ventral_nerve_cord_ipsilateral_interconnecting,IN17A020,,,,,intrinsic,,,17A,IN17A020,id:11966,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
80,720575941401814307,,,descending_neuron,,,,DNge050,DNge050,id:720575940611813842,,,intrinsic,,,putative_primary,DNxl049,id:11120,,,acetylcholine,,,,neck_connective,left,descending
81,720575941401962787,,,descending_neuron,,,,DNg104,DNg104,id:720575940631282194,,,intrinsic,,,putative_primary,DNxl101,id:20464,,,octopamine,,,,neck_connective,left,descending
82,720575941402088304,front_leg,,leg_motor_neuron,leg_motor,move_coxa_posterior,front_leg_motor_neuron,sternal_posterior_rotator,,,,,efferent,,,,,,left_prothoracic_accessory_nerve,,gaba,,,sternal_posterior_rotator_muscle,ventral_nerve_cord,left,motor
83,720575941402468899,,,descending_neuron,,,,DNp17,DNp17,id:720575940610010521,,,intrinsic,,,PSp2,,,,,acetylcholine,,,,neck_connective,right,descending
84,720575941402551331,,,descending_neuron,,,,DNb03,DNb03,id:720575940634163682,,,intrinsic,,,putative_primary,DNb03,id:21756,,,acetylcholine,,,,neck_connective,left,descending
85,720575941402626595,,front_leg,campaniform_sensillum_neuron,proprioception,mechanical_strain,front_leg_campaniform_sensillum_neuron,SNpp45,,,,,afferent,,,,SNpp45,id:21155,left_prothoracic_leg_nerve,,gaba,,,campaniform_sensillum,ventral_nerve_cord,left,sensory
86,720575941402821923,,,descending_neuron,,,,DNp05,DNp05,id:720575940612203482,,,intrinsic,,,putative_primary,DNp05,id:11588,,,acetylcholine,acetylcholine,,,neck_connective,left,descending
87,720575941402823715,,,single_leg_neuromere,,,ventral_nerve_cord_bilateral_restricted,IN09A016,,,,,intrinsic,,,09A,IN09A016,id:14210,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
88,720575941403521648,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN03A022,,,,,intrinsic,,,03A,IN03A022,id:14193,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
89,720575941403825008,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN09A074,,,,,intrinsic,,,09A,IN09A074,id:101957,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
90,720575941403907696,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN13A058,,,,,intrinsic,,,13A,IN13A058,id:21372,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
91,720575941403931248,,,ascending_neuron,,,,ANXXX092,AN_GNG_27,id:720575940627663100,,,intrinsic,,,TBD,ANXXX092,id:15831,,,acetylcholine,,,,neck_connective,left,ascending
92,720575941404711792,,,descending_neuron,,,,DNpe016,DNpe016,id:720575940614236200,,,intrinsic,PS211,id:1251810443,PSp2,DNxn174,id:15597,,,acetylcholine,,,,neck_connective,right,descending
93,720575941404724080,,,ventral_nerve_cord_centrifugal,,,ventral_nerve_cord_contralateral_interconnecting,IN10B007,,,,,intrinsic,,,10B,IN10B007,id:11174,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
94,720575941404748144,,,descending_neuron,,,,DNge106,DNge106,id:720575940624484796,,,intrinsic,,,MX12,DNxl097,id:15356,,,acetylcholine,,,,neck_connective,left,descending
95,720575941404813680,,,descending_neuron,,,,DNg36_b,DNg36_b,id:720575940621700789,,,intrinsic,,,LB7,DNut042,id:104296,,,acetylcholine,,,,neck_connective,left,descending
96,720575941404874352,,,descending_neuron,,,,DNge173,DNge173,id:720575940626557442,,,intrinsic,,,MX12__prim,DNfl021,id:31787,,,acetylcholine,,,,neck_connective,right,descending
97,720575941404900464,,,ascending_neuron,,,,AN_GNG_SAD_32,AN_GNG_SAD_32,id:720575940631811097,,,intrinsic,,,,,,,,acetylcholine,,,,neck_connective,right,ascending
98,720575941404981360,,,descending_neuron,,,,DNp17,DNp17,id:720575940628398202,,,intrinsic,,,PSp2,DNp17,id:27448,,,acetylcholine,,,,neck_connective,left,descending
99,720575941405473327,,,descending_neuron,,,,DNge015,DNge015,id:720575940605656521,,,intrinsic,,,,,,,,acetylcholine,,,,neck_connective,left,descending
100,720575941405601839,,,single_leg_neuromere,,,ventral_nerve_cord_contralateral_restricted,IN12B023,,,,,intrinsic,,,12B,,,,,gaba,,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
101,720575941405745776,,,descending_neuron,,,,DNg106,DNg106,id:720575940617035153,,,intrinsic,,,MX3,DNg106,id:29695,,,gaba,,,,neck_connective,left,descending
102,720575941405745967,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN01A081,,,,,intrinsic,,,01A,IN01A081,id:37164,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
103,720575941405779630,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN09A072,,,,,intrinsic,,,09A,IN09A072,id:25008,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
104,720575941405820975,,,,,,ventral_nerve_cord_bilateral_restricted,IN04B067,,,,,intrinsic,,,04B,IN04B067,id:38325,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
105,720575941405862062,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN04B094,,,,,intrinsic,,,04B,IN04B094,id:20520,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
106,720575941405868462,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN17A052,,,,,intrinsic,,,17A,,,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
107,720575941405868656,,,descending_neuron,,,,DNp27,DNp27,id:720575940629413962,,,intrinsic,DNp27,,,DNp27,id:15272,,"AstC,Orcokinin,Trissin",serotonin,acetylcholine,"Allatostatin-C,PMP2",,neck_connective,right,descending
108,720575941405890928,,front_leg,bristle_neuron,tactile,,front_leg_bristle_neuron,SNta21,,,,,afferent,,,,SNta21,id:37472,left_prothoracic_leg_nerve,,gaba,,,bristle,ventral_nerve_cord,left,sensory
109,720575941405891246,,,single_leg_neuromere,,,ventral_nerve_cord_contralateral_restricted,IN01A077,,,,,intrinsic,,,01A,,,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
110,720575941406488494,front_leg,,leg_motor_neuron,leg_motor,flex_femur_tibia_joint,front_leg_motor_neuron,accessory_tibia_flexor_A,,,,,efferent,,,,Ti flexor MN,id:15321,left_prothoracic_leg_nerve,,gaba,,,accessory_tibia_flexor_muscle,ventral_nerve_cord,left,motor
111,720575941407410094,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN03A066,,,,,intrinsic,,,03A,IN03A066,id:20328,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
112,720575941407413807,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN21A001,,,,,intrinsic,,,21A,,,,,glutamate,,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
113,720575941407451695,,,,proprioception,,ventral_nerve_cord_bilateral_restricted,IN19A107,,,,,intrinsic,,,19A,IN19A107,id:42680,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
114,720575941407463471,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN08B054,,,,,intrinsic,,,08B,IN08B054,id:14550,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
115,720575941407464751,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN01A004,,,,,intrinsic,,,01A,IN01A004,id:11243,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
116,720575941407478063,,,ventral_nerve_cord_serially_convergent,,,ventral_nerve_cord_bilateral_interconnecting,IN12B005,,,,,intrinsic,,,12B,IN12B005,id:11983,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
117,720575941407510702,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN07B065,,,,,intrinsic,,,07B,IN07B065,id:21319,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
118,720575941407564718,,,ascending_neuron,,,,AN12B011,AN_GNG_151,id:720575940635768895,,,intrinsic,,,12B,AN12B011,id:12108,,,gaba,gaba,,,neck_connective,left,ascending
119,720575941407788206,,,descending_neuron,,,,DNge029,DNge029,id:720575940614235323,,,intrinsic,,,MX12__prim,,,,,glutamate,,,,central_brain,left,descending
120,720575941407841071,,,descending_neuron,,,,DNp07,DNp07,id:720575940617034565,,,intrinsic,,,putative_primary,DNp07,id:11150,,,acetylcholine,acetylcholine,,,neck_connective,left,descending
121,720575941408170799,,,descending_neuron,,,,DNge102,DNge102,id:720575940623706405,,,intrinsic,,,,DNxn165,id:15839,,,glutamate,,,,neck_connective,left,descending
122,720575941408199471,,,,proprioception,,ventral_nerve_cord_bilateral_restricted,IN19A098,,,,,intrinsic,,,19A,IN19A098,id:39586,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
123,720575941408338862,front_leg,,leg_motor_neuron,leg_motor,extend_coxa_trochanter_joint,front_leg_motor_neuron,tergotrochanter_extensor,,,,,efferent,,,17X,Tergotr. MN,id:166309,left_ventral_prothoracic_nerve,,gaba,,,tergotrochanter_extensor_muscle,ventral_nerve_cord,left,motor
124,720575941408417454,,,,proprioception,,ventral_nerve_cord_ipsilateral_restricted,IN01B085,,,,,intrinsic,,,01B,IN01B085,id:31782,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
125,720575941408425390,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN03A089,,,,,intrinsic,,,03A,IN03A089,id:158041,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
126,720575941408456110,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN12A053,,,,,intrinsic,,,12A,IN12A053,id:24983,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
