w_idx,pt_root_id,body_part_effector,body_part_sensory,cell_class,cell_function,cell_function_detailed,cell_sub_class,cell_type,fafb_783_cell_type,fafb_783_match_id,fanc_1116_cell_type,fanc_1116_match_id,flow,hemibrain_121_cell_type,hemibrain_121_match_id,hemilineage,manc_121_cell_type,manc_121_match_id,nerve,neuropeptide_verified,neurotransmitter_predicted,neurotransmitter_verified,other_names,peripheral_target_type,region,side,super_class
2886,720575941551420187,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN03A065,,,,,intrinsic,,,03A,IN03A065,id:18774,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2887,720575941551528475,,front_leg,campaniform_sensillum_neuron,proprioception,mechanical_strain,front_leg_bilateral_campaniform_sensillum_neuron,,,,,,afferent,,,,,,left_prothoracic_leg_nerve,,acetylcholine,,"bCS,bilaterally projecting campaniform sensillum neuron",campaniform_sensillum,ventral_nerve_cord,left,sensory
2888,720575941551610778,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN13A047,,,,,intrinsic,,,13A,IN13A047,id:18744,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2889,720575941551774526,,,descending_neuron,,,,DNpe023,DNpe023,id:720575940616604817,,,intrinsic,,,putative_primary,DNit013,id:37139,,,acetylcholine,,,,neck_connective,left,descending
2890,720575941551946239,,,single_leg_neuromere,,,ventral_nerve_cord_contralateral_restricted,IN14A037,,,,,intrinsic,,,14A,IN14A037,id:29014,,,glutamate,,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2891,720575941551947263,,,ventral_nerve_cord_serially_convergent,,,ventral_nerve_cord_bilateral_interconnecting,IN23B001,,,,,intrinsic,,,23B,IN23B001,id:10202,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2892,720575941551948543,,,descending_neuron,,,,DNp63,DNp63,id:720575940636610671,,,intrinsic,,,SMPpm1,DNp63,id:16075,,,acetylcholine,,,,neck_connective,left,descending
2893,720575941551955199,,,ascending_neuron,,,,AN09B014,AN_GNG_40,id:720575940605154988,,,intrinsic,,,09B,AN09B014,id:12427,,,acetylcholine,,,,neck_connective,right,ascending
2894,720575941551991295,,,descending_neuron,,,,DNg16,DNg16,id:720575940645047831,,,intrinsic,,,putative_primary,DNg16,id:10138,,,acetylcholine,,,,neck_connective,left,descending
2895,720575941551995391,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN21A006,,,,,intrinsic,,,21A,IN21A006,id:163638,,,glutamate,,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2896,720575941552002815,,,descending_neuron,,,,DNg57,DNg57,id:720575940632634532,,,intrinsic,,,LB23,DNg84,id:27011,,,acetylcholine,,,,neck_connective,right,descending
2897,720575941552008959,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN16B114,,,,,intrinsic,,,16B,IN16B114,id:100554,,,glutamate,glutamate,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2898,720575941552009727,,,descending_neuron,,,,DNg49,DNg49,id:720575940632307025,,,intrinsic,,,putative_primary,DNg49,id:14937,,,gaba,,,,neck_connective,left,descending
2899,720575941552010495,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN19A021,,,,,intrinsic,,,19A,IN19A021,id:11833,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2900,720575941552013055,,,ascending_neuron,,,,AN09B009,AN_GNG_160,id:720575940622264444,,,intrinsic,,,09B,AN09B009,id:152278,,,acetylcholine,,,,neck_connective,right,ascending
2901,720575941552017663,,,descending_neuron,,,,DNge064,DNge064,id:720575940636333710,,,intrinsic,,,putative_primary,DNxl100,id:14330,,,glutamate,,,,neck_connective,left,descending
2902,720575941552024575,,,ascending_neuron,,,,AN07B005,,,,,intrinsic,,,07B,AN07B005,id:10540,,,acetylcholine,acetylcholine,,,neck_connective,right,ascending
2903,720575941552142727,,,descending_neuron,,,,DNa03,DNa03,id:720575940620918789,,,intrinsic,,,WEDd1,DNa03,id:25683,,,acetylcholine,,,,neck_connective,left,descending
2904,720575941552163583,,,descending_neuron,,,,DNpe022,DNpe022,id:720575940615798470,,,intrinsic,,,PSp3,DNxl105,id:13108,,,acetylcholine,,,,neck_connective,left,descending
