,none,E1,E2,E4,E5,I2
226,89.0,75.0,87.0,60.0,87.0,187.0
227,91.0,80.0,90.0,62.0,90.0,178.0
228,84.0,76.0,80.0,57.0,82.0,206.0
229,98.0,85.0,95.0,68.0,90.0,197.0
230,90.0,78.0,86.0,61.0,84.0,190.0
231,86.0,72.0,80.0,63.0,74.0,187.0
232,84.0,73.0,85.0,63.0,77.0,172.0
233,95.0,79.0,90.0,65.0,89.0,187.0
234,87.0,78.0,86.0,66.0,83.0,190.0
235,89.0,74.0,85.0,54.0,82.0,177.0
236,93.0,82.0,92.0,71.0,81.0,210.0
237,96.0,80.0,88.0,63.0,91.0,200.0
238,91.0,77.0,88.0,61.0,86.0,203.0
239,84.0,76.0,83.0,59.0,75.0,193.0
240,86.0,77.0,85.0,62.0,78.0,190.0
241,91.0,74.0,83.0,60.0,75.0,191.0
242,90.0,78.0,87.0,65.0,87.0,179.0
243,100.0,80.0,93.0,65.0,91.0,205.0
244,86.0,79.0,84.0,61.0,78.0,195.0
245,90.0,80.0,88.0,62.0,81.0,187.0
246,92.0,80.0,90.0,65.0,87.0,192.0
247,96.0,83.0,91.0,70.0,88.0,209.0
248,96.0,83.0,91.0,68.0,88.0,194.0
249,87.0,76.0,84.0,64.0,77.0,193.0
250,88.0,75.0,84.0,66.0,80.0,186.0
251,91.0,79.0,88.0,64.0,89.0,185.0
252,92.0,81.0,89.0,64.0,85.0,203.0
253,91.0,82.0,93.0,67.0,83.0,203.0
254,87.0,76.0,87.0,59.0,86.0,205.0
255,96.0,83.0,95.0,68.0,90.0,203.0
256,89.0,79.0,88.0,61.0,81.0,191.0
257,84.0,75.0,85.0,63.0,75.0,172.0
258,92.0,80.0,93.0,61.0,85.0,187.0
259,88.0,78.0,88.0,66.0,82.0,186.0
260,87.0,79.0,90.0,65.0,79.0,168.0
261,98.0,87.0,93.0,71.0,93.0,199.0
262,88.0,77.0,84.0,66.0,79.0,190.0
263,94.0,73.0,88.0,65.0,80.0,191.0
264,87.0,76.0,85.0,63.0,85.0,181.0
265,90.0,78.0,86.0,68.0,83.0,208.0
266,92.0,81.0,91.0,67.0,87.0,184.0
267,90.0,76.0,83.0,60.0,87.0,168.0
268,90.0,78.0,86.0,60.0,80.0,198.0
269,89.0,73.0,84.0,56.0,77.0,180.0
270,76.0,66.0,73.0,53.0,69.0,181.0
271,86.0,73.0,83.0,62.0,78.0,196.0
272,91.0,80.0,89.0,64.0,86.0,193.0
273,84.0,70.0,82.0,53.0,70.0,179.0
274,81.0,67.0,78.0,58.0,70.0,175.0
275,73.0,60.0,73.0,51.0,68.0,164.0
276,84.0,75.0,82.0,61.0,82.0,187.0
277,97.0,83.0,91.0,68.0,87.0,187.0
278,77.0,68.0,75.0,55.0,68.0,156.0
279,89.0,78.0,87.0,61.0,82.0,191.0
280,95.0,84.0,89.0,72.0,83.0,198.0
281,95.0,82.0,93.0,61.0,83.0,202.0
282,89.0,81.0,84.0,58.0,79.0,173.0
283,87.0,73.0,82.0,57.0,77.0,208.0
284,85.0,74.0,83.0,62.0,76.0,177.0
285,88.0,75.0,86.0,56.0,77.0,166.0
286,75.0,68.0,75.0,56.0,74.0,182.0
287,72.0,63.0,72.0,54.0,72.0,163.0
288,92.0,82.0,90.0,67.0,89.0,204.0
289,82.0,71.0,77.0,55.0,75.0,187.0
290,90.0,84.0,90.0,68.0,88.0,203.0
291,82.0,70.0,80.0,59.0,72.0,174.0
292,90.0,79.0,85.0,64.0,78.0,171.0
293,82.0,69.0,82.0,61.0,73.0,190.0
294,83.0,74.0,80.0,58.0,74.0,177.0
295,86.0,79.0,86.0,65.0,76.0,210.0
296,90.0,77.0,86.0,59.0,84.0,184.0
297,88.0,79.0,88.0,65.0,78.0,161.0
298,83.0,74.0,79.0,58.0,78.0,187.0
299,93.0,81.0,94.0,63.0,83.0,191.0
300,90.0,76.0,85.0,63.0,82.0,191.0
301,80.0,70.0,80.0,60.0,72.0,194.0
302,77.0,68.0,75.0,59.0,70.0,164.0
303,86.0,76.0,86.0,58.0,78.0,169.0
304,95.0,83.0,90.0,63.0,85.0,199.0
305,95.0,81.0,93.0,55.0,91.0,206.0
306,89.0,79.0,87.0,64.0,81.0,168.0
307,80.0,68.0,77.0,59.0,69.0,184.0
308,77.0,70.0,76.0,60.0,73.0,177.0
309,83.0,71.0,81.0,56.0,78.0,171.0
310,84.0,70.0,80.0,56.0,75.0,198.0
311,86.0,74.0,81.0,60.0,73.0,188.0
312,92.0,77.0,87.0,62.0,76.0,188.0
313,91.0,78.0,88.0,61.0,84.0,184.0
314,81.0,68.0,79.0,57.0,71.0,188.0
315,88.0,74.0,86.0,58.0,85.0,183.0
316,84.0,77.0,82.0,60.0,78.0,182.0
317,87.0,72.0,82.0,56.0,76.0,199.0
318,108.0,86.0,95.0,67.0,101.0,200.0
319,99.0,85.0,94.0,67.0,88.0,195.0
320,88.0,74.0,86.0,63.0,76.0,181.0
321,88.0,77.0,85.0,63.0,79.0,191.0
322,96.0,85.0,97.0,69.0,88.0,181.0
323,92.0,82.0,89.0,66.0,84.0,196.0
324,90.0,78.0,87.0,58.0,82.0,197.0
325,95.0,84.0,88.0,67.0,87.0,184.0
326,89.0,80.0,93.0,67.0,86.0,199.0
327,98.0,83.0,98.0,66.0,89.0,210.0
328,81.0,72.0,79.0,57.0,78.0,199.0
329,74.0,59.0,69.0,48.0,61.0,177.0
330,89.0,79.0,86.0,63.0,76.0,191.0
331,89.0,79.0,91.0,63.0,80.0,200.0
332,93.0,76.0,85.0,61.0,81.0,203.0
333,91.0,75.0,86.0,54.0,80.0,180.0
334,93.0,82.0,91.0,65.0,87.0,205.0
335,77.0,68.0,74.0,56.0,65.0,161.0
336,84.0,73.0,82.0,57.0,79.0,182.0
337,86.0,74.0,84.0,55.0,79.0,197.0
338,88.0,79.0,90.0,60.0,78.0,175.0
339,85.0,67.0,78.0,55.0,71.0,172.0
340,89.0,76.0,84.0,58.0,84.0,169.0
341,81.0,71.0,80.0,53.0,75.0,199.0
342,90.0,78.0,84.0,59.0,81.0,180.0
343,88.0,77.0,87.0,62.0,77.0,188.0
344,87.0,78.0,90.0,62.0,82.0,191.0
345,86.0,77.0,81.0,61.0,83.0,184.0
346,87.0,72.0,82.0,60.0,83.0,191.0
347,90.0,78.0,87.0,67.0,83.0,171.0
348,80.0,65.0,77.0,58.0,67.0,179.0
349,97.0,84.0,93.0,68.0,95.0,199.0
350,75.0,63.0,73.0,53.0,66.0,175.0
351,90.0,80.0,86.0,64.0,83.0,177.0
352,86.0,71.0,81.0,61.0,75.0,188.0
353,92.0,77.0,89.0,63.0,88.0,185.0
354,87.0,72.0,81.0,59.0,79.0,189.0
355,77.0,68.0,74.0,58.0,62.0,194.0
356,87.0,79.0,86.0,69.0,77.0,195.0
357,87.0,78.0,85.0,62.0,82.0,187.0
358,89.0,81.0,87.0,67.0,90.0,201.0
359,87.0,79.0,85.0,60.0,79.0,171.0
360,82.0,76.0,83.0,60.0,78.0,203.0
361,90.0,75.0,86.0,61.0,79.0,170.0
362,94.0,82.0,89.0,65.0,89.0,184.0
363,95.0,82.0,91.0,70.0,86.0,189.0
364,84.0,76.0,81.0,64.0,77.0,179.0
365,87.0,79.0,85.0,66.0,81.0,199.0
366,89.0,77.0,85.0,62.0,81.0,193.0
367,78.0,69.0,75.0,53.0,70.0,168.0
368,79.0,71.0,78.0,62.0,72.0,192.0
369,94.0,80.0,89.0,64.0,83.0,215.0
370,91.0,81.0,89.0,65.0,89.0,195.0
371,94.0,78.0,86.0,62.0,88.0,187.0
372,88.0,73.0,82.0,57.0,76.0,182.0
373,92.0,78.0,86.0,61.0,83.0,195.0
374,94.0,84.0,95.0,69.0,90.0,209.0
375,86.0,75.0,81.0,57.0,77.0,186.0
376,92.0,82.0,88.0,65.0,89.0,204.0
377,95.0,82.0,96.0,66.0,84.0,185.0
378,92.0,81.0,89.0,57.0,89.0,202.0
379,101.0,84.0,94.0,72.0,99.0,198.0
380,90.0,80.0,89.0,64.0,81.0,201.0
381,89.0,76.0,86.0,58.0,77.0,167.0
382,91.0,80.0,93.0,62.0,89.0,185.0
383,86.0,75.0,82.0,62.0,75.0,192.0
384,84.0,71.0,83.0,54.0,77.0,176.0
385,89.0,78.0,85.0,62.0,77.0,169.0
386,80.0,72.0,79.0,54.0,72.0,176.0
387,88.0,76.0,82.0,62.0,77.0,196.0
388,85.0,73.0,84.0,61.0,78.0,180.0
389,84.0,73.0,84.0,63.0,75.0,187.0
390,90.0,80.0,87.0,63.0,86.0,201.0
391,101.0,81.0,91.0,67.0,93.0,192.0
392,89.0,81.0,88.0,58.0,80.0,182.0
393,88.0,73.0,84.0,60.0,80.0,175.0
394,80.0,72.0,81.0,64.0,73.0,185.0
395,93.0,82.0,92.0,61.0,84.0,185.0
396,83.0,67.0,78.0,52.0,77.0,187.0
397,89.0,78.0,87.0,66.0,83.0,182.0
398,97.0,84.0,94.0,69.0,93.0,204.0
399,89.0,79.0,86.0,62.0,77.0,196.0
400,101.0,81.0,91.0,65.0,82.0,184.0
401,85.0,78.0,88.0,63.0,81.0,185.0
402,95.0,81.0,93.0,64.0,87.0,192.0
403,87.0,76.0,84.0,63.0,80.0,183.0
404,82.0,74.0,81.0,58.0,72.0,176.0
405,92.0,78.0,85.0,64.0,89.0,192.0
406,91.0,75.0,82.0,61.0,82.0,184.0
407,93.0,75.0,85.0,61.0,75.0,177.0
408,95.0,80.0,90.0,59.0,88.0,190.0
409,90.0,76.0,87.0,64.0,82.0,201.0
410,86.0,71.0,81.0,53.0,82.0,175.0
411,88.0,79.0,89.0,65.0,82.0,191.0
412,87.0,74.0,85.0,57.0,81.0,194.0
413,74.0,66.0,72.0,59.0,76.0,193.0
414,92.0,79.0,88.0,67.0,84.0,172.0
415,83.0,72.0,82.0,55.0,72.0,181.0
416,82.0,69.0,76.0,54.0,73.0,190.0
417,88.0,76.0,81.0,61.0,81.0,185.0
418,97.0,82.0,89.0,67.0,87.0,205.0
419,86.0,75.0,80.0,54.0,81.0,189.0
420,94.0,82.0,92.0,71.0,92.0,200.0
421,86.0,79.0,84.0,65.0,83.0,199.0
422,86.0,78.0,82.0,62.0,84.0,200.0
423,87.0,78.0,86.0,58.0,81.0,180.0
424,71.0,63.0,70.0,51.0,65.0,195.0
425,96.0,80.0,90.0,62.0,85.0,191.0
426,86.0,77.0,83.0,66.0,76.0,196.0
427,95.0,81.0,90.0,68.0,85.0,197.0
428,86.0,70.0,85.0,61.0,74.0,182.0
429,90.0,72.0,81.0,59.0,83.0,199.0
430,91.0,78.0,87.0,67.0,79.0,160.0
431,92.0,85.0,96.0,66.0,90.0,211.0
432,71.0,62.0,69.0,51.0,65.0,191.0
433,85.0,68.0,80.0,53.0,68.0,182.0
434,87.0,81.0,84.0,61.0,79.0,195.0
435,84.0,72.0,82.0,57.0,69.0,158.0
436,88.0,77.0,85.0,59.0,79.0,189.0
437,86.0,71.0,81.0,58.0,77.0,188.0
438,88.0,76.0,85.0,64.0,82.0,187.0
439,97.0,86.0,94.0,69.0,94.0,199.0
440,91.0,79.0,87.0,62.0,78.0,181.0
441,75.0,65.0,74.0,50.0,70.0,165.0
442,92.0,81.0,87.0,63.0,86.0,189.0
443,94.0,82.0,91.0,64.0,86.0,204.0
444,89.0,79.0,85.0,63.0,81.0,198.0
445,78.0,67.0,75.0,55.0,69.0,179.0
446,87.0,73.0,85.0,61.0,79.0,188.0
447,81.0,66.0,79.0,58.0,68.0,193.0
448,90.0,78.0,89.0,60.0,82.0,188.0
449,89.0,74.0,84.0,58.0,79.0,189.0
450,91.0,76.0,87.0,62.0,79.0,209.0
451,92.0,77.0,84.0,65.0,86.0,185.0
452,92.0,78.0,86.0,63.0,83.0,195.0
453,79.0,68.0,78.0,58.0,68.0,198.0
454,92.0,81.0,94.0,65.0,84.0,194.0
455,94.0,79.0,88.0,67.0,87.0,188.0
456,87.0,77.0,89.0,61.0,78.0,177.0
457,82.0,69.0,78.0,54.0,74.0,183.0
458,91.0,74.0,87.0,68.0,80.0,186.0
459,106.0,83.0,87.0,68.0,90.0,209.0
460,100.0,87.0,92.0,68.0,93.0,197.0
461,85.0,77.0,86.0,64.0,78.0,207.0
462,93.0,82.0,92.0,62.0,81.0,172.0
463,92.0,83.0,90.0,60.0,86.0,180.0
464,89.0,71.0,85.0,51.0,77.0,172.0
465,90.0,78.0,85.0,58.0,85.0,194.0
466,90.0,77.0,82.0,61.0,80.0,172.0
467,87.0,76.0,85.0,61.0,81.0,202.0
468,88.0,78.0,84.0,67.0,84.0,194.0
469,93.0,77.0,90.0,60.0,81.0,194.0
470,88.0,80.0,87.0,62.0,80.0,182.0
471,85.0,74.0,83.0,62.0,77.0,164.0
472,94.0,81.0,90.0,62.0,89.0,193.0
473,89.0,77.0,84.0,63.0,87.0,174.0
474,84.0,76.0,82.0,62.0,76.0,184.0
475,93.0,81.0,92.0,68.0,80.0,180.0
476,97.0,85.0,94.0,65.0,90.0,200.0
477,88.0,72.0,83.0,56.0,79.0,171.0
478,89.0,80.0,87.0,62.0,79.0,173.0
479,86.0,75.0,83.0,59.0,77.0,193.0
480,93.0,80.0,90.0,62.0,83.0,186.0
481,90.0,80.0,86.0,65.0,78.0,191.0
482,87.0,74.0,81.0,53.0,80.0,178.0
483,92.0,77.0,85.0,64.0,83.0,186.0
484,86.0,75.0,84.0,56.0,77.0,170.0
485,80.0,72.0,80.0,61.0,77.0,179.0
486,83.0,75.0,80.0,55.0,74.0,193.0
487,101.0,83.0,92.0,60.0,90.0,186.0
488,89.0,77.0,88.0,62.0,83.0,197.0
489,94.0,84.0,94.0,65.0,92.0,209.0
490,88.0,79.0,84.0,59.0,82.0,193.0
491,91.0,80.0,84.0,62.0,78.0,182.0
492,88.0,75.0,85.0,62.0,80.0,198.0
493,94.0,77.0,86.0,63.0,89.0,182.0
494,86.0,73.0,83.0,61.0,76.0,184.0
495,93.0,83.0,92.0,70.0,83.0,193.0
496,82.0,71.0,82.0,60.0,74.0,170.0
497,96.0,84.0,90.0,70.0,90.0,189.0
498,85.0,75.0,83.0,61.0,74.0,197.0
499,86.0,74.0,83.0,59.0,81.0,178.0
500,74.0,64.0,72.0,54.0,72.0,175.0
501,85.0,75.0,83.0,58.0,80.0,194.0
502,88.0,78.0,85.0,63.0,84.0,193.0
503,83.0,72.0,81.0,62.0,75.0,197.0
504,79.0,67.0,79.0,57.0,70.0,187.0
505,92.0,82.0,91.0,65.0,81.0,180.0
506,84.0,71.0,82.0,59.0,73.0,180.0
507,91.0,75.0,84.0,61.0,77.0,175.0
508,89.0,74.0,84.0,59.0,77.0,174.0
509,80.0,67.0,78.0,53.0,70.0,190.0
510,100.0,81.0,96.0,68.0,91.0,202.0
511,80.0,70.0,78.0,63.0,74.0,186.0
512,86.0,75.0,79.0,61.0,74.0,187.0
513,91.0,77.0,88.0,67.0,84.0,206.0
514,91.0,79.0,86.0,62.0,85.0,213.0
515,88.0,74.0,85.0,67.0,77.0,194.0
516,86.0,73.0,83.0,62.0,77.0,181.0
517,85.0,73.0,83.0,62.0,69.0,180.0
518,89.0,76.0,82.0,63.0,79.0,184.0
519,91.0,75.0,87.0,64.0,79.0,194.0
520,91.0,83.0,84.0,67.0,92.0,178.0
521,82.0,67.0,77.0,49.0,73.0,180.0
522,94.0,81.0,90.0,65.0,83.0,199.0
523,84.0,75.0,83.0,59.0,77.0,184.0
524,94.0,77.0,84.0,64.0,85.0,199.0
525,89.0,81.0,83.0,62.0,77.0,193.0
526,88.0,75.0,82.0,59.0,79.0,202.0
527,90.0,75.0,86.0,56.0,83.0,196.0
528,100.0,83.0,91.0,68.0,91.0,195.0
529,94.0,79.0,92.0,64.0,84.0,194.0
530,86.0,76.0,82.0,62.0,79.0,203.0
531,86.0,74.0,82.0,64.0,75.0,199.0
532,88.0,77.0,86.0,63.0,78.0,167.0
533,84.0,75.0,82.0,55.0,76.0,195.0
534,84.0,72.0,81.0,55.0,74.0,192.0
535,92.0,80.0,90.0,65.0,87.0,198.0
536,89.0,78.0,87.0,60.0,80.0,193.0
537,78.0,66.0,76.0,59.0,68.0,181.0
538,86.0,76.0,79.0,62.0,77.0,190.0
539,89.0,82.0,88.0,62.0,80.0,188.0
540,85.0,71.0,78.0,54.0,77.0,189.0
541,94.0,79.0,88.0,67.0,81.0,187.0
542,69.0,63.0,68.0,53.0,68.0,174.0
543,83.0,75.0,80.0,57.0,69.0,175.0
544,76.0,61.0,71.0,50.0,65.0,183.0
545,84.0,79.0,85.0,67.0,79.0,174.0
546,85.0,76.0,81.0,58.0,80.0,173.0
547,89.0,76.0,87.0,63.0,78.0,203.0
548,104.0,84.0,95.0,69.0,102.0,200.0
549,80.0,70.0,76.0,56.0,75.0,188.0
550,88.0,77.0,84.0,59.0,79.0,176.0
551,85.0,79.0,84.0,61.0,80.0,189.0
552,78.0,69.0,77.0,57.0,73.0,181.0
553,89.0,77.0,86.0,59.0,79.0,186.0
554,102.0,84.0,97.0,66.0,87.0,181.0
555,88.0,77.0,84.0,61.0,77.0,181.0
556,91.0,80.0,92.0,62.0,87.0,199.0
557,86.0,69.0,82.0,57.0,73.0,204.0
558,79.0,68.0,79.0,50.0,76.0,186.0
559,84.0,69.0,77.0,54.0,72.0,175.0
560,90.0,82.0,89.0,62.0,87.0,192.0
561,84.0,75.0,83.0,59.0,83.0,181.0
562,95.0,80.0,92.0,66.0,83.0,197.0
563,82.0,68.0,78.0,55.0,68.0,187.0
564,90.0,79.0,87.0,64.0,79.0,212.0
565,89.0,75.0,89.0,63.0,85.0,203.0
566,93.0,84.0,91.0,68.0,89.0,207.0
567,87.0,74.0,80.0,61.0,79.0,190.0
568,101.0,85.0,95.0,67.0,93.0,189.0
569,89.0,76.0,87.0,64.0,80.0,183.0
570,87.0,78.0,86.0,66.0,79.0,184.0
571,84.0,69.0,78.0,55.0,70.0,184.0
572,89.0,73.0,85.0,64.0,78.0,177.0
573,90.0,79.0,90.0,62.0,84.0,211.0
574,93.0,81.0,89.0,63.0,83.0,203.0
575,103.0,92.0,98.0,74.0,91.0,200.0
576,90.0,76.0,87.0,67.0,79.0,202.0
577,90.0,76.0,84.0,61.0,76.0,186.0
578,91.0,80.0,86.0,62.0,88.0,195.0
579,81.0,70.0,77.0,53.0,77.0,185.0
