,none,E1,E2,E4,E5,I2
524,11.0,10.0,10.0,10.0,7.0,18.0
525,11.0,10.0,11.0,11.0,5.0,19.0
526,10.0,9.0,10.0,10.0,5.0,21.0
527,12.0,10.0,12.0,12.0,6.0,19.0
528,13.0,10.0,10.0,10.0,6.0,20.0
529,12.0,10.0,11.0,11.0,5.0,20.0
530,11.0,10.0,10.0,10.0,5.0,22.0
531,10.0,10.0,10.0,10.0,5.0,18.0
532,9.0,10.0,10.0,10.0,6.0,17.0
533,11.0,10.0,11.0,11.0,5.0,21.0
534,10.0,9.0,9.0,9.0,6.0,18.0
535,11.0,10.0,11.0,11.0,5.0,18.0
536,12.0,11.0,11.0,11.0,5.0,21.0
537,10.0,8.0,9.0,9.0,3.0,18.0
538,11.0,9.0,10.0,10.0,5.0,19.0
539,11.0,10.0,10.0,10.0,6.0,18.0
540,10.0,9.0,9.0,9.0,6.0,19.0
541,12.0,10.0,11.0,11.0,4.0,20.0
542,6.0,6.0,6.0,6.0,5.0,18.0
543,11.0,10.0,10.0,10.0,4.0,21.0
544,9.0,6.0,8.0,8.0,4.0,20.0
545,11.0,10.0,10.0,10.0,6.0,18.0
546,11.0,8.0,10.0,10.0,5.0,19.0
547,11.0,10.0,12.0,12.0,5.0,21.0
548,13.0,10.0,11.0,11.0,7.0,21.0
549,9.0,9.0,8.0,8.0,5.0,19.0
550,10.0,9.0,9.0,9.0,4.0,17.0
551,10.0,9.0,9.0,9.0,5.0,19.0
552,10.0,8.0,8.0,8.0,5.0,18.0
553,12.0,11.0,11.0,11.0,6.0,20.0
554,13.0,10.0,11.0,11.0,5.0,21.0
555,11.0,10.0,10.0,10.0,5.0,19.0
556,11.0,10.0,12.0,12.0,5.0,20.0
557,11.0,9.0,11.0,11.0,4.0,21.0
558,10.0,8.0,9.0,9.0,5.0,18.0
559,11.0,10.0,10.0,10.0,5.0,18.0
560,11.0,10.0,10.0,10.0,6.0,19.0
561,11.0,9.0,10.0,10.0,5.0,19.0
562,13.0,10.0,13.0,13.0,6.0,22.0
