,bodyId,type,instance,superclass,subclass,hemilineage,size,predictedNt,predictedNtProb,consensusNt,somaSide,rootSide,motor module,step contribution,class
4145,912621,IN21A057,IN21A057_R,vnc_intrinsic,BI,,281277956,glutamate,,glutamate,R,,,,intrinsic neuron
4146,912763,SNpp19,,vnc_sensory,hair plate,,384740501,acetylcholine,,acetylcholine,,R,,,sensory neuron
4147,912774,IN08A030,IN08A030_R,vnc_intrinsic,IR,,414851032,glutamate,,glutamate,R,,,,intrinsic neuron
4148,912796,IN21A100,IN21A100_R,vnc_intrinsic,IR,,353166900,glutamate,,glutamate,R,,,,intrinsic neuron
4149,912898,IN20A.22A055,IN20A.22A055_R,vnc_intrinsic,,,193629871,acetylcholine,,acetylcholine,R,,,,intrinsic neuron
4150,912982,IN16B114,IN16B114_R,vnc_intrinsic,,,261699904,glutamate,,glutamate,R,,,,intrinsic neuron
4151,913042,IN09A074,IN09A074_L,vnc_intrinsic,,,421988580,gaba,,gaba,L,,,,intrinsic neuron
4152,913052,SNpp51,,vnc_sensory,chordotonal organ,,236406738,acetylcholine,,acetylcholine,,R,,,sensory neuron
4153,913088,IN14A074,IN14A074_L,vnc_intrinsic,CR,,389592842,glutamate,,glutamate,L,,,,intrinsic neuron
4154,913120,"IN14A048, IN14A102","IN14A048, IN14A102_R",vnc_intrinsic,,,465703464,glutamate,,glutamate,R,,,,intrinsic neuron
4155,913138,IN13B076,IN13B076_L,vnc_intrinsic,CR,,408742856,gaba,,gaba,L,,,,intrinsic neuron
4156,913147,IN21A100,IN21A100_L,vnc_intrinsic,IR,,384360061,glutamate,,glutamate,L,,,,intrinsic neuron
4157,913150,IN13B079,IN13B079_L,vnc_intrinsic,CR,,213676775,gaba,,gaba,L,,,,intrinsic neuron
4158,913252,,,vnc_sensory,leg,,70013187,acetylcholine,,acetylcholine,,L,,,sensory neuron
4159,913253,IN08A026,IN08A026_R,vnc_intrinsic,,,521739295,glutamate,,glutamate,R,,,,intrinsic neuron
4160,913390,IN10B014,IN10B014_L,vnc_intrinsic,BR,,2001226458,acetylcholine,,acetylcholine,L,,,,intrinsic neuron
4161,913397,IN06B016,IN06B016_L,vnc_intrinsic,BI,,3124270121,gaba,,gaba,L,,,,intrinsic neuron
4162,913461,IN04B038,IN04B038_R,vnc_intrinsic,IR,,851159018,acetylcholine,,acetylcholine,R,,,,intrinsic neuron
4163,913464,IN12B066_a,IN12B066_a_R,vnc_intrinsic,BI,,419771022,gaba,,gaba,R,,,,intrinsic neuron
4164,913724,IN21A006,IN21A006_R,vnc_intrinsic,IR,,2642697640,glutamate,,glutamate,R,,,,intrinsic neuron
4165,913736,IN13A058,IN13A058_L,vnc_intrinsic,IR,,551822080,gaba,,gaba,L,,,,intrinsic neuron
4166,913739,IN08A046,IN08A046_R,vnc_intrinsic,IR,,415163808,glutamate,,glutamate,R,,,,intrinsic neuron
4167,913931,IN10B003,IN10B003_R,vnc_intrinsic,BI,,3500733566,acetylcholine,,acetylcholine,R,,,,intrinsic neuron
4168,913933,IN23B072,IN23B072_L,vnc_intrinsic,BI,,514814473,unclear,,acetylcholine,L,,,,intrinsic neuron
4169,913946,IN08B062,IN08B062_L,vnc_intrinsic,BI,,1287855670,acetylcholine,,acetylcholine,L,,,,intrinsic neuron
4170,914059,IN04B034,IN04B034_R,vnc_intrinsic,IR,,890353056,acetylcholine,,acetylcholine,R,,,,intrinsic neuron
4171,914246,IN13B013,IN13B013_R,vnc_intrinsic,CR,,2208617088,gaba,,gaba,R,,,,intrinsic neuron
