,bodyId,type,instance,superclass,subclass,hemilineage,size,predictedNt,predictedNtProb,consensusNt,somaSide,rootSide,motor module,step contribution,class
1143,44917,ANXXX037,ANXXX037_L,ascending_neuron,IA,,3693027056,acetylcholine,,acetylcholine,L,,,,ascending neuron
1144,44952,DNge071,DNge071_R,descending_neuron,nt,,354431612,gaba,,gaba,R,,,,descending neuron
1145,44980,DNg03,DNg03_R,descending_neuron,ut,,655000787,acetylcholine,,acetylcholine,R,,,,descending neuron
1146,45501,AN19B009,AN19B009_L,ascending_neuron,BA,,4246102618,acetylcholine,,acetylcholine,L,,,,ascending neuron
1147,45757,DNg92_b,DNg92_b_R,descending_neuron,ut,,609822624,acetylcholine,,acetylcholine,R,,,,descending neuron
1148,45906,DNg18_b,DNg18_b_R,descending_neuron,xn,,560392929,gaba,,gaba,R,,,,descending neuron
1149,45915,DNg10,DNg10_R,descending_neuron,nt,,364428006,gaba,,gaba,R,,,,descending neuron
1150,46011,DNge020,DNge020_R,descending_neuron,fl,,414159909,acetylcholine,,acetylcholine,R,,,,descending neuron
1151,46240,AN04A001,AN04A001_L,ascending_neuron,BA,,5051149221,acetylcholine,,acetylcholine,L,,,,ascending neuron
1152,46348,AN17A014,AN17A014_L,ascending_neuron,IA,,2932252305,acetylcholine,,acetylcholine,L,,,,ascending neuron
1153,46380,DNge024,DNge024_L,descending_neuron,fl,,467806580,acetylcholine,,acetylcholine,L,,,,descending neuron
1154,46578,DNg10,DNg10_R,descending_neuron,nt,,375086573,gaba,,gaba,R,,,,descending neuron
1155,46875,AN12A017,AN12A017_R,ascending_neuron,BA,,1789821143,acetylcholine,,acetylcholine,R,,,,ascending neuron
1156,47102,DNg12_b,DNg12_b_L,descending_neuron,xn,,395085689,acetylcholine,,acetylcholine,L,,,,descending neuron
1157,47277,AN11B008,AN11B008_R,ascending_neuron,IA,,1851573442,gaba,,gaba,R,,,,ascending neuron
1158,47285,DNg12_b,DNg12_b_R,descending_neuron,nt,,399581022,acetylcholine,,acetylcholine,R,,,,descending neuron
1159,47383,DNg18_a,DNg18_a_L,descending_neuron,ut,,339929484,gaba,,gaba,L,,,,descending neuron
1160,47402,DNg10,DNg10_L,descending_neuron,nt,,335858429,gaba,,gaba,L,,,,descending neuron
1161,47409,AN19B022,AN19B022_R,ascending_neuron,BA,,2848404367,acetylcholine,,acetylcholine,R,,,,ascending neuron
1162,47693,DNpe036,DNpe036_R,descending_neuron,xn,,2007432721,acetylcholine,,acetylcholine,R,,,,descending neuron
1163,48408,DNg12_b,DNg12_b_L,descending_neuron,xn,,380345324,acetylcholine,,acetylcholine,L,,,,descending neuron
1164,48565,DNge071,DNge071_L,descending_neuron,nt,,318698580,gaba,,gaba,L,,,,descending neuron
1165,48618,DNp17,DNp17_R,descending_neuron,ut,,589934442,acetylcholine,,acetylcholine,R,,,,descending neuron
1166,48924,DNg10,DNg10_R,descending_neuron,nt,,347888246,gaba,,gaba,R,,,,descending neuron
1167,49210,DNpe011,DNpe011(PS227)_R,descending_neuron,xn,,435420544,acetylcholine,,acetylcholine,R,,,,descending neuron
1168,49246,AN19A019,AN19A019_L,ascending_neuron,BA,,1757250395,acetylcholine,,acetylcholine,L,,,,ascending neuron
1169,49310,DNge009,DNge009_R,descending_neuron,fl,,478534150,acetylcholine,,acetylcholine,R,,,,descending neuron
1170,49624,DNg03,DNg03_L,descending_neuron,ut,,567028359,acetylcholine,,acetylcholine,L,,,,descending neuron
1171,49690,DNge085,DNge085_R,descending_neuron,nt,,396267064,gaba,,gaba,R,,,,descending neuron
1172,50107,AN07B052,AN07B052_R,ascending_neuron,BA,,1045809060,acetylcholine,,acetylcholine,R,,,,ascending neuron
1173,50664,DNge071,DNge071_R,descending_neuron,nt,,322758994,gaba,,gaba,R,,,,descending neuron
1174,50881,AN12B017,AN12B017_L,ascending_neuron,CA,,1939171937,gaba,,gaba,L,,,,ascending neuron
1175,50992,AN10B025,AN10B025_R,ascending_neuron,BI,,1556072223,acetylcholine,,acetylcholine,R,,,,ascending neuron
1176,51024,DNg03,DNg03_L,descending_neuron,ut,,562233008,acetylcholine,,acetylcholine,L,,,,descending neuron
1177,51188,DNg18_a,DNg18_a_R,descending_neuron,ut,,341142188,gaba,,gaba,R,,,,descending neuron
1178,52665,AN12B008,AN12B008_L,ascending_neuron,BA,,2944760034,gaba,,gaba,L,,,,ascending neuron
1179,52770,DNge020,DNge020_L,descending_neuron,fl,,380590964,acetylcholine,,acetylcholine,L,,,,descending neuron
1180,53514,DNpe008,DNpe008(PS225)_R,descending_neuron,ht,,461298647,acetylcholine,,acetylcholine,R,,,,descending neuron
1181,53588,AN01A006,AN01A006_R,ascending_neuron,CA,,4034952556,acetylcholine,,acetylcholine,R,,,,ascending neuron
1182,53821,DNge020,DNge020_L,descending_neuron,fl,,349786254,acetylcholine,,acetylcholine,L,,,,descending neuron
1183,54021,DNpe054,DNpe054(DNp16/17)_R,descending_neuron,ht,,512320614,acetylcholine,,acetylcholine,R,,,,descending neuron
1184,54115,AN07B025,AN07B025_L,ascending_neuron,BA,,2011353812,acetylcholine,,acetylcholine,L,,,,ascending neuron
1185,54278,DNg03,DNg03_L,descending_neuron,ut,,564389134,acetylcholine,,acetylcholine,L,,,,descending neuron
1186,55021,DNg12_e,DNg12_e_L,descending_neuron,fl,,725961330,acetylcholine,,acetylcholine,L,,,,descending neuron
1187,55370,DNge045,DNge045_L,descending_neuron,ut,,1016223701,gaba,,gaba,L,,,,descending neuron
1188,55428,AN12B017,AN12B017_R,ascending_neuron,CA,,1924969178,gaba,,gaba,R,,,,ascending neuron
1189,55451,AN08B059,AN08B059_R,ascending_neuron,BA,,1442934909,acetylcholine,,acetylcholine,R,,,,ascending neuron
1190,55546,DNg01_c,DNg01_c_L,descending_neuron,lt,,687679308,acetylcholine,,acetylcholine,L,,,,descending neuron
1191,55576,AN12B008,AN12B008_R,ascending_neuron,BA,,2825613196,gaba,,gaba,R,,,,ascending neuron
1192,55763,DNpe011,DNpe011(PS227)_L,descending_neuron,xn,,414016918,acetylcholine,,acetylcholine,L,,,,descending neuron
1193,55795,AN10B025,AN10B025_L,ascending_neuron,BI,,1545011806,acetylcholine,,acetylcholine,L,,,,ascending neuron
1194,56057,DNpe011,DNpe011(PS227)_L,descending_neuron,xn,,411933187,acetylcholine,,acetylcholine,L,,,,descending neuron
1195,56138,AN19B009,AN19B009_R,ascending_neuron,BA,,4240960837,acetylcholine,,acetylcholine,R,,,,ascending neuron
1196,56214,DNg03,DNg03_R,descending_neuron,ut,,532027210,acetylcholine,,acetylcholine,R,,,,descending neuron
1197,56587,DNg36_b,DNg36_b_R,descending_neuron,ut,,325239525,acetylcholine,,acetylcholine,R,,,,descending neuron
1198,56630,AN05B049_c,AN05B049_c_L,ascending_neuron,BA,,1076779672,gaba,,gaba,L,,,,ascending neuron
1199,56710,AN01A021,AN01A021_R,ascending_neuron,BA,,2582122818,acetylcholine,,acetylcholine,R,,,,ascending neuron
1200,57776,DNge020,DNge020_L,descending_neuron,fl,,361303816,acetylcholine,,acetylcholine,L,,,,descending neuron
1201,58156,AN01A049,AN01A049_L,ascending_neuron,IA,,1109333131,unclear,,acetylcholine,L,,,,ascending neuron
1202,58229,AN01A006,AN01A006_L,ascending_neuron,CA,,3076766652,acetylcholine,,acetylcholine,L,,,,ascending neuron
1203,58609,AN19B009,AN19B009_L,ascending_neuron,BA,,4060911749,acetylcholine,,acetylcholine,L,,,,ascending neuron
1204,58772,AN08B099_j,AN08B099_j_R,ascending_neuron,BA,,855634282,acetylcholine,,acetylcholine,R,,,,ascending neuron
1205,59703,AN26X004,AN26X004_L,ascending_neuron,IA,,995584259,unclear,,unclear,L,,,,ascending neuron
1206,62405,DNg39,DNg39_L,descending_neuron,xl,,2233167318,acetylcholine,,acetylcholine,L,,,,descending neuron
1207,62760,AN03B095,AN03B095_R,ascending_neuron,IA,,1025641215,gaba,,gaba,R,,,,ascending neuron
1208,63287,DNg12_b,DNg12_b_L,descending_neuron,nt,,500434661,acetylcholine,,acetylcholine,L,,,,descending neuron
1209,63441,EA06B010,EA06B010_L,efferent_ascending,,,3587661973,glutamate,,glutamate,L,,,,efferent ascending
1210,63539,ANXXX023,ANXXX023_L,ascending_neuron,BA,,3708452392,acetylcholine,,acetylcholine,L,,,,ascending neuron
1211,63701,DNd02,DNd02(SAD039)_R,descending_neuron,xl,,8319651448,unclear,,unclear,R,,,,descending neuron
1212,64315,ANXXX084,ANXXX084_R,ascending_neuron,BA,,2518970326,acetylcholine,,acetylcholine,R,,,,ascending neuron
1213,65170,AN03B095,AN03B095_L,ascending_neuron,IA,,999916559,gaba,,gaba,L,,,,ascending neuron
1214,65465,AN18B053,AN18B053_L,ascending_neuron,,,1241172135,acetylcholine,,acetylcholine,L,,,,ascending neuron
1215,66284,DNg47,DNg47_L,descending_neuron,fl,,1133901195,acetylcholine,,acetylcholine,L,,,,descending neuron
1216,66800,AN04A001,AN04A001_L,ascending_neuron,BA,,4910817466,acetylcholine,,acetylcholine,L,,,,ascending neuron
1217,67239,ANXXX024,ANXXX024_R,ascending_neuron,BA,,4014116847,acetylcholine,,acetylcholine,R,,,,ascending neuron
1218,67529,AN07B011,AN07B011_R,ascending_neuron,BA,,3214401319,acetylcholine,,acetylcholine,R,,,,ascending neuron
1219,67982,DNge013,DNge013_R,descending_neuron,xn,,2849539583,acetylcholine,,acetylcholine,R,,,,descending neuron
1220,68005,DNg82,DNg82_L,descending_neuron,ut,,1313948548,acetylcholine,,acetylcholine,L,,,,descending neuron
1221,69173,DNpe018,DNpe018(hb1436667616)_L,descending_neuron,xn,,330924668,acetylcholine,,acetylcholine,L,,,,descending neuron
1222,69409,DNg06,DNg06_R,descending_neuron,ut,,574861064,acetylcholine,,acetylcholine,R,,,,descending neuron
1223,70636,ANXXX024,ANXXX024_L,ascending_neuron,BA,,3603312293,acetylcholine,,acetylcholine,L,,,,ascending neuron
1224,71282,AN07B042,AN07B042_L,ascending_neuron,BA,,1145067878,acetylcholine,,acetylcholine,L,,,,ascending neuron
1225,71940,AN14A003,AN14A003_R,ascending_neuron,CA,,3692387977,glutamate,,glutamate,R,,,,ascending neuron
1226,73753,AN07B003,AN07B003_R,ascending_neuron,BA,,6456359481,acetylcholine,,acetylcholine,R,,,,ascending neuron
1227,74183,AN08B099_g,AN08B099_g_L,ascending_neuron,BA,,619640477,acetylcholine,,acetylcholine,L,,,,ascending neuron
1228,74561,AN19B010,AN19B010_R,ascending_neuron,BA,,3726852774,acetylcholine,,acetylcholine,R,,,,ascending neuron
1229,75379,EA06B010,EA06B010_R,efferent_ascending,,,3545952176,glutamate,,glutamate,R,,,,efferent ascending
1230,75729,AN07B011,AN07B011_L,ascending_neuron,BA,,3865089066,acetylcholine,,acetylcholine,L,,,,ascending neuron
