,0.0,0.05,0.1,0.15,0.2,0.3,0.5
149,2,2,2,2,2,2,75
150,3,3,3,4,4,10,91
151,2,2,2,2,2,2,3
152,2,2,2,3,3,4,9
153,3,3,3,2,2,3,4
154,2,2,2,3,3,3,90
155,2,2,2,2,1,0,0
156,3,4,4,5,5,5,3
157,3,2,2,2,1,1,1
158,2,2,3,3,3,5,6
159,3,3,4,4,4,4,4
160,4,3,2,2,2,1,0
161,4,3,3,5,4,4,29
162,3,3,3,3,4,4,8
163,2,2,2,2,2,2,2
164,3,3,3,4,3,5,7
165,2,2,2,2,2,1,2
166,3,2,2,3,3,3,5
167,2,2,2,3,4,3,41
168,3,2,2,0,0,0,0
169,3,3,3,2,2,3,4
170,3,4,4,4,6,7,46
171,2,2,2,1,1,1,1
172,2,3,3,3,3,3,4
173,3,3,4,4,4,4,6
174,3,4,4,4,4,6,18
175,2,2,2,3,3,4,8
176,3,3,3,3,3,3,1
177,2,2,2,2,2,1,1
178,4,4,3,3,1,1,1
179,2,2,2,2,3,3,4
180,2,2,2,2,2,2,2
181,3,3,3,3,2,2,2
182,4,4,5,4,4,4,6
183,3,2,2,1,1,8,62
184,3,3,3,3,3,3,12
185,3,3,3,2,1,1,3
186,2,1,1,1,1,0,85
187,4,4,5,5,5,5,7
188,4,4,4,3,2,2,4
189,3,4,4,4,4,4,6
190,3,5,5,5,5,6,7
191,2,2,2,2,2,3,72
192,3,3,4,3,4,5,8
193,3,3,4,4,4,4,4
194,2,1,1,1,1,2,2
195,2,2,2,1,1,94,96
196,3,2,2,2,2,2,1
197,3,3,5,6,6,8,71
198,3,2,2,2,3,7,9
199,6,6,8,8,8,11,63
200,2,2,3,3,5,22,92
201,2,3,3,4,4,5,11
202,3,2,2,2,2,1,2
203,3,3,3,4,3,4,4
204,3,3,4,4,4,2,2
205,2,2,2,2,3,3,4
206,5,5,2,2,3,3,8
207,2,0,0,0,0,0,1
208,4,2,2,2,2,2,1
209,4,3,2,2,2,1,5
210,4,4,5,5,5,5,2
211,2,2,2,2,2,2,3
212,4,3,3,3,2,1,0
213,3,3,2,2,2,2,3
214,4,2,3,3,3,3,6
215,2,2,2,2,3,3,3
216,3,3,2,0,0,0,69
217,3,5,5,5,5,5,7
218,2,2,0,0,0,0,0
219,3,4,4,4,4,3,3
220,3,4,4,4,4,5,4
221,2,3,3,3,1,1,2
222,2,2,2,2,3,3,10
223,3,4,4,3,3,1,2
224,2,3,2,1,1,1,1
225,2,2,2,2,2,2,2
226,2,2,2,3,3,4,6
227,3,3,4,4,2,2,1
228,3,5,5,4,1,1,1
229,2,2,3,3,3,2,4
230,3,2,2,1,1,2,2
231,2,2,2,1,1,1,1
232,3,3,3,2,3,3,7
233,3,3,2,2,2,2,1
234,2,2,2,2,2,2,2
235,3,4,4,3,3,1,4
236,2,2,2,3,3,3,89
237,2,4,4,3,3,5,7
238,2,2,2,2,2,2,2
239,3,3,5,4,4,5,12
240,4,5,5,6,7,8,6
241,3,2,2,2,2,2,8
242,2,2,2,3,3,1,102
243,3,2,2,2,2,2,7
244,2,2,2,2,1,0,0
245,3,3,3,2,4,5,51
246,3,4,3,3,4,10,80
247,2,2,2,2,1,1,0
248,2,4,3,2,1,3,5
249,2,2,2,2,2,3,8
250,3,3,3,1,1,1,1
251,2,4,4,5,5,10,15
252,2,2,2,3,3,5,8
253,4,3,3,3,2,2,92
254,2,2,1,1,1,0,0
255,4,5,5,5,4,4,8
256,4,3,3,3,3,3,7
257,2,2,2,0,0,0,1
258,2,2,2,2,2,1,2
259,2,4,4,4,4,6,8
260,2,3,2,1,1,1,80
261,2,2,2,2,3,4,7
262,2,2,2,2,2,3,3
263,4,5,5,5,5,6,6
264,3,2,3,3,2,2,2
265,4,3,3,2,2,2,4
266,3,2,2,2,3,4,8
267,2,2,1,2,2,2,3
268,5,3,3,3,3,3,71
