,none,gain,threshold,time constant,max rate
353,18.0,11.0,10.0,14.0,17.0
354,6.0,4.0,5.0,6.0,6.0
355,6.0,5.0,4.0,6.0,6.0
356,0.0,2.0,0.0,0.0,0.0
357,0.0,2.0,0.0,0.0,0.0
358,2.0,2.0,2.0,3.0,2.0
359,2.0,3.0,3.0,2.0,2.0
360,1.0,4.0,0.0,1.0,1.0
361,4.0,3.0,4.0,4.0,4.0
362,5.0,5.0,5.0,5.0,5.0
363,3.0,2.0,2.0,3.0,3.0
364,69.0,4.0,6.0,74.0,69.0
365,0.0,4.0,0.0,0.0,0.0
366,2.0,3.0,4.0,3.0,2.0
367,4.0,3.0,2.0,4.0,4.0
368,0.0,4.0,0.0,0.0,0.0
369,5.0,5.0,4.0,5.0,5.0
370,2.0,3.0,3.0,2.0,2.0
371,0.0,0.0,0.0,0.0,0.0
372,1.0,3.0,0.0,1.0,1.0
373,5.0,4.0,3.0,4.0,5.0
374,0.0,0.0,2.0,0.0,0.0
375,4.0,4.0,2.0,4.0,4.0
376,6.0,4.0,7.0,6.0,6.0
377,1.0,3.0,0.0,1.0,1.0
378,2.0,2.0,1.0,2.0,2.0
379,6.0,5.0,1.0,6.0,6.0
380,9.0,6.0,8.0,8.0,9.0
381,25.0,3.0,8.0,26.0,25.0
382,6.0,5.0,4.0,6.0,6.0
383,2.0,0.0,3.0,2.0,2.0
384,1.0,1.0,0.0,1.0,1.0
385,3.0,3.0,2.0,3.0,3.0
386,2.0,2.0,3.0,2.0,2.0
387,2.0,4.0,2.0,2.0,2.0
388,3.0,3.0,3.0,3.0,3.0
389,3.0,4.0,3.0,3.0,3.0
390,4.0,4.0,2.0,3.0,4.0
391,2.0,3.0,2.0,2.0,2.0
392,3.0,3.0,3.0,3.0,3.0
393,0.0,0.0,2.0,0.0,0.0
394,3.0,3.0,2.0,4.0,3.0
395,4.0,5.0,2.0,4.0,4.0
396,8.0,5.0,7.0,7.0,8.0
397,3.0,3.0,3.0,3.0,3.0
398,3.0,4.0,2.0,4.0,3.0
399,6.0,5.0,4.0,6.0,6.0
400,5.0,4.0,4.0,5.0,5.0
401,4.0,2.0,3.0,3.0,4.0
402,2.0,2.0,2.0,2.0,2.0
403,5.0,4.0,5.0,5.0,5.0
404,2.0,1.0,2.0,3.0,2.0
405,6.0,3.0,6.0,5.0,6.0
406,2.0,3.0,2.0,3.0,2.0
407,1.0,2.0,2.0,1.0,1.0
408,2.0,2.0,2.0,2.0,2.0
409,0.0,3.0,0.0,0.0,0.0
410,2.0,3.0,2.0,2.0,2.0
411,5.0,5.0,3.0,5.0,5.0
412,2.0,3.0,0.0,2.0,2.0
413,4.0,4.0,2.0,4.0,4.0
414,9.0,5.0,8.0,7.0,9.0
415,2.0,5.0,2.0,1.0,2.0
416,0.0,4.0,0.0,0.0,0.0
417,1.0,1.0,2.0,2.0,1.0
418,3.0,2.0,4.0,3.0,3.0
419,0.0,0.0,4.0,0.0,0.0
420,4.0,2.0,4.0,5.0,4.0
421,8.0,4.0,2.0,8.0,8.0
422,3.0,3.0,2.0,3.0,3.0
423,7.0,2.0,5.0,6.0,7.0
424,3.0,2.0,4.0,3.0,3.0
425,2.0,3.0,3.0,2.0,2.0
426,3.0,4.0,2.0,3.0,3.0
427,5.0,5.0,3.0,5.0,5.0
428,3.0,5.0,3.0,3.0,3.0
429,2.0,4.0,1.0,2.0,2.0
430,8.0,6.0,8.0,7.0,8.0
431,0.0,3.0,1.0,0.0,0.0
432,4.0,3.0,3.0,4.0,4.0
433,3.0,3.0,2.0,3.0,3.0
434,3.0,3.0,2.0,3.0,3.0
435,9.0,7.0,7.0,11.0,9.0
436,2.0,3.0,2.0,2.0,2.0
437,0.0,4.0,1.0,0.0,0.0
438,3.0,2.0,2.0,3.0,3.0
439,1.0,4.0,0.0,1.0,1.0
440,1.0,3.0,2.0,1.0,1.0
441,3.0,3.0,3.0,4.0,3.0
442,2.0,3.0,1.0,2.0,2.0
443,3.0,3.0,3.0,2.0,3.0
444,1.0,2.0,0.0,1.0,1.0
445,6.0,4.0,6.0,6.0,6.0
446,6.0,5.0,3.0,6.0,6.0
447,1.0,1.0,2.0,1.0,1.0
448,1.0,4.0,1.0,1.0,1.0
449,2.0,2.0,2.0,2.0,2.0
450,2.0,2.0,2.0,2.0,2.0
451,3.0,4.0,2.0,3.0,3.0
452,1.0,1.0,2.0,1.0,1.0
453,2.0,2.0,2.0,2.0,2.0
454,0.0,0.0,0.0,0.0,0.0
455,3.0,2.0,2.0,3.0,3.0
456,1.0,2.0,1.0,1.0,1.0
457,3.0,3.0,3.0,3.0,3.0
458,4.0,3.0,3.0,4.0,4.0
459,5.0,4.0,3.0,5.0,5.0
460,6.0,5.0,5.0,6.0,6.0
461,6.0,4.0,4.0,6.0,6.0
462,5.0,4.0,4.0,7.0,5.0
463,0.0,5.0,0.0,0.0,0.0
464,1.0,1.0,2.0,1.0,1.0
465,2.0,3.0,1.0,2.0,2.0
466,5.0,4.0,4.0,7.0,5.0
467,3.0,2.0,3.0,3.0,3.0
468,0.0,4.0,0.0,0.0,0.0
469,5.0,3.0,5.0,6.0,5.0
470,2.0,2.0,2.0,2.0,2.0
471,3.0,3.0,2.0,3.0,3.0
472,6.0,3.0,6.0,3.0,6.0
473,0.0,4.0,0.0,0.0,0.0
474,4.0,4.0,4.0,5.0,4.0
475,0.0,1.0,0.0,0.0,0.0
476,1.0,3.0,0.0,1.0,1.0
477,2.0,4.0,2.0,2.0,2.0
478,0.0,3.0,0.0,0.0,0.0
479,5.0,5.0,3.0,5.0,5.0
480,2.0,2.0,2.0,2.0,2.0
481,15.0,5.0,3.0,14.0,15.0
482,23.0,10.0,10.0,20.0,23.0
483,2.0,3.0,3.0,2.0,2.0
484,2.0,2.0,3.0,2.0,2.0
485,1.0,4.0,1.0,1.0,1.0
486,6.0,3.0,8.0,6.0,6.0
487,8.0,5.0,6.0,8.0,8.0
488,0.0,2.0,1.0,0.0,0.0
489,3.0,5.0,2.0,3.0,3.0
490,2.0,2.0,2.0,2.0,2.0
491,9.0,4.0,8.0,9.0,9.0
492,2.0,2.0,2.0,2.0,2.0
493,0.0,1.0,0.0,0.0,0.0
494,0.0,2.0,2.0,0.0,0.0
495,1.0,2.0,1.0,1.0,1.0
496,5.0,4.0,4.0,5.0,5.0
497,4.0,4.0,4.0,4.0,4.0
