,55,65,75,85,95,105
227,3,4,5,9,12,29
228,2,4,8,13,33,39
229,1,3,5,9,14,37
230,1,4,5,9,20,85
231,3,4,7,12,15,21
232,1,5,7,11,15,96
233,0,1,3,5,9,12
234,2,4,10,105,84,85
235,1,4,5,7,10,65
236,1,1,4,6,10,15
237,3,5,6,12,77,91
238,1,4,6,10,12,76
239,1,5,9,68,74,121
240,1,4,5,7,12,14
241,0,1,4,5,6,11
242,1,2,4,5,8,10
243,1,5,7,10,14,43
244,3,5,6,11,14,31
245,1,3,5,10,18,89
246,1,4,5,8,14,37
247,1,4,5,9,13,16
248,2,5,10,14,16,19
249,1,1,6,17,21,32
250,2,5,8,14,19,21
251,1,3,5,5,9,12
252,1,4,5,9,35,66
253,4,5,5,36,42,40
254,1,3,5,9,13,18
255,1,3,7,13,39,36
256,1,4,5,9,14,23
257,2,5,5,11,15,18
258,1,4,5,6,7,31
259,1,5,7,10,13,37
260,1,2,4,5,9,33
261,1,1,5,5,6,7
262,2,4,5,9,13,41
263,1,5,5,13,16,32
264,1,5,8,14,27,34
265,1,4,5,9,15,22
266,4,6,11,70,37,38
267,1,3,5,6,12,43
268,1,2,5,8,11,43
269,1,2,4,6,13,68
270,1,3,5,12,17,35
271,2,5,7,73,40,38
272,2,5,5,9,83,86
273,2,4,5,90,41,42
274,1,5,6,11,38,54
275,3,5,6,11,66,75
276,1,3,5,7,10,73
277,2,4,6,64,119,87
278,1,3,5,7,11,13
279,2,4,6,11,50,47
280,3,6,8,13,85,28
281,1,3,5,8,12,21
282,2,4,8,12,15,32
283,1,4,5,10,15,21
284,1,4,5,10,13,65
285,1,1,5,6,24,29
286,2,5,12,62,111,109
287,1,3,6,10,12,15
288,4,6,86,90,85,91
289,1,5,9,20,91,84
290,1,4,7,13,72,32
291,1,5,8,16,22,78
292,2,6,9,69,89,43
293,2,5,5,10,41,84
294,1,4,8,87,94,90
295,3,5,12,19,86,85
296,1,4,6,13,30,76
297,1,4,6,9,12,16
298,2,4,5,5,11,28
299,2,4,5,11,17,30
300,1,5,5,11,83,64
301,1,4,5,9,12,15
302,3,4,9,14,96,86
303,3,5,6,9,12,16
304,5,8,15,103,41,90
305,3,5,6,9,31,35
306,1,2,5,5,9,11
307,2,4,5,9,12,16
308,1,5,6,12,15,72
309,2,5,6,13,17,42
310,4,6,23,28,47,78
311,3,6,12,27,38,46
312,1,1,4,4,9,29
313,2,3,5,8,15,25
314,2,5,6,12,73,71
315,1,5,35,94,84,88
316,1,1,4,7,12,88
317,1,2,5,5,11,13
318,2,6,9,18,24,28
319,1,4,5,9,20,31
320,4,5,12,87,90,93
321,1,3,6,11,20,46
322,3,5,6,12,15,40
323,1,4,5,7,11,19
324,1,1,5,8,71,106
325,3,6,9,13,18,20
326,0,1,3,4,5,8
327,4,10,45,88,94,92
328,1,3,6,10,16,19
329,1,3,5,8,30,42
330,1,5,9,15,67,78
331,1,2,5,13,43,89
332,2,4,5,9,13,30
333,4,5,10,13,31,34
334,1,3,5,10,33,39
335,1,4,9,67,70,77
336,1,3,5,8,14,15
337,1,4,5,9,13,99
338,1,4,5,11,18,22
339,2,5,8,25,38,45
340,1,4,9,13,17,20
341,2,5,8,14,17,22
342,3,5,8,18,91,96
