,55,65,75,85,95,105
0,0.018181818,0.012048194,0.012987013,0.0125,0.007507875,0.00091933884
1,0.020408163,0.012658229,0.011415883,0.0121951215,0.01234568,0.012345679
2,0.018867925,0.011764706,0.012048195,0.011904763,0.011904763,0.00957678
3,0.01388889,0.012820514,0.0121951215,0.0116192065,0.0068758978,0.0015542273
4,nan,0.0125,0.013513515,0.014084509,0.004002792,0.0029544262
5,0.018518519,0.0125,0.012820514,0.012500001,0.010915387,0.01183767
6,0.012048195,0.012345679,0.0127393715,0.0119295465,0.0020707638,0.0015155253
7,0.012987013,0.014084508,0.0010939101,0.0016440467,0.0024408128,0.0025842485
8,0.012987013,0.012376543,0.012500001,0.00972846,0.010042468,0.0014475455
9,0.013157896,0.0121951215,0.01234568,0.0015653399,0.00080661266,0.00084778294
10,nan,0.011111111,0.010548714,0.011363637,0.011627907,0.011764707
11,0.010309279,0.0121951215,0.013333333,0.013182958,0.0013605751,0.0017895891
12,0.010309279,0.0121951215,0.012579115,0.012658228,0.012658228,0.011968518
13,0.0,0.010526316,0.011904762,0.012048195,0.011904763,0.011747606
14,0.0121951215,0.012658228,0.0121951215,0.008538989,0.009338006,0.00081309536
15,0.012048194,0.0125,0.010059878,0.01240998,0.010678039,0.0028234294
16,0.010101011,0.010989012,0.011166598,0.010989012,0.010571054,0.010655918
17,nan,0.016261239,0.0125,0.012820514,0.012345679,0.011364142
18,0.013157896,0.012345679,0.012658228,0.0121951215,0.012048195,0.012009946
19,0.016949153,0.010752688,0.010869565,0.010666896,0.010603842,0.0031897163
20,0.012345679,0.0125,0.0125,0.012500001,0.012083334,0.0035546266
21,0.014925375,0.011904762,0.012500001,0.0125,0.012345679,0.01234568
22,0.014492754,0.0121951215,0.012820514,0.012658228,0.012443884,0.009261657
23,0.013333334,0.0125,0.012987014,0.013157896,0.00179115,0.0017256424
24,0.015151516,0.014705883,0.014492754,0.0011185596,0.0018427453,0.0022721463
25,0.01724138,0.013698631,0.012987013,0.013157896,0.01289187,0.012820514
26,0.010526316,0.011764707,0.0125,0.01234568,0.0121951215,0.0042194645
27,0.018518519,0.016129032,0.012987013,0.013157896,0.013157896,0.0010362208
28,0.010752688,0.011363637,0.012820514,0.012820514,0.011827888,0.0020325002
29,0.012658228,0.012820513,0.011868687,0.012820514,0.0009541547,0.00096954685
30,0.012048194,0.0120195085,0.0015789397,0.002288187,0.0024670674,0.0022444827
