,55,65,75,85,95,105
0,0.233432,0.96442175,0.71209043,0.8167046,0.5021433,0.075008556
1,0.055564,0.9982376,0.97416764,0.74863327,0.6973681,0.7338297
2,0.598159,0.92440873,0.98250437,0.749251,0.96212685,0.63361484
3,0.972428,0.9769494,0.6813983,0.47825176,0.4192146,0.14533415
4,0.0,0.97285074,0.9804778,0.63123834,0.07725993,0.48654565
5,0.995223,0.9987505,0.984528,0.56822646,0.5384618,0.7155773
6,0.764158,0.9867577,0.76669323,0.80160785,0.3156292,0.057970136
7,0.997652,0.988608,0.17258517,0.10958552,0.6061418,0.59806454
8,0.999698,0.9277674,0.76711994,0.6579477,0.63110375,0.20085138
9,0.995966,0.97873974,0.6706018,0.08723135,0.09258961,0.10262965
10,0.0,0.7704795,0.93627685,0.8932327,0.8280104,0.8750847
11,0.998524,0.9756977,0.9974948,0.72749144,0.12640306,0.18852791
12,0.999127,0.9989313,0.85063267,0.7710871,0.7800352,0.6639112
13,0.0,0.99914145,0.99956477,0.99236387,0.8242215,0.7777367
14,0.980809,0.77639854,0.7767295,0.6251303,0.6766132,0.07401508
15,1.0,0.9180166,0.6980123,0.723472,0.5714104,0.6161054
16,0.9312253,0.90704215,0.9725096,0.82619643,0.63975966,0.5015739
17,0.0,0.975166,0.99957,0.81365246,0.5987461,0.44192427
18,0.9992751,0.9586464,0.99892044,0.7582919,0.7454104,0.6773599
19,0.4951195,0.872207,0.9954867,0.7749326,0.49449524,0.2798201
20,0.9988995,0.9890196,0.7966013,0.83335173,0.65121967,0.2704756
21,0.999262,0.99901325,0.95649,0.78633225,0.81158704,0.8675924
22,1.0,0.999066,0.99917185,0.77043056,0.7556304,0.635881
23,0.8684167,0.950108,0.9597707,0.781104,0.4624049,0.16165696
24,0.99943674,0.9895777,0.5728381,0.10060003,0.44560978,0.55919665
25,0.998758,0.9997693,0.99015725,0.99790937,0.7438465,0.7385044
26,1.0,0.9275951,0.99904156,0.7530001,0.7826764,0.10808657
27,0.994419,0.99563265,0.996574,0.9733195,0.6646345,0.13360858
28,0.998624,0.8658992,0.80875415,0.77673066,0.05789237,0.490323
29,0.994243,0.99744076,0.6300145,0.6986414,0.19542289,0.072966695
30,0.5676054,0.99824804,0.45905522,0.55055046,0.6072138,0.38200623
31,0.999737,0.9984166,0.99625677,0.9882926,0.685813,0.6550792
32,0.997661,0.97297174,0.9607878,0.66422206,0.225389,0.013059182
33,0.94445896,0.99903446,0.9654542,0.65775484,0.7359332,0.82304794
34,0.0,0.998314,0.991426,0.59952724,0.55372304,0.505034
35,0.219119,0.9566688,0.9957,0.03226824,0.026621882,0.016071605
36,0.0,0.9933575,0.9978138,0.9949969,0.7771815,0.6295716
37,0.53019875,0.9738836,0.77201295,0.56587094,0.6353801,0.47545666
38,0.0,0.934792,0.9965927,0.998986,0.74757385,0.7561419
39,0.66179204,0.9983578,0.7428415,0.635635,0.47876167,0.30484006
40,0.997061,0.9979705,0.9481737,0.99921554,0.74849576,0.68449134
41,0.998923,0.9546319,0.93007743,0.78630054,0.28278157,0.5514249
42,0.999992,0.8619569,0.7090513,0.70145273,0.6621267,0.6018725
43,0.999159,0.998737,0.9957845,0.7936092,0.0697535,0.050246846
