,none,E1,E2,I2
177,8.0,3.0,1.0,13.0
178,10.0,1.0,1.0,13.0
179,9.0,3.0,1.0,11.0
180,10.0,4.0,2.0,16.0
181,9.0,5.0,2.0,14.0
182,8.0,9.0,12.0,19.0
183,7.0,7.0,4.0,15.0
184,8.0,2.0,1.0,14.0
185,11.0,2.0,1.0,11.0
186,9.0,4.0,2.0,16.0
187,9.0,4.0,1.0,11.0
188,8.0,4.0,3.0,18.0
189,9.0,8.0,1.0,13.0
190,8.0,3.0,2.0,13.0
191,12.0,4.0,1.0,21.0
192,9.0,4.0,3.0,16.0
193,8.0,7.0,2.0,13.0
194,9.0,3.0,1.0,13.0
195,14.0,4.0,1.0,12.0
196,10.0,6.0,2.0,15.0
197,7.0,3.0,1.0,14.0
198,9.0,3.0,2.0,13.0
199,7.0,5.0,2.0,14.0
200,9.0,3.0,1.0,10.0
201,7.0,4.0,2.0,13.0
202,8.0,11.0,9.0,25.0
203,8.0,5.0,2.0,15.0
204,11.0,5.0,1.0,12.0
205,12.0,5.0,1.0,12.0
206,11.0,7.0,4.0,18.0
207,9.0,3.0,1.0,13.0
208,8.0,2.0,1.0,13.0
209,9.0,5.0,3.0,15.0
210,8.0,6.0,2.0,14.0
211,11.0,3.0,1.0,12.0
212,8.0,6.0,4.0,17.0
213,7.0,6.0,1.0,11.0
214,10.0,7.0,2.0,12.0
215,7.0,5.0,3.0,18.0
216,9.0,6.0,2.0,16.0
217,9.0,5.0,2.0,13.0
218,7.0,3.0,2.0,14.0
219,12.0,2.0,1.0,13.0
220,8.0,4.0,6.0,19.0
221,7.0,7.0,3.0,17.0
222,12.0,2.0,1.0,13.0
223,9.0,12.0,3.0,18.0
224,10.0,6.0,1.0,14.0
225,7.0,6.0,2.0,17.0
226,10.0,6.0,2.0,14.0
227,7.0,7.0,2.0,18.0
228,8.0,3.0,2.0,11.0
229,8.0,5.0,1.0,11.0
230,8.0,3.0,2.0,14.0
231,9.0,2.0,1.0,13.0
232,8.0,4.0,1.0,12.0
233,7.0,6.0,2.0,19.0
234,9.0,6.0,2.0,20.0
235,12.0,3.0,1.0,11.0
236,7.0,6.0,3.0,13.0
237,8.0,4.0,1.0,12.0
238,8.0,6.0,3.0,17.0
239,8.0,2.0,1.0,13.0
240,10.0,2.0,1.0,10.0
