,index,id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position_nrn,w_type,sign,w_idx,pt_position_soma,surf_area_um2,motor module,step contribution,class
335,334,2477,2024-01-08 20:53:19.354954+00:00,,t,13B,13B,73116494267372013,648518346496415549,[ 31957 101781   3577],13B,-1,335,[ 35520 107928   3843],3619.215518,,,intrinsic neuron
336,335,2478,2024-01-08 20:53:19.367628+00:00,,t,13B,13B,73116563053768793,648518346489538905,[ 32403 102685   3607],13B,-1,336,[ 34488 105648   3755],3779.768696,,,intrinsic neuron
337,336,2479,2024-01-08 20:53:19.379431+00:00,,t,13B,13B,73116494267353300,648518346496064107,[ 32143 101923   3570],13B,-1,337,[ 35584 110264   3897],3174.258788,,,intrinsic neuron
338,337,2480,2024-01-08 20:53:19.390794+00:00,,t,13B,13B,73116494267176990,648518346497880310,[ 32219 101139   3497],13B,-1,338,[ 36176 104592   3625],15028.202819,,,intrinsic neuron
339,338,2481,2024-01-08 20:53:19.403657+00:00,,t,13B,13B,73186863011549953,648518346494034720,[ 33250 102016   3570],13B,-1,339,[ 36168 105960   3688],1696.337224,,,intrinsic neuron
340,339,2482,2024-01-08 20:53:19.417517+00:00,,t,13B,13B,73116494267330137,648518346475676288,[ 32628 101454   3558],13B,-1,340,[ 36120 102640   3673],2620.980158,,,intrinsic neuron
341,340,2483,2024-01-08 20:53:19.430143+00:00,,t,13B,13B,73116494267375260,648518346466217520,[ 32677 102143   3583],13B,-1,341,[ 35480 109128   3867],3947.022219,,,intrinsic neuron
342,341,2484,2024-01-08 20:53:19.444933+00:00,,t,13B,13B,73046125523350509,648518346486783620,[ 29477 102000   3584],13B,-1,342,[37712 96880  3454],16997.310881,,,intrinsic neuron
343,342,2485,2024-01-08 20:53:19.457297+00:00,,t,13B,13B,73116494267368779,648518346496516471,[ 31817 101296   3570],13B,-1,343,[39656 96480  3478],22332.750835,,,intrinsic neuron
344,343,2486,2024-01-08 20:53:19.469129+00:00,,t,13B,13B,73116494267251634,648518346494838549,[ 32347 101143   3529],13B,-1,344,[ 37216 100384   3604],5526.319236,,,intrinsic neuron
345,344,2487,2024-01-08 20:53:19.481318+00:00,,t,13B,13B,73186863011566471,648518346506836514,[ 32937 101869   3583],13B,-1,345,[ 33432 108864   3701],5564.790568,,,intrinsic neuron
346,345,2488,2024-01-08 20:53:19.493441+00:00,,t,13B,13B,73186863078462382,648518346517711908,[ 34256 102306   3602],13B,-1,346,[ 37424 101592   3664],2878.26535,,,intrinsic neuron
347,346,2489,2024-01-08 20:53:19.506481+00:00,,t,13B,13B,73116494267452676,648518346498363546,[ 32361 102097   3592],13B,-1,347,[ 36736 106528   3818],3042.994986,,,intrinsic neuron
348,347,2490,2024-01-08 20:53:19.518643+00:00,,t,13B,13B,73116563053757518,648518346482932009,[ 32540 102616   3607],13B,-1,348,[ 35368 107072   3739],4929.609646,,,intrinsic neuron
349,348,2491,2024-01-08 20:53:19.531706+00:00,,t,13B,13B,73116494267405323,648518346490510428,[ 32463 102030   3583],13B,-1,349,[ 33712 109088   3610],6254.017739,,,intrinsic neuron
350,349,2492,2024-01-08 20:53:19.544371+00:00,,t,13B,13B,73116494267210231,648518346520463697,[ 32728 101095   3511],13B,-1,350,,4358.752695,,,intrinsic neuron
351,350,2493,2024-01-08 20:53:19.556454+00:00,,t,13B,13B,73186863011549799,648518346488638136,[ 32992 101688   3571],13B,-1,351,[37768 99688  3653],1747.177891,,,intrinsic neuron
352,351,2494,2024-01-08 20:53:19.569170+00:00,,t,13B,13B,73116494267452373,648518346493379100,[ 32406 102080   3592],13B,-1,352,[ 34176 104568   3717],3698.193739,,,intrinsic neuron
353,352,2495,2024-01-08 20:53:19.581348+00:00,,t,13B,13B,73116494334096223,648518346515287367,[ 31910 101911   3597],13B,-1,353,[ 34296 107688   3603],3492.524516,,,intrinsic neuron
354,353,2496,2024-01-08 20:53:19.593050+00:00,,t,13B,13B,73116494267253978,648518346502130026,[ 31783 101228   3529],13B,-1,354,[38400 98808  3635],2993.661022,,,intrinsic neuron
355,354,2497,2024-01-08 20:53:19.604824+00:00,,t,13B,13B,73116494334233577,648518346479452114,[ 32285 102060   3597],13B,-1,355,[ 34968 109896   3780],4174.338965,,,intrinsic neuron
356,355,2498,2024-01-08 20:53:19.618932+00:00,,t,13B,13B,73186863078478165,648518346495576502,[ 33493 102253   3607],13B,-1,356,[ 35760 101272   3642],4184.278765,,,intrinsic neuron
357,356,2499,2024-01-08 20:53:19.632454+00:00,,t,13B,13B,73116494267423334,648518346475605345,[ 32552 102016   3583],13B,-1,357,[ 34992 106896   3813],4401.63603,,,intrinsic neuron
358,357,2500,2024-01-08 20:53:19.645952+00:00,,t,13B,13B,73116494267378012,648518346483502500,[ 32316 101482   3577],13B,-1,358,[39152 95728  3371],9240.071322,,,intrinsic neuron
359,358,2501,2024-01-08 20:53:19.658843+00:00,,t,13B,13B,73116494267340668,648518346503974049,[ 32744 102165   3577],13B,-1,359,[ 35088 109792   3686],2222.61176,,,intrinsic neuron
360,359,2502,2024-01-08 20:53:19.671035+00:00,,t,13B,13B,73116494267312907,648518346482939177,[ 32309 101736   3558],13B,-1,360,[ 35616 106936   3622],4825.62004,,,intrinsic neuron
361,360,2503,2024-01-08 20:53:19.683157+00:00,,t,13B,13B,73046194309572500,648518346488261150,[ 30452 102749   3625],13B,-1,361,[ 37256 103496   3731],12033.748168,,,intrinsic neuron
362,361,2504,2024-01-08 20:53:19.695523+00:00,,t,13B,13B,73186863011545216,648518346496852092,[ 32854 102150   3583],13B,-1,362,[ 34920 108064   3684],1692.908937,,,intrinsic neuron
363,362,2505,2024-01-08 20:53:19.708140+00:00,,t,13B,13B,73116494334341585,648518346495020203,[ 32354 101680   3625],13B,-1,363,[40856 94232  3477],19089.906805,,,intrinsic neuron
364,363,2506,2024-01-08 20:53:19.720091+00:00,,t,14A,14A_primary,73116425480665271,648518346500717528,[32240 99834  3406],14A,-1,364,[31784 97224  3286],20298.39472,,,intrinsic neuron
365,364,2507,2024-01-08 20:53:19.732027+00:00,,t,14A,14Aa,73327531646251427,648518346494033294,[37463 98340  3327],14A,-1,365,[37352 94224  3444],2880.391606,,,intrinsic neuron
366,365,2508,2024-01-08 20:53:19.744823+00:00,,t,14A,14Aa,73327462993594279,648518346471931035,[37983 97803  3349],14A,-1,366,[45408 90912  3287],3110.885546,,,intrinsic neuron
367,366,2509,2024-01-08 20:53:19.756944+00:00,,t,14A,14Aa,73327462993607987,648518346498006682,[37760 97846  3355],14A,-1,367,[41768 91216  3380],1622.071534,,,intrinsic neuron
368,367,2510,2024-01-08 20:53:19.768495+00:00,,t,14A,14Aa,73327462926816707,648518346496052070,[37903 97960  3337],14A,-1,368,[45824 89088  3315],3114.667804,,,intrinsic neuron
369,368,2511,2024-01-08 20:53:19.780070+00:00,,t,14A,14Aa,73257162902113641,648518346493222172,[36784 98833  3337],14A,-1,369,[39808 92032  3388],1571.864003,,,intrinsic neuron
370,369,2512,2024-01-08 20:53:19.792433+00:00,,t,14A,14Aa,73327462926878383,648518346477765271,[37929 97763  3337],14A,-1,370,[45272 89936  3290],3286.538506,,,intrinsic neuron
371,370,2513,2024-01-08 20:53:19.804128+00:00,,t,14A,14Aa,73327462926845995,648518346496315594,[38630 97026  3337],14A,-1,371,[46256 91040  3390],3214.450023,,,intrinsic neuron
372,371,2514,2024-01-08 20:53:19.816245+00:00,,t,14A,14Aa,73327531646391390,648518346500414524,[37129 98554  3337],14A,-1,372,[39640 92992  3264],1271.314021,,,intrinsic neuron
373,372,2515,2024-01-08 20:53:19.827961+00:00,,t,14A,14Ab,73327531646281242,648518346492416127,[38243 98363  3337],14A,-1,373,[42536 94256  3226],5425.496911,,,intrinsic neuron
374,373,2516,2024-01-08 20:53:19.839716+00:00,,t,14A,14Ab,73327462993625108,648518346482930729,[37740 98286  3359],14A,-1,374,[42816 92288  3235],2266.801664,,,intrinsic neuron
375,374,2517,2024-01-08 20:53:19.853904+00:00,,t,14A,14Ab,73327531713103598,648518346495891051,[37845 98413  3355],14A,-1,375,[40120 90200  3145],3043.809318,,,intrinsic neuron
376,375,2518,2024-01-08 20:53:19.866429+00:00,,t,14A,14Ab,73397831737885416,648518346497130980,[38990 96960  3379],14A,-1,376,[44520 92712  3542],4286.827688,,,intrinsic neuron
377,376,2519,2024-01-08 20:53:19.878647+00:00,,t,14A,14Ab,73327531646060148,648518346486975641,[37559 98536  3256],14A,-1,377,[46416 89696  3193],4433.493105,,,intrinsic neuron
378,377,2520,2024-01-08 20:53:19.890552+00:00,,t,14A,14Ab,73327462993809881,648518346515873354,[38720 98110  3437],14A,-1,378,[43480 92880  3401],8365.244787,,,intrinsic neuron
379,378,2521,2024-01-08 20:53:19.903083+00:00,,t,14A,14Ab,73327462993679589,648518346480200421,[37707 98146  3379],14A,-1,379,[43696 90832  3394],2295.439605,,,intrinsic neuron
380,379,2522,2024-01-08 20:53:19.915188+00:00,,t,14A,14Ab,73327462993655185,648518346490220059,[37783 97462  3372],14A,-1,380,[40064 92912  3351],2095.268223,,,intrinsic neuron
381,380,2523,2024-01-08 20:53:19.927309+00:00,,t,14A,14Ab,73327462993621724,648518346498563568,[38483 97419  3355],14A,-1,381,[43536 91552  3263],2330.359524,,,intrinsic neuron
382,381,2524,2024-01-08 20:53:19.939942+00:00,,t,14A,14Ac,73327531713113336,648518346490891949,[37129 98616  3359],14A,-1,382,[39560 94328  3492],1509.731114,,,intrinsic neuron
383,382,2525,2024-01-08 20:53:19.951944+00:00,,t,14A,14Ac,73327531713176536,648518346492785593,[37585 98733  3385],14A,-1,383,[43776 94712  3574],1751.525265,,,intrinsic neuron
384,383,2526,2024-01-08 20:53:19.964203+00:00,,t,14A,14Ac,73327462926777095,648518346515935562,[37720 98210  3327],14A,-1,384,[42800 90624  3356],2338.805334,,,intrinsic neuron
385,384,2527,2024-01-08 20:53:19.978244+00:00,,t,14A,14Ac,73327462926815294,648518346491570088,[37800 97626  3337],14A,-1,385,[39832 91048  3343],1991.602461,,,intrinsic neuron
386,385,2528,2024-01-08 20:53:19.991130+00:00,,t,14A,14Ac,73327462993660242,648518346500150851,[37734 97873  3372],14A,-1,386,[38584 93968  3447],2518.831177,,,intrinsic neuron
387,386,2529,2024-01-08 20:53:20.004170+00:00,,t,14A,14Ac,73327462993613601,648518346488871608,[37737 97576  3355],14A,-1,387,[39296 93616  3318],989.736122,,,intrinsic neuron
388,387,2530,2024-01-08 20:53:20.017054+00:00,,t,14A,14Ac,73327531713140851,648518346497469976,[37283 98476  3372],14A,-1,388,[40680 92736  3438],2299.797769,,,intrinsic neuron
389,388,2531,2024-01-08 20:53:20.028859+00:00,,t,14A,14Ac,73327462993704672,648518346500895849,[38150 97745  3391],14A,-1,389,[43456 93128  3528],2029.026621,,,intrinsic neuron
390,389,2532,2024-01-08 20:53:20.040772+00:00,,t,14A,14Ac,73327462926834127,648518346493196530,[37539 98205  3337],14A,-1,390,[42520 89888  3292],2482.745589,,,intrinsic neuron
391,390,2533,2024-01-08 20:53:20.052676+00:00,,t,14A,14Ac,73327531646269806,648518346490150097,[37178 98466  3337],14A,-1,391,[41744 90432  3313],2406.292904,,,intrinsic neuron
392,391,2534,2024-01-08 20:53:20.063929+00:00,,t,14A,14Ac,73327462993657989,648518346485950148,[37556 98022  3372],14A,-1,392,[38368 93616  3351],2138.418024,,,intrinsic neuron
393,392,2535,2024-01-08 20:53:20.076483+00:00,,t,14A,14Ac,73327462993660062,648518346497163905,[37769 97609  3372],14A,-1,393,[38408 92792  3382],1519.09382,,,intrinsic neuron
394,393,2536,2024-01-08 20:53:20.089090+00:00,,t,14A,14Ad,73327531646323032,648518346487656916,[37426 98534  3337],14A,-1,394,[44136 89368  3306],2446.803918,,,intrinsic neuron
395,394,2537,2024-01-08 20:53:20.101012+00:00,,t,14A,14Ad,73327462993616474,648518346491328033,[38200 97820  3355],14A,-1,395,[42848 91632  3374],2739.464109,,,intrinsic neuron
396,395,2538,2024-01-08 20:53:20.113480+00:00,,t,14A,14Ad,73327462926857172,648518346511581237,[37672 98253  3337],14A,-1,396,[44424 88496  3257],3281.177349,,,intrinsic neuron
397,396,2539,2024-01-08 20:53:20.125658+00:00,,t,14A,14Ax,73327462993685948,648518346498490706,[38863 97423  3391],14A,-1,397,[45056 92160  3461],6445.047246,,,intrinsic neuron
398,397,2540,2024-01-08 20:53:20.138255+00:00,,t,14A,14Ax,73327462926569460,648518346486438313,[38126 97743  3245],14A,-1,398,[42944 89184  3204],8922.436673,,,intrinsic neuron
399,398,2541,2024-01-08 20:53:20.151087+00:00,,t,14A,14Ax,73327462926594815,648518346489885199,[38134 97686  3257],14A,-1,399,[41024 90928  3138],9313.864714,,,intrinsic neuron
400,399,2542,2024-01-08 20:53:20.164140+00:00,,t,14A,14Ax,73327462926601785,648518346480645078,[38533 97063  3257],14A,-1,400,[44976 92200  3235],22407.901714,,,intrinsic neuron
401,400,2543,2024-01-08 20:53:20.176926+00:00,,t,14A,14Ax,73327531646008949,648518346493409010,[37307 98465  3245],14A,-1,401,[43864 90424  3174],17912.989304,,,intrinsic neuron
402,401,2544,2024-01-08 20:53:20.189444+00:00,,t,14A,14Ax,73327462993809716,648518346481592933,[38900 97883  3437],14A,-1,402,[42512 93016  3317],4382.627764,,,intrinsic neuron
403,402,2545,2024-01-08 20:53:20.201150+00:00,,t,14A,14Ax,73327531646057809,648518346494269963,[37833 98853  3257],14A,-1,403,[40560 95936  3280],8765.178429,,,intrinsic neuron
404,403,2546,2024-01-08 20:53:20.212756+00:00,,t,14A,14Ax,73327531578912356,648518346510100026,[38185 98854  3111],14A,-1,404,[44776 93136  2236],6516.81613,,,intrinsic neuron
405,404,2547,2024-01-08 20:53:20.225091+00:00,,t,16B,16B,72905112552750438,648518346477223952,[26163 92932  2347],16B,-1,405,[27240 83416  1901],2680.6638,,,intrinsic neuron
406,405,2548,2024-01-08 20:53:20.236829+00:00,,t,16B,16B,72905112552766732,648518346493065136,[26066 93734  2347],16B,-1,406,[25084 85120  2272],2443.22711,,,intrinsic neuron
407,406,2549,2024-01-08 20:53:20.249945+00:00,,t,16B,16B,72905112552753444,648518346504954995,[26300 93590  2347],16B,-1,407,[26584 83696  2034],4076.913626,,,intrinsic neuron
408,407,2550,2024-01-08 20:53:20.262269+00:00,,t,16B,16B,72905112552534374,648518346497250200,[26294 93330  2329],16B,-1,408,[27224 87400  2080],2346.023994,,,intrinsic neuron
409,408,2551,2024-01-08 20:53:20.274732+00:00,,t,16B,16B,72905112552703431,648518346502061418,[26422 93236  2329],16B,-1,409,[29472 81712  2225],3468.797324,,,intrinsic neuron
410,409,2552,2024-01-08 20:53:20.287206+00:00,,t,16B,16B,72905112552758556,648518346491829054,[26036 93185  2347],16B,-1,410,[24736 85884  2231],2925.113458,,,intrinsic neuron
411,410,2553,2024-01-08 20:53:20.301035+00:00,,t,16B,16B,72975481296915687,648518346501845321,[26839 92613  2346],16B,-1,411,[30160 81080  2033],2375.967381,,,intrinsic neuron
412,411,2554,2024-01-08 20:53:20.313726+00:00,,t,16B,16B,72905112552723888,648518346487587242,[26370 93290  2329],16B,-1,412,[26304 82296  1987],4062.314983,,,intrinsic neuron
413,412,2555,2024-01-08 20:53:20.325803+00:00,,t,16B,16B,72975481296715415,648518346497857270,[27727 93605  2322],TBD,1,413,[32040 85152  2216],12299.931781,,,intrinsic neuron
414,413,2556,2024-01-08 20:53:20.337890+00:00,,t,16B,16B,72975481296910547,648518346493243676,[26700 92560  2346],16B,-1,414,[29248 84576  1919],3096.126114,,,intrinsic neuron
415,414,2557,2024-01-08 20:53:20.349998+00:00,,t,16B,16B,72905112552529167,648518346498035815,[26190 93227  2329],16B,-1,415,[28256 83944  1906],4173.539492,,,intrinsic neuron
416,415,2558,2024-01-08 20:53:20.361838+00:00,,t,16B,16B,72905112552752788,648518346475527296,[26174 92506  2347],16B,-1,416,[27260 88352  2157],8784.103042,,,intrinsic neuron
417,416,2559,2024-01-08 20:53:20.374052+00:00,,t,16B,16B,72905112552740632,648518346477118480,[26412 93330  2329],16B,-1,417,[27104 82024  2039],3192.333426,,,intrinsic neuron
418,417,2560,2024-01-08 20:53:20.386331+00:00,,t,16B,16B,72905112552531691,648518346494345017,[26342 93233  2329],16B,-1,418,[27584 84032  1808],2797.553222,,,intrinsic neuron
419,418,2561,2024-01-08 20:53:20.399432+00:00,,t,16B,16B,72905112552764039,648518346486854553,[26305 93434  2347],16B,-1,419,[23440 84560  2033],3246.710096,,,intrinsic neuron
420,419,2562,2024-01-08 20:53:20.412577+00:00,,t,16B,16B,72905112552707540,648518346504883078,[26369 93134  2329],16B,-1,420,[29328 81432  2060],2918.065883,,,intrinsic neuron
421,420,2563,2024-01-08 20:53:20.425234+00:00,,t,16B,16B,72905112552533995,648518346481557605,[26196 93316  2329],16B,-1,421,[27608 85928  1996],2739.383552,,,intrinsic neuron
422,421,2564,2024-01-08 20:53:20.438034+00:00,,t,16B,16B,72905112552758655,648518346475413888,[26259 93240  2347],16B,-1,422,[28656 86576  1922],2676.039652,,,intrinsic neuron
423,422,2565,2024-01-08 20:53:20.450832+00:00,,t,16B,16B,72905112552723559,648518346495984459,[26420 92907  2329],16B,-1,423,[29600 83424  2142],2095.543879,,,intrinsic neuron
424,423,2566,2024-01-08 20:53:20.463686+00:00,,t,16B,16B,72975481296880608,648518346496797412,[26716 93163  2329],16B,-1,424,[30648 79632  1983],3156.882784,,,intrinsic neuron
425,424,2567,2024-01-08 20:53:20.477009+00:00,,t,16B,16B,72975481296883599,648518346520467025,[26799 93305  2329],16B,-1,425,[31728 80344  2208],3177.252779,,,intrinsic neuron
426,425,2568,2024-01-08 20:53:20.490127+00:00,,t,16B,16B,72905112552699207,648518346495573327,[26085 93367  2329],16B,-1,426,[23584 83720  2066],2050.077804,,,intrinsic neuron
427,426,2569,2024-01-08 20:53:20.502797+00:00,,t,16B,16B,72905112552714849,648518346494305783,[25903 93333  2329],16B,-1,427,[24760 86696  1679],1344.637282,,,intrinsic neuron
428,427,2570,2024-01-08 20:53:20.515549+00:00,,t,16B,16B,72905112552766544,648518346498330706,[25612 93346  2347],16B,-1,428,[14736 90712  1992],3742.42044,,,intrinsic neuron
429,428,2571,2024-01-08 20:53:20.527377+00:00,,t,16B,16B,72905112552763796,648518346495640738,[26082 93001  2347],16B,-1,429,[27792 85408  1818],2816.382501,,,intrinsic neuron
430,429,2572,2024-01-08 20:53:20.539258+00:00,,t,16B,16B,72905112552771506,648518346485904766,[25997 93386  2347],16B,-1,430,[23232 85376  1896],4064.501222,,,intrinsic neuron
431,430,2573,2024-01-08 20:53:20.551540+00:00,,t,16B,16B,72905112552768278,648518346502541735,[24766 92202  2347],16B,-1,431,[22888 88992  2150],3848.441807,,,intrinsic neuron
432,431,2574,2024-01-08 20:53:20.563818+00:00,,t,16B,16B,72975481296889418,648518346479059407,[26753 93405  2329],16B,-1,432,[32360 81896  2106],2320.27716,,,intrinsic neuron
433,432,2575,2024-01-08 20:53:20.576193+00:00,,t,16B,16B,72905112552726629,648518346484746829,[26397 93176  2329],16B,-1,433,[28080 83072  2106],2142.809148,,,intrinsic neuron
434,433,2576,2024-01-08 20:53:20.589024+00:00,,t,16B,16B,72905112552718504,648518346494933493,[25785 93831  2329],16B,-1,434,[23528 84624  2249],4264.330721,,,intrinsic neuron
435,434,2577,2024-01-08 20:53:20.601698+00:00,,t,16B,16B,72905112552586225,648518346524147717,[26493 93030  2329],16B,-1,435,[29968 88168  2066],4344.683685,,,intrinsic neuron
436,435,2578,2024-01-08 20:53:20.613992+00:00,,t,16B,16B,72905112552756108,648518346494685416,[26376 93397  2347],16B,-1,436,[27512 81304  1956],3009.496586,,,intrinsic neuron
437,436,2579,2024-01-08 20:53:20.625963+00:00,,t,16B,16B,72905181339301654,648518346499748446,[25146 94673  2458],16B,-1,437,[28280 83560  2419],1134.680846,,,intrinsic neuron
438,437,2580,2024-01-08 20:53:20.637941+00:00,,t,16B,16B,72834675022085778,648518346472584713,[24334 91553  2282],16B,-1,438,[16672 90000  1908],2814.717613,,,intrinsic neuron
439,438,2581,2024-01-08 20:53:20.650669+00:00,,t,16B,16B,72905112552778179,648518346515441991,[24606 92230  2347],16B,-1,439,[20712 87776  1926],14568.426524,,,intrinsic neuron
440,439,2582,2024-01-08 20:53:20.663751+00:00,,t,16B,16B,72905112552755696,648518346489466457,[26293 92852  2347],16B,-1,440,[30496 80464  2102],1951.988569,,,intrinsic neuron
441,440,2583,2024-01-08 20:53:20.676897+00:00,,t,16B,16B,72905112552771177,648518346488735054,[26423 92920  2347],16B,-1,441,[29664 80144  2013],2272.692945,,,intrinsic neuron
442,441,2584,2024-01-08 20:53:20.689247+00:00,,t,16B,16B,72905112552763459,648518346498081127,[26399 92553  2347],16B,-1,442,[29416 84352  2054],10405.427898,,,intrinsic neuron
443,442,2585,2024-01-08 20:53:20.701431+00:00,,t,16B,16B,72905112552766222,648518346494799093,[26413 92866  2347],16B,-1,443,[30076 79899  1921],1695.439346,,,intrinsic neuron
444,443,2586,2024-01-08 20:53:20.714091+00:00,,t,16B,16B,72905112552761290,648518346480632577,[25806 93276  2347],16B,-1,444,[23872 84680  1937],4109.798304,,,intrinsic neuron
445,444,2587,2024-01-08 20:53:20.727128+00:00,,t,16B,16B,72975481296920788,648518346500032255,[26713 92776  2347],16B,-1,445,[31528 81616  2062],3095.358864,,,intrinsic neuron
446,445,2588,2024-01-08 20:53:20.739076+00:00,,t,16B,16B,72905112552782067,648518346496245350,[26446 93972  2347],TBD,1,446,[25632 83600  2273],7158.074411,,,intrinsic neuron
447,446,2589,2024-01-08 20:53:20.750821+00:00,,t,16B,16B,72905112552768303,648518346488993777,[25359 92266  2347],16B,-1,447,[18232 89480  1863],3178.164628,,,intrinsic neuron
448,447,2590,2024-01-08 20:53:20.763355+00:00,,t,16B,16B,72905112552761123,648518346511382146,[26039 93096  2347],16B,-1,448,[24040 87548  2132],2961.702546,,,intrinsic neuron
449,448,2591,2024-01-08 20:53:20.776158+00:00,,t,16B,16B,72905112552735499,648518346496192714,[25850 93507  2329],16B,-1,449,[19232 88840  1850],3897.026157,,,intrinsic neuron
450,449,2592,2024-01-08 20:53:20.788019+00:00,,t,16B,16B,72905112552542372,648518346514289963,[26096 93490  2329],16B,-1,450,[25496 87408  2228],2897.850412,,,intrinsic neuron
451,450,2593,2024-01-08 20:53:20.800022+00:00,,t,16B,16B,72905112552592076,648518346491995503,[26123 93557  2329],16B,-1,451,[25528 84220  2199],3257.459041,,,intrinsic neuron
452,451,2594,2024-01-08 20:53:20.812375+00:00,,t,16B,16B,72905112552693606,648518346495131018,[25916 93250  2329],16B,-1,452,[27260 86824  2002],3284.482294,,,intrinsic neuron
453,452,2595,2024-01-08 20:53:20.825041+00:00,,t,16B,16B,72905112552763868,648518346508943423,[26194 93036  2347],16B,-1,453,[25896 91089  2240],2385.022074,,,intrinsic neuron
454,453,2596,2024-01-08 20:53:20.846840+00:00,,t,16B,16B,72905112552758729,648518346507428473,[25916 93433  2347],16B,-1,454,[22968 88352  1965],3440.138153,,,intrinsic neuron
455,454,2597,2024-01-08 20:53:20.859357+00:00,,t,16B,16B,72905112552769234,648518346501947721,[25725 93800  2347],16B,-1,455,[22776 84228  2177],2010.307643,,,intrinsic neuron
456,455,2598,2024-01-08 20:53:20.871141+00:00,,t,16B,16B,72905112552711074,648518346483661231,[26589 93023  2329],16B,-1,456,[32872 81072  2154],2998.048748,,,intrinsic neuron
457,456,2599,2024-01-08 20:53:20.882841+00:00,,t,16B,16B,72905112552771395,648518346509935049,[25629 93250  2347],16B,-1,457,[24272 87247  2045],2137.173735,,,intrinsic neuron
458,457,2600,2024-01-08 20:53:20.895111+00:00,,t,16B,16B,72905112552737939,648518346481139680,[26549 93144  2329],16B,-1,458,[26664 82424  2201],3140.111649,,,intrinsic neuron
459,458,2601,2024-01-08 20:53:20.907944+00:00,,t,16B,16B,72905112552774075,648518346524336901,[25980 93502  2347],16B,-1,459,[24331 90228  2231],2062.534019,,,intrinsic neuron
460,459,2602,2024-01-08 20:53:20.919804+00:00,,t,16B,16B,72905112552681508,648518346465315957,[26389 93453  2329],16B,-1,460,[25980 88192  2143],4238.082821,,,intrinsic neuron
461,460,2603,2024-01-08 20:53:20.931114+00:00,,t,16B,16B,72905112552718034,648518346517339178,[26349 93392  2329],16B,-1,461,[26080 89408  2221],3328.072842,,,intrinsic neuron
462,461,2604,2024-01-08 20:53:20.942524+00:00,,t,16B,16B,72905112552758631,648518346501381219,[26186 93172  2347],16B,-1,462,[24768 83536  2083],3932.812265,,,intrinsic neuron
463,462,2605,2024-01-08 20:53:20.954150+00:00,,t,16B,16B,72905112552761117,648518346483484847,[25806 93083  2347],16B,-1,463,[26864 83208  1752],3268.471542,,,intrinsic neuron
464,463,2606,2024-01-08 20:53:20.965355+00:00,,t,16B,16B,72905112552763880,648518346484917661,[25713 93156  2346],16B,-1,464,[22920 88048  2066],2046.769499,,,intrinsic neuron
465,464,2607,2024-01-08 20:53:20.976017+00:00,,t,16B,16B,72905112552758658,648518346496727341,[25953 93300  2346],16B,-1,465,[21832 89272  2015],4191.34032,,,intrinsic neuron
466,465,2608,2024-01-08 20:53:20.986971+00:00,,t,16B,16B,72905112552750535,648518346489118442,[25893 93019  2347],16B,-1,466,[28352 84760  1848],1535.661331,,,intrinsic neuron
467,466,2609,2024-01-08 20:53:20.998214+00:00,,t,16B,16B,72905112552761195,648518346486363040,[25843 93157  2347],16B,-1,467,[22216 86088  1883],3448.950123,,,intrinsic neuron
468,467,2610,2024-01-08 20:53:21.010521+00:00,,t,16B,16B,72905112552533203,648518346521580793,[26285 93230  2329],16B,-1,468,[27272 82184  1772],3275.104837,,,intrinsic neuron
469,468,2611,2024-01-08 20:53:21.022320+00:00,,t,16B,16B,72905112552711051,648518346507695481,[25899 93016  2329],16B,-1,469,[27880 85312  2069],4001.295529,,,intrinsic neuron
470,469,2612,2024-01-08 20:53:21.033675+00:00,,t,16B,16B,72905112552715207,648518346487768898,[26101 93618  2329],16B,-1,470,[24744 84472  2068],3450.862402,,,intrinsic neuron
471,470,2613,2024-01-08 20:53:21.044991+00:00,,t,16B,16B,72905112552761150,648518346482914278,[26127 93086  2346],16B,-1,471,[24316 89340  2148],2579.298457,,,intrinsic neuron
472,471,2614,2024-01-08 20:53:21.057309+00:00,,t,16B,16B,72905112552735432,648518346486891491,[26293 93320  2347],16B,-1,472,[27900 84704  1970],3580.240208,,,intrinsic neuron
473,472,2615,2024-01-08 20:53:21.070863+00:00,,t,17A,17A_central_core_mirrored,72834674954888578,648518346515981130,[23586 91589  2103],17A,1,473,[24894 91294  1937],13442.012053,,,intrinsic neuron
474,473,2616,2024-01-08 20:53:21.083217+00:00,,t,17A,17A_central_core_mirrored,72834674954805701,648518346472619314,[23387 91146  2066],17A,1,474,[23952 87672  1754],21855.552904,,,intrinsic neuron
475,474,2617,2024-01-08 20:53:21.095548+00:00,,t,17A,17A_central_core_post_mirrored,72834674954930236,648518346490478346,[23557 91463  2114],17A,1,475,[27288 90912  1981],12291.085433,,,intrinsic neuron
476,475,2618,2024-01-08 20:53:21.106373+00:00,,t,17A,17A_dorsal,72834743473282414,648518346489516741,[24053 92686  1800],17A,1,476,,4434.236028,,,intrinsic neuron
477,476,2619,2024-01-08 20:53:21.117850+00:00,,t,17A,17A_dorsal,72764374728977154,648518346494817301,[21017 93359  1739],17A,1,477,[23680 90376  1884],8502.221041,,,intrinsic neuron
478,477,2620,2024-01-08 20:53:21.129409+00:00,,t,17A,17A_dorsal,72834743473229529,648518346489760620,[23960 92610  1780],17A,1,478,[23016 89160  1849],7967.570218,,,intrinsic neuron
