,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.0,0.0,0.0,0.0,0.12997600436210632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6313849687576294,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07317673414945602,0.0,0.9905712604522705,0.0,0.10507328808307648,0.18475089967250824
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.9995653033256531,0.9984560012817383,0.9757300615310669,0.0,0.9470997452735901,0.9993463754653931,0.9977146983146667,0.9978833198547363,0.8197623491287231,0.9990323781967163,0.9983839988708496,0.9965595006942749,0.9982784986495972,0.9967384934425354,0.9956846237182617,0.9272463321685791
37,0.7972569465637207,0.6334824562072754,0.5584395527839661,0.0,0.5726108551025391,0.8201768398284912,0.6082978248596191,0.9224810600280762,0.8704125881195068,0.7953871488571167,0.6894052028656006,0.0,0.6889115571975708,0.896416962146759,0.6771508455276489,0.6923012137413025
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.7721626162528992,0.7550226449966431,0.6248534917831421,0.0,0.0,0.0,0.5151066184043884,0.0,0.7251842617988586,0.0,0.0,0.6809972524642944,0.0,0.6858726143836975,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.042668748646974564,0.0,0.0,0.0,0.0,0.0,0.574352502822876,0.0,0.0,0.0,0.0,0.0,0.1879819929599762
54,0.0,0.0,0.14986300468444824,0.21762500703334808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056801002472639084,0.0,0.0,0.16941332817077637
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.02464655600488186,0.0,0.25416067242622375,0.0,0.0,0.0,0.18524368107318878,0.0,0.009581875056028366,0.0,0.0,0.37882199883461,0.0,0.0,0.0,0.00857444480061531
95,0.0,0.0,0.0,0.0,0.0,0.0,0.019503142684698105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.00532100023701787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.0,0.0,0.45821768045425415,0.8970580101013184,0.0,0.9825819730758667,0.9650090336799622,0.9020523428916931,0.9767720103263855,0.7168340086936951,0.9975470304489136,0.0,0.8956015110015869,0.9866864681243896,0.9977080225944519,0.9798234701156616
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
