,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,5.0,7.0,5.0,6.0,16.0,20.0,32.0,5.0,12.0,19.0,29.0,19.0,29.0,17.0,7.0,8.0
1,17.0,5.0,16.0,18.0,7.0,12.0,24.0,11.0,19.0,29.0,19.0,18.0,11.0,14.0,7.0,27.0
3,25.0,24.0,127.0,10.0,98.0,796.0,101.0,5.0,29.0,27.0,20.0,14.0,17.0,51.0,7.0,11.0
7,35.0,27.0,19.0,5.0,25.0,12.0,25.0,18.0,20.0,8.0,13.0,24.0,90.0,19.0,6.0,9.0
20,18.0,18.0,35.0,22.0,9.0,11.0,14.0,28.0,33.0,18.0,26.0,6.0,8.0,426.0,26.0,75.0
31,89.0,5.0,30.0,6.0,103.0,91.0,99.0,97.0,61.0,8.0,45.0,19.0,8.0,63.0,134.0,86.0
37,6.0,423.0,29.0,8.0,38.0,11.0,316.0,14.0,386.0,6.0,99.0,39.0,162.0,248.0,405.0,275.0
41,142.0,14.0,18.0,14.0,10.0,78.0,26.0,5.0,138.0,29.0,107.0,39.0,7.0,46.0,7.0,14.0
43,8.0,25.0,29.0,7.0,7.0,17.0,7.0,5.0,5.0,21.0,7.0,5.0,17.0,5.0,5.0,5.0
46,39.0,22.0,54.0,8.0,22.0,20.0,24.0,27.0,40.0,26.0,22.0,20.0,9.0,26.0,14.0,10.0
48,7.0,213.0,8.0,12.0,493.0,12.0,5.0,33.0,7.0,7.0,259.0,208.0,10.0,19.0,7.0,15.0
49,8.0,23.0,15.0,9.0,10.0,5.0,5.0,12.0,9.0,13.0,9.0,19.0,11.0,8.0,5.0,12.0
51,80.0,5.0,15.0,6.0,27.0,9.0,5.0,35.0,0.0,21.0,5.0,17.0,14.0,17.0,7.0,7.0
54,24.0,23.0,24.0,10.0,14.0,28.0,26.0,12.0,22.0,17.0,21.0,16.0,19.0,26.0,9.0,30.0
58,7.0,56.0,162.0,23.0,9.0,12.0,13.0,185.0,16.0,28.0,18.0,27.0,15.0,18.0,20.0,58.0
89,11.0,37.0,73.0,12.0,37.0,32.0,27.0,51.0,11.0,17.0,38.0,551.0,36.0,96.0,31.0,24.0
95,11.0,124.0,5.0,19.0,11.0,9.0,127.0,9.0,14.0,8.0,5.0,6.0,13.0,14.0,9.0,11.0
99,8.0,17.0,32.0,25.0,12.0,17.0,6.0,8.0,5.0,6.0,5.0,8.0,12.0,10.0,10.0,17.0
104,6.0,5.0,22.0,20.0,7.0,5.0,41.0,127.0,11.0,120.0,50.0,15.0,70.0,11.0,57.0,5.0
106,18.0,62.0,56.0,34.0,65.0,95.0,61.0,28.0,36.0,18.0,51.0,7.0,16.0,60.0,17.0,904.0
115,5.0,16.0,26.0,10.0,48.0,16.0,52.0,19.0,10.0,7.0,65.0,41.0,79.0,10.0,25.0,14.0
118,25.0,17.0,7.0,9.0,14.0,10.0,92.0,17.0,35.0,35.0,11.0,14.0,25.0,7.0,14.0,35.0
123,8.0,9.0,5.0,14.0,17.0,14.0,19.0,13.0,15.0,15.0,16.0,9.0,10.0,7.0,8.0,14.0
126,46.0,138.0,11.0,6.0,20.0,5.0,22.0,66.0,7.0,16.0,15.0,19.0,17.0,16.0,8.0,18.0
132,94.0,99.0,122.0,6.0,33.0,91.0,77.0,25.0,11.0,168.0,8.0,21.0,7.0,208.0,56.0,87.0
170,6.0,7.0,5.0,6.0,6.0,6.0,6.0,8.0,5.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0
173,5.0,11.0,11.0,7.0,8.0,8.0,9.0,9.0,10.0,7.0,8.0,10.0,6.0,6.0,9.0,8.0
186,31.0,35.0,33.0,26.0,37.0,37.0,20.0,48.0,47.0,33.0,25.0,46.0,37.0,36.0,42.0,40.0
191,36.0,49.0,43.0,40.0,28.0,34.0,44.0,43.0,48.0,46.0,28.0,34.0,41.0,56.0,29.0,29.0
202,7.0,8.0,9.0,8.0,7.0,6.0,5.0,8.0,7.0,5.0,7.0,8.0,7.0,7.0,5.0,6.0
211,5.0,7.0,5.0,7.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,9.0,6.0
213,9.0,12.0,354.0,22.0,5.0,639.0,5.0,11.0,11.0,6.0,26.0,415.0,13.0,15.0,11.0,41.0
224,51.0,36.0,16.0,12.0,30.0,43.0,30.0,44.0,32.0,51.0,29.0,36.0,34.0,11.0,46.0,23.0
248,5.0,5.0,5.0,8.0,5.0,6.0,8.0,6.0,10.0,6.0,9.0,7.0,8.0,6.0,5.0,5.0
250,56.0,62.0,11.0,39.0,73.0,79.0,68.0,77.0,39.0,70.0,46.0,57.0,27.0,54.0,6.0,56.0
253,9.0,5.0,9.0,7.0,6.0,7.0,9.0,7.0,8.0,7.0,5.0,9.0,10.0,5.0,9.0,8.0
254,28.0,21.0,23.0,14.0,26.0,71.0,53.0,34.0,15.0,15.0,29.0,50.0,99.0,46.0,10.0,50.0
256,20.0,26.0,7.0,32.0,43.0,13.0,5.0,28.0,9.0,10.0,22.0,12.0,10.0,14.0,23.0,29.0
258,735.0,731.0,110.0,750.0,15.0,712.0,14.0,811.0,54.0,90.0,160.0,42.0,215.0,25.0,8.0,124.0
262,257.0,91.0,85.0,73.0,167.0,49.0,220.0,380.0,175.0,15.0,13.0,70.0,139.0,85.0,203.0,90.0
266,15.0,5.0,14.0,28.0,13.0,516.0,10.0,1037.0,862.0,7.0,18.0,49.0,17.0,29.0,30.0,28.0
271,8.0,189.0,11.0,7.0,16.0,17.0,8.0,57.0,8.0,9.0,59.0,36.0,11.0,7.0,8.0,29.0
275,7.0,6.0,6.0,5.0,9.0,11.0,9.0,8.0,7.0,8.0,6.0,6.0,11.0,5.0,7.0,6.0
281,28.0,48.0,14.0,10.0,13.0,5.0,10.0,54.0,31.0,46.0,9.0,63.0,6.0,9.0,6.0,16.0
283,7.0,7.0,6.0,7.0,10.0,7.0,6.0,8.0,10.0,5.0,9.0,6.0,5.0,5.0,7.0,7.0
284,40.0,15.0,37.0,19.0,51.0,40.0,12.0,98.0,221.0,38.0,93.0,58.0,21.0,78.0,34.0,27.0
288,13.0,9.0,32.0,9.0,31.0,21.0,119.0,15.0,11.0,14.0,11.0,22.0,5.0,8.0,6.0,21.0
292,10.0,477.0,5.0,8.0,41.0,637.0,526.0,40.0,7.0,19.0,11.0,427.0,6.0,12.0,20.0,31.0
296,762.0,9.0,13.0,109.0,12.0,32.0,5.0,62.0,17.0,6.0,6.0,5.0,70.0,12.0,44.0,39.0
313,6.0,6.0,6.0,7.0,6.0,5.0,5.0,6.0,5.0,7.0,5.0,5.0,6.0,5.0,6.0,7.0
316,14.0,30.0,8.0,21.0,8.0,11.0,5.0,32.0,8.0,11.0,7.0,5.0,14.0,8.0,9.0,123.0
324,7.0,5.0,11.0,9.0,9.0,6.0,8.0,7.0,5.0,6.0,7.0,16.0,6.0,9.0,8.0,14.0
326,20.0,40.0,16.0,9.0,16.0,11.0,5.0,15.0,26.0,5.0,5.0,12.0,16.0,14.0,8.0,12.0
346,91.0,22.0,57.0,35.0,112.0,17.0,35.0,42.0,7.0,63.0,101.0,13.0,7.0,37.0,61.0,77.0
351,81.0,8.0,227.0,36.0,63.0,5.0,113.0,8.0,8.0,18.0,6.0,5.0,8.0,8.0,7.0,186.0
355,6.0,8.0,9.0,8.0,11.0,5.0,8.0,5.0,7.0,5.0,6.0,6.0,6.0,10.0,6.0,12.0
361,53.0,34.0,56.0,71.0,36.0,49.0,12.0,91.0,67.0,40.0,52.0,62.0,72.0,64.0,59.0,59.0
368,5.0,16.0,83.0,21.0,23.0,55.0,8.0,10.0,8.0,8.0,59.0,11.0,22.0,53.0,32.0,10.0
369,198.0,769.0,111.0,6.0,131.0,71.0,306.0,194.0,144.0,226.0,48.0,100.0,809.0,96.0,34.0,112.0
374,9.0,7.0,11.0,7.0,6.0,8.0,7.0,9.0,6.0,5.0,5.0,7.0,6.0,8.0,7.0,7.0
385,6.0,9.0,8.0,19.0,8.0,6.0,545.0,11.0,7.0,5.0,9.0,393.0,11.0,7.0,5.0,6.0
388,14.0,58.0,24.0,253.0,30.0,289.0,7.0,69.0,7.0,12.0,171.0,10.0,37.0,114.0,14.0,20.0
398,46.0,906.0,60.0,316.0,18.0,7.0,24.0,611.0,40.0,49.0,45.0,13.0,8.0,433.0,197.0,18.0
406,349.0,285.0,38.0,23.0,720.0,421.0,468.0,612.0,289.0,617.0,231.0,243.0,371.0,373.0,29.0,199.0
407,6.0,13.0,18.0,32.0,11.0,18.0,11.0,7.0,19.0,9.0,8.0,10.0,7.0,7.0,11.0,10.0
408,13.0,14.0,147.0,41.0,36.0,33.0,105.0,14.0,10.0,9.0,21.0,7.0,7.0,25.0,101.0,10.0
420,24.0,15.0,318.0,7.0,40.0,11.0,23.0,30.0,220.0,11.0,7.0,62.0,5.0,12.0,18.0,26.0
421,36.0,16.0,21.0,19.0,8.0,43.0,35.0,22.0,22.0,8.0,37.0,27.0,29.0,25.0,21.0,30.0
426,9.0,303.0,89.0,151.0,172.0,222.0,51.0,311.0,44.0,178.0,485.0,218.0,508.0,93.0,82.0,7.0
